MESA;DEPARTAMENTO;ID_DEPARTAMENTO;MUNICIPIO;ID_MUNICIPIO;CENTRO_DE_VOTACIÓN;PADRÓN;UNE;AZUL;VALOR UNIONISTA;CABAL;TODOS;VAMOS;PHG;PR;PIN;ELEFANTE;VICTORIA;SEMILLA;FCN-NACION;PPN;UR;URNG-MAIZ WINAQ;CREO;BIEN;VIVA;MI FAMILIA;CAMBIO;VOS;VÁLIDOS;NULOS;BLANCO;EMITIDOS;INVÁLIDOS;TOTAL;IMPUGNACIONES;PAPELETAS-RECIBIDAS;PAPELETAS-NO-USADAS;PRES-VOTAR;VALIDOS_CALCULADO;EMITIDOS_CALCULADO;TOTAL_CALCULADO;OBSERVACIONES;CONTABILIZADA;CÓDIGO_INTEGRIDAD;FECHA_HORA_PUBLICACIÓN;DIGITALIZACIÓN
6844;El Progreso;4;Guastatoya;1;743;328;12;1;40;9;3;6;0;0;0;0;2;52;0;1;5;0;0;8;9;1;1;8;158;47;6;211;0;211;--;328;117;211;158;211;211;Algún campo sin dato;1;5b1321a06ac80a3adfb144ec46c3c8a4fdf7d94902caa35704fdd4e1bcab8104;25/06/23 20:41;ESCANER
6845;El Progreso;4;Guastatoya;1;744;380;18;1;53;5;1;65;0;1;0;0;6;13;2;3;3;1;2;10;13;3;1;7;208;69;20;297;0;297;--;380;83;297;208;297;297;Algún campo sin dato;1;1d50282a36933e89fc86b0268b2105d9ae73d17d46982073457c2ba51ad34073;25/06/23 20:14;ESCANER
6846;El Progreso;4;Guastatoya;1;744;380;20;5;32;13;0;71;0;1;2;0;2;14;0;2;3;0;4;7;8;4;0;10;198;89;31;318;0;318;--;380;62;318;198;318;318;Algún campo sin dato;1;4421683c7c0d57d99c831d34a7fb804d86787871a1163413df673ff4d9701839;25/06/23 21:24;ESCANER
6847;El Progreso;4;Guastatoya;1;744;380;15;2;45;11;0;74;1;2;0;0;1;20;0;0;2;1;3;2;11;1;0;5;196;85;40;321;0;321;--;377;56;321;196;321;321;Algún campo sin dato;1;fd8807a5d6d33fb280966f2dbe76c0e32f0dc64973dc236feb7e6d71ff44cc75;25/06/23 21:50;ESCANER
6848;El Progreso;4;Guastatoya;1;744;380;19;2;43;8;1;56;0;3;1;0;3;20;0;0;0;1;1;7;9;2;0;11;187;79;20;286;0;286;--;385;99;286;187;286;286;Algún campo sin dato;1;d443da75d50a6ea8c38207f584d4c8dbf08336f32587a8e34347226b30c29887;25/06/23 19:50;ESCANER
6849;El Progreso;4;Guastatoya;1;744;380;20;1;36;9;0;59;0;1;0;2;3;23;0;0;1;2;2;5;8;1;1;10;184;92;20;296;0;296;--;381;85;296;184;296;296;Algún campo sin dato;1;e24af66ba7efa5cd66a51207d2a0985482d7db06e1dba4a66d3334204dd3d054;25/06/23 20:40;ESCANER
6850;El Progreso;4;Guastatoya;1;744;350;13;0;56;6;0;36;0;0;0;0;0;42;0;0;0;0;1;6;16;0;1;6;183;71;18;272;--;--;--;357;85;272;183;272;272;Algún campo sin dato;1;bfd25cf383f935d2e4860d4ddd47049927d3e7b913690760a4ba86bcb5c19d00;25/06/23 19:46;ESCANER
6851;El Progreso;4;Guastatoya;1;744;350;12;0;38;12;1;51;0;0;0;0;5;55;1;1;0;0;3;3;10;0;0;5;197;69;8;274;0;274;--;350;76;274;197;274;274;Algún campo sin dato;1;5d6a9e5987a6e4fde455f47a738949b14846b2e67eb840ff2b3b6302f35eefe7;25/06/23 22:50;ESCANER
6852;El Progreso;4;Guastatoya;1;745;380;24;3;53;1;0;52;0;0;1;1;4;5;1;0;1;1;3;8;10;1;0;2;171;74;41;286;0;286;--;380;94;380;171;286;286;Algún campo sin dato;1;3f3ce872ee1e821878bb13e773cd7cd02b18b401ab5697a151a4835d02999882;25/06/23 21:47;ESCANER
6853;El Progreso;4;Guastatoya;1;745;378;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;;;;Acta ilegible;0;a542d6c06fa67b2c5ebeb8adff7aa56b608b860a5303447ab180f0dcac2bb8d1;25/06/23 22:42;ESCANER
6854;El Progreso;4;Guastatoya;1;745;378;10;0;61;5;0;42;0;0;1;0;1;18;1;0;0;0;0;13;6;2;0;3;163;70;13;246;0;246;--;389;143;246;163;246;246;Algún campo sin dato;1;586b6c9f2585f0a40a499c9ac5e7b1f945b86861e5f3adeba78ed8ee109ab05f;25/06/23 21:13;ESCANER
6855;El Progreso;4;Guastatoya;1;746;380;21;2;48;8;3;42;0;1;0;1;0;16;0;1;0;0;2;3;13;2;0;8;171;103;25;299;0;299;--;385;85;300;171;299;299;Algún campo sin dato;1;4fa99d2748766118ef58581ad6ad5c0fabb95951459d57c1c92dabedaebdae47;26/06/23 3:31;ESCANER
6856;El Progreso;4;Guastatoya;1;746;380;19;5;46;7;0;38;0;2;0;0;3;15;0;2;1;2;1;7;14;3;0;7;172;100;25;297;0;297;--;380;83;297;172;297;297;Algún campo sin dato;1;c1f354e30636afeb74a706eaca3cbf35d1aea8143ae9556c12bbeae4b3f5045e;26/06/23 1:01;ESCANER
6857;El Progreso;4;Guastatoya;1;746;380;21;2;62;12;2;45;1;0;1;0;7;19;2;0;1;0;0;1;11;3;0;5;195;86;24;305;0;305;--;380;75;305;195;305;305;Algún campo sin dato;1;0f279203f8cd03136d57c94e88d51bf7654c2693b08299099f06cc0d45365a85;26/06/23 3:15;ESCANER
6858;El Progreso;4;Guastatoya;1;746;380;14;4;45;8;0;33;0;2;0;0;5;24;1;0;1;0;0;5;9;4;0;7;162;85;14;261;0;261;--;380;119;261;162;261;261;Algún campo sin dato;1;412fcc616445a9f042d81c2ed5257eb39a9cbcd6867b6f49623651932e24a4bc;26/06/23 0:47;ESCANER
6859;El Progreso;4;Guastatoya;1;746;380;23;1;54;11;2;33;0;1;0;0;2;21;0;0;1;2;1;3;8;1;0;10;174;66;16;256;0;256;--;124;124;256;174;256;256;Algún campo sin dato;1;659612615aefb1a412d1dc3e4448286bc1904e5bfdf2d7a0fd131517e2f5b0c8;26/06/23 5:47;ESCANER
6860;El Progreso;4;Guastatoya;1;746;380;20;1;42;10;2;40;0;1;0;1;1;32;0;0;0;0;0;2;11;1;0;7;171;86;8;265;0;265;--;380;114;265;171;265;265;Algún campo sin dato;1;9dc95ce5fdeaab4f449d84c029c658fd8f2ec26ca23034b9b02dec21c4ef90b1;26/06/23 2:54;ESCANER
6861;El Progreso;4;Guastatoya;1;746;380;23;2;43;9;0;46;1;0;0;0;6;16;0;0;1;1;0;4;5;4;0;5;166;80;18;264;0;264;--;385;121;264;166;264;264;Algún campo sin dato;1;6f09ef0686aaf5ee0267225f7f3303d176c2b83e272aa5681dc6d1c74da8ceb6;26/06/23 3:22;ESCANER
6862;El Progreso;4;Guastatoya;1;746;380;17;2;42;12;1;28;0;1;1;0;2;47;2;0;1;0;0;1;12;1;0;6;176;69;12;257;0;257;--;380;123;257;176;257;257;Algún campo sin dato;1;378e66d2a1be3782037e6d43002491108b47da0fade6e2b8f889f48f87d9c985;26/06/23 3:01;ESCANER
6863;El Progreso;4;Guastatoya;1;746;302;10;1;42;9;0;21;0;0;0;1;0;48;0;0;0;1;0;4;6;1;0;5;149;66;4;219;0;219;--;313;94;219;149;219;219;Algún campo sin dato;1;8718cfb857a6fc2275cc75b37ed563b95728b7a0ed201275c7f032d4590616a9;26/06/23 0:04;ESCANER
6864;El Progreso;4;Guastatoya;1;746;302;9;0;20;10;0;19;0;0;0;0;1;30;0;0;0;0;0;2;7;0;1;4;103;57;9;169;0;169;--;313;144;169;103;169;169;Algún campo sin dato;1;4532c150e12e98316419f0f6e2004722380464a758287a98199cd93d427c7147;26/06/23 1:48;ESCANER
6865;El Progreso;4;Guastatoya;1;747;380;23;1;32;1;2;50;0;2;2;2;5;9;3;1;0;0;0;2;7;1;0;2;145;56;39;240;0;240;--;380;140;240;145;240;240;Algún campo sin dato;1;1867c0bc909a3a2dc8127a77187696a57bd9c855e69baf8a6516c7cf69a3cb7b;25/06/23 21:24;ESCANER
6866;El Progreso;4;Guastatoya;1;747;380;28;1;35;2;0;49;0;1;0;0;5;4;6;3;1;0;0;2;5;3;0;1;147;67;51;264;0;264;--;380;116;264;146;264;264;Sumas Asentadas sin cuadrar;1;819aa026ff1d13cd17911481410daab2faa50d2f85880d3150dedd0445e6423b;26/06/23 0:31;ESCANER
6867;El Progreso;4;Guastatoya;1;747;342;20;3;30;2;2;38;1;0;1;1;5;8;1;0;0;0;1;0;7;3;0;1;124;59;33;216;0;216;--;350;134;216;124;216;216;Algún campo sin dato;1;b17ded1ce2d6a1409bb1dafcdfb77bb75f5675475b2de5625acd28f37166777f;25/06/23 21:38;ESCANER
6868;El Progreso;4;Guastatoya;1;747;342;20;1;38;3;0;52;0;0;0;0;6;11;3;2;0;1;1;0;8;0;0;2;148;59;20;227;0;227;--;347;120;227;148;227;227;Algún campo sin dato;1;ec309db3bc990e280072213f9361f31af97955087fe974ee04d04ee2a63e265f;26/06/23 0:23;ESCANER
6869;El Progreso;4;Guastatoya;1;748;468;7;2;17;10;1;6;0;0;0;0;3;21;0;0;1;2;1;7;4;1;0;6;89;32;4;125;0;125;--;474;349;125;89;125;125;Algún campo sin dato;1;e7b487fd52d81af6e6b62bd5dab664b25a6c33a9c99f44475814509e53346a19;26/06/23 1:09;ESCANER
6870;El Progreso;4;Guastatoya;1;748;468;3;1;6;2;1;7;0;1;0;1;0;9;0;0;0;0;0;0;2;0;0;0;33;15;4;52;0;52;--;479;427;52;33;52;52;Algún campo sin dato;1;79f1e02a317628357580f3cd98a9472ec90ffb7b69f6afc368d4417f114ca498;26/06/23 0:49;ESCANER
6871;El Progreso;4;Morazán;2;749;400;18;1;34;3;0;25;1;1;0;0;0;17;0;1;0;0;0;1;18;1;0;4;125;80;23;228;0;228;--;400;172;228;125;228;228;Algún campo sin dato;1;48c60cf395742fda89b7ebe57cc6f1737b2c3b3d4bae6e807f1f37739421c74d;25/06/23 19:52;ESCANER
6872;El Progreso;4;Morazán;2;749;400;21;0;27;1;3;25;1;0;0;0;1;7;0;0;1;1;0;2;18;2;0;4;114;82;39;235;0;235;--;399;164;236;114;235;235;Algún campo sin dato;1;4144bd524b5a5ed85e5a8d29a81b515a75a59d2919ef0ac575dd5bf7bf8e5b14;25/06/23 19:51;ESCANER
6873;El Progreso;4;Morazán;2;749;400;34;2;23;3;1;37;0;2;1;0;3;3;0;0;0;0;4;5;15;2;0;2;137;78;36;251;0;251;--;400;149;252;137;251;251;Algún campo sin dato;1;3e6785e2964e7e235d1818feef1e4d8a3a20a9409011d7a46185c4127c05e443;25/06/23 19:49;ESCANER
6874;El Progreso;4;Morazán;2;749;400;36;2;17;5;3;31;3;3;1;0;1;12;2;3;0;0;3;2;11;3;0;1;139;92;48;279;0;279;--;396;--;278;139;279;279;Algún campo sin dato;1;43d4c4c2b8df3f7c0b3a758cb005180fa65b4dbf8457f9f3d4b35b1e6e562a52;25/06/23 21:05;ESCANER
6875;El Progreso;4;Morazán;2;749;400;28;0;30;2;0;47;4;1;0;0;4;12;0;1;0;1;0;3;20;0;0;3;156;86;47;289;0;289;--;--;--;289;156;289;289;Algún campo sin dato;1;29fc1c4d560635cad7741e6b58a676af64e0983e3864e10f8713c513528a740b;25/06/23 21:05;ESCANER
6876;El Progreso;4;Morazán;2;749;400;24;2;29;0;0;47;0;2;0;0;1;8;0;1;0;1;0;3;27;1;0;2;148;105;50;303;0;303;--;400;97;303;148;303;303;Algún campo sin dato;1;2e8857673e14b5c1b57f6c2afb250b9d3a6ce338bdca01cc278641f979393e35;25/06/23 20:37;ESCANER
6877;El Progreso;4;Morazán;2;750;400;21;2;51;8;0;39;1;0;0;0;0;15;1;1;2;2;0;1;28;0;0;6;178;111;32;321;0;321;--;399;78;321;178;321;321;Algún campo sin dato;1;20d07bfb5932f4a4e3d1ab4135c6b8a18f4620cf2d61ab3163e750de4f29481d;25/06/23 20:58;ESCANER
6878;El Progreso;4;Morazán;2;750;400;29;0;53;3;1;85;3;1;2;0;1;9;0;0;0;1;0;7;17;2;0;5;219;85;28;332;0;332;--;400;68;332;219;332;332;Algún campo sin dato;1;c421e74cf15c0d4ddcb52ef03b776d13f85520418e113a9dbe998e2875b7c479;25/06/23 20:27;ESCANER
6879;El Progreso;4;Morazán;2;750;400;18;1;36;3;0;44;1;0;0;0;2;9;3;1;1;0;0;6;20;2;0;9;156;76;29;261;0;261;--;380;119;261;156;261;261;Algún campo sin dato;1;616af1ccdcf1086d4acf6b5dc6fe3657b479282d5850e938214ed42112e3a45f;25/06/23 21:04;ESCANER
