TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
866,832,96.0739,829,95.7274,3,314283,202373,64.3919

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,AZUL,CABAL,VALOR,MLP,UNE,P A N,VICTORIA,TODOS,VAMOS,ELEFANTE,PHG,PPN,MI FAMILIA,BIEN,PR,U R N G - MAIZ,PODEMOS,CREO,FCN-NACION,CAMBIO,UR,VOS,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11741,"Suchitepéquez",10,"Mazatenango",1,1578,400,8,4,9,12,3,14,1,11,39,19,12,2,5,2,2,0,4,5,2,4,6,4,16,24,208,43,10,261,0,261,--,397,136,208,261,261,Algún campo sin dato,1,91a7faf7b9e63e7842fb65f3de0aed69dafb935ad58d35460099ea6aa76ac1f2,26/06/2023 02:42:50,ESCANER
11742,"Suchitepéquez",10,"Mazatenango",1,1578,400,17,8,8,8,2,16,1,8,50,15,11,6,7,1,16,0,9,1,0,0,6,1,11,17,219,50,10,279,0,279,--,396,117,219,279,279,Algún campo sin dato,1,16b7ba192b2e97d68a1c9f79da1cf2e25989795c1fc29a3e2e7b582df31ab949,26/06/2023 01:53:32,ESCANER
11743,"Suchitepéquez",10,"Mazatenango",1,1578,400,27,8,9,16,5,13,0,11,36,10,14,9,6,2,9,0,6,3,1,2,8,2,12,16,225,42,5,272,0,272,1,400,127,225,272,272,,1,4cce92f80fd33f624ea684e83df3cbe9a6feb8845426389e6ceb17c0b09b1220,26/06/2023 03:03:10,ESCANER
11744,"Suchitepéquez",10,"Mazatenango",1,1578,400,16,11,7,15,4,14,0,7,40,11,14,6,9,1,11,2,5,8,2,0,3,2,15,24,227,52,10,289,0,289,--,400,111,227,289,289,Algún campo sin dato,1,bddf9e6d4776c1eae1769fbf8b095e41993f4d0004c48a71550a5bb5a68d5035,26/06/2023 03:45:47,ESCANER
11745,"Suchitepéquez",10,"Mazatenango",1,1578,400,16,2,16,9,4,21,1,6,23,11,20,8,7,3,18,0,6,11,0,0,4,0,8,21,215,18,7,240,26,266,--,400,134,215,240,266,Algún campo sin dato,1,0f8e83b7da0f63fb5c8eee644f5b35e945e5f77d5f1bab797e25200c7fe09eac,26/06/2023 02:01:23,ESCANER
11746,"Suchitepéquez",10,"Mazatenango",1,1578,400,14,4,11,8,8,16,4,8,40,14,13,6,8,1,13,1,8,8,4,1,3,0,0,19,217,55,10,282,0,282,--,392,110,212,277,277,Sumas Asentadas sin cuadrar,1,b64be10fa6304d894e0a324290b27b023c9b2f91941aefca5de689b8d52490d2,26/06/2023 03:15:50,ESCANER
11747,"Suchitepéquez",10,"Mazatenango",1,1578,400,9,6,10,11,7,9,2,11,43,15,15,3,8,4,8,1,3,6,2,0,6,2,17,30,228,47,5,280,0,280,--,400,120,228,280,280,Algún campo sin dato,1,8bb7a4f4708473646964dac197b60c8dbc337c6505294fad57dc615abe0f47de,26/06/2023 01:34:28,ESCANER
11748,"Suchitepéquez",10,"Mazatenango",1,1578,400,20,4,9,7,3,25,0,9,39,27,12,1,10,0,14,1,6,7,0,1,5,3,18,25,246,46,6,298,0,298,--,400,102,246,298,298,Algún campo sin dato,1,6d505f7a36fe561b99ac2bb1b303b23931dce110a59ee123c25d73e5052d97fd,26/06/2023 02:20:52,ESCANER
11749,"Suchitepéquez",10,"Mazatenango",1,1578,400,17,5,10,9,3,21,1,9,38,17,13,0,5,0,7,1,10,9,0,4,3,1,5,21,209,43,7,259,4,263,3,400,134,209,259,263,,1,0f836a8bfd8968d85fcb0f360217566281547fad129d88a76ed14258e6e71609,26/06/2023 03:02:09,ESCANER
11750,"Suchitepéquez",10,"Mazatenango",1,1578,400,11,6,13,11,3,25,1,7,29,12,19,1,9,1,14,0,1,7,1,3,3,2,21,27,227,50,19,296,0,296,--,396,100,227,296,296,Algún campo sin dato,1,2f3a4ed5fdb243e522737dda572badeb0302504398b3f9825b2d70412608fc9d,26/06/2023 01:28:13,ESCANER
11751,"Suchitepéquez",10,"Mazatenango",1,1578,400,11,14,12,15,1,10,0,10,32,11,12,3,9,1,8,0,7,6,2,0,8,0,18,22,212,38,4,254,--,--,--,400,146,212,254,254,Algún campo sin dato,1,7c0ab40193bf07488bf68f0ec40e2aeb8ca8ce6a26d1667568715cd5568b22db,26/06/2023 02:16:27,ESCANER
11752,"Suchitepéquez",10,"Mazatenango",1,1579,400,16,5,8,9,6,16,0,8,28,8,10,5,7,2,13,0,6,10,2,2,2,1,15,32,211,38,2,251,0,251,--,400,149,211,251,251,Algún campo sin dato,1,b8cc23f1f1074604f94e7b3dd50004963964753bc51c17c5e12ee6854141564b,25/06/2023 23:01:28,ESCANER
11753,"Suchitepéquez",10,"Mazatenango",1,1579,400,13,3,14,12,3,14,0,8,29,13,8,4,7,0,10,0,3,6,4,2,12,2,17,17,201,31,8,240,0,240,--,400,160,201,240,240,Algún campo sin dato,1,4e6aa9060fd981891469be2147dbe567390d0c0f056f1e07dba383107ae18483,26/06/2023 00:58:50,ESCANER
11754,"Suchitepéquez",10,"Mazatenango",1,1579,400,18,6,18,12,7,12,1,7,30,12,11,1,9,0,10,0,0,3,0,2,5,0,21,20,205,32,4,241,0,0,--,400,159,205,241,241,Algún campo sin dato,1,da90e3e5e051a5b70b4b6644084f28103a585e450afd9dd49873dfebc8130e9b,26/06/2023 01:18:38,ESCANER
11755,"Suchitepéquez",10,"Mazatenango",1,1579,400,22,4,18,6,5,3,1,5,32,8,17,3,14,1,12,1,4,9,2,0,3,2,15,27,214,35,5,254,--,254,--,400,146,214,254,254,Algún campo sin dato,1,bc20e9f675772c62d03e66c1d79eb3e36e2500302f7c3bbf11703e4bfa2d9eb6,26/06/2023 03:03:01,ESCANER
11756,"Suchitepéquez",10,"Mazatenango",1,1579,400,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Suma Excede Padrón,0,b8e64746d523da9a5fc40b76b8b6a2aced5e48b532354a0dda4c29b7931b76e8,26/06/2023 03:49:12,ESCANER
