TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
866,832,96.0739,829,95.7274,3,314283,202373,64.3919

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,AZUL,CABAL,VALOR,MLP,UNE,P A N,VICTORIA,TODOS,VAMOS,ELEFANTE,PHG,PPN,MI FAMILIA,BIEN,PR,U R N G - MAIZ,PODEMOS,CREO,FCN-NACION,CAMBIO,UR,VOS,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
11905,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1601,400,9,6,7,6,0,5,0,2,85,42,11,1,45,0,1,0,3,7,2,0,2,0,4,8,246,28,9,283,0,283,--,400,117,246,283,283,Algún campo sin dato,1,ee85533de7791abd1eb6cb5e26f5a8d9f06151cdb8748ceb66d53166c781003c,26/06/2023 02:29:16,ESCANER
11906,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1602,400,8,6,7,3,3,9,0,2,78,47,24,1,30,1,2,0,5,6,0,0,1,0,1,8,242,25,5,279,7,279,--,103,124,242,272,279,Sumas Asentadas sin cuadrar,1,c1c33173aa4834dc1af594b490cabc7738fb8e0dcadfe9d4349b584fd2fb559f,26/06/2023 04:17:46,MOVIL
11907,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1602,400,9,5,0,3,1,4,0,3,82,54,8,0,41,0,1,0,2,7,1,0,6,1,2,8,274,36,0,274,0,274,--,399,129,238,274,274,Sumas Asentadas sin cuadrar,1,380ebaf35e62855e00002cd0c95e22566155ac0e4f183edda1f34b013f782bcc,26/06/2023 02:38:18,ESCANER
11908,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1602,400,12,8,3,4,1,8,0,4,88,48,14,0,50,1,2,0,1,11,1,0,3,0,9,9,277,18,5,300,0,300,--,300,100,277,300,300,Algún campo sin dato,1,d0bb91dd36923fe14fbeec5a414ada63c0822831164b92be9afeac591a04ad30,26/06/2023 04:01:04,MOVIL
11909,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1602,400,8,2,1,6,0,7,4,0,96,45,17,0,32,0,3,0,4,12,0,0,2,0,5,16,260,14,8,282,0,282,--,400,116,260,282,282,Algún campo sin dato,1,9ff31a259a8e1d82fbd45b96874e73102463c374daeb8ebaccea7489d9795409,26/06/2023 02:22:32,MOVIL
11910,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1602,400,4,11,1,7,1,8,1,1,81,33,18,1,44,0,2,0,1,6,1,1,5,0,5,22,254,22,3,279,0,279,--,400,121,254,279,279,Algún campo sin dato,1,73ee60d91ce5fdb80bf0b5a528d0ea87d9ea858939de1281dbe6c71ea776493e,26/06/2023 01:15:22,ESCANER
11911,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1602,269,10,4,0,6,0,3,1,3,47,38,7,0,27,0,4,0,1,5,1,0,1,0,2,11,171,16,4,191,0,191,--,269,78,171,191,191,Algún campo sin dato,1,9f822c540f92790657d0e3bfe753c346a503d38ec85655dab2aefe09c653b729,25/06/2023 23:35:36,ESCANER
11912,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1602,268,1,1,2,3,0,5,0,2,47,27,10,0,22,0,1,0,1,10,0,0,3,0,0,10,145,16,10,171,0,171,--,268,97,145,171,171,Algún campo sin dato,1,1e3a50097d97abf4c489a1da4ea5eca9f28ccdd2cf4125c13cd6afb2f2bfb9a8,26/06/2023 02:14:15,MOVIL
11913,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1603,400,11,5,3,9,1,12,0,2,41,71,10,0,59,0,1,0,5,3,3,0,0,0,2,10,248,40,34,322,74,396,--,392,74,248,322,396,Algún campo sin dato,1,126ceb4cd5b1196b3abb905ce2559cca9da4fc37c04007b65fb0ca94ea0a69b9,26/06/2023 01:55:30,ESCANER
11914,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1603,400,8,0,6,2,1,8,2,1,53,69,4,1,72,0,3,0,3,6,2,0,3,0,7,5,256,45,19,320,84,404,--,404,84,256,320,404,Algún campo sin dato,1,384ab2919d85e059612f58dc4f191b45aa292b5dc8aff23e482fff53cfedd87a,26/06/2023 03:34:09,ESCANER
11915,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1603,400,6,2,3,2,1,14,0,0,52,68,4,0,85,1,2,0,6,16,1,0,1,0,4,5,273,39,29,341,0,341,--,397,55,273,341,341,Algún campo sin dato,1,4c142532134bf1a801b30054f7c6d8ea0157fb1af4356507c976a807cae949f6,26/06/2023 03:31:27,ESCANER
11916,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1603,400,15,4,3,1,2,11,1,0,50,81,3,1,80,1,1,0,2,8,4,2,0,2,1,4,277,33,27,337,0,337,--,404,67,277,337,337,Algún campo sin dato,1,65a3b8ddc71137d28dcdc4bafbcbfe88b15a85bf5cb0796c7a2576342af5a867,26/06/2023 02:11:08,ESCANER
11917,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1604,400,11,6,3,4,1,2,0,1,65,64,2,2,66,0,2,0,3,5,0,0,4,1,2,3,247,32,28,307,0,307,--,400,93,247,307,307,Algún campo sin dato,1,8a3ed2f00081a19b521a9958989aff48b31eefd624abf96fceab681170aabd2e,26/06/2023 00:26:21,ESCANER
11918,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1604,400,9,8,3,5,1,7,1,2,62,67,4,1,51,0,2,0,3,7,0,0,1,1,2,6,243,27,23,293,0,293,--,409,116,243,293,293,Algún campo sin dato,1,e6bbf15ffd740705988774952d8f97d7580b86b387134b1ba3ecced8bc213248,26/06/2023 02:29:38,ESCANER
11919,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1604,400,6,3,3,10,3,10,0,1,61,63,5,0,66,1,4,0,3,9,1,1,2,0,2,7,261,17,20,298,0,298,--,400,102,261,298,298,Algún campo sin dato,1,4a466bbee90dc0eeea95ca3614b31da78cd805e72ff94f2fd72ac7fcd4245f95,25/06/2023 23:29:32,ESCANER
11920,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1604,400,3,2,2,1,3,5,0,2,83,57,4,0,89,1,0,0,2,5,0,0,0,0,4,13,276,19,13,308,0,308,0,397,89,276,308,308,,1,d8e6a64d8bc6e342357cae82cc76c63e8418ae781dcb528e0f9909a43fc59ac3,26/06/2023 04:20:52,ESCANER
11921,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1604,322,4,3,3,0,0,3,1,0,47,51,2,0,51,0,2,0,2,5,0,4,1,1,6,12,198,25,5,228,0,228,--,319,91,198,228,228,Algún campo sin dato,1,64ee9927d0fc84e8247cb277eb3d6f933eb3b6089d06f17d1001967f9efbc989,26/06/2023 02:27:56,ESCANER
11922,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1604,322,11,1,2,5,0,1,0,2,53,40,3,0,55,0,0,0,2,5,0,0,2,3,8,6,199,17,11,227,0,227,--,322,95,199,227,227,Algún campo sin dato,1,d09782c83507a789b40c473e8a5db20f37e97766faaf833ddd0c06234872ae44,25/06/2023 23:46:29,ESCANER
11923,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1605,400,8,2,4,5,0,12,0,2,47,40,7,0,84,2,1,0,3,6,0,0,0,0,3,4,230,38,35,303,0,303,--,395,91,230,303,303,Algún campo sin dato,1,5684efdd92aae701acf2799fad533a5b923a7f0b85796c950821ee93b5baab4b,26/06/2023 02:18:04,ESCANER
11924,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1605,400,12,6,3,2,1,6,1,2,54,56,7,0,92,0,1,0,3,12,0,0,2,1,3,4,268,30,39,337,0,337,--,400,63,268,337,337,Algún campo sin dato,1,e602d6386ee9f4e7614b4a878c7241547765a8f8290888e3c74a80d579a5fad5,26/06/2023 01:26:18,ESCANER
11925,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1605,400,9,4,1,7,0,10,1,5,55,45,8,0,98,0,0,0,3,8,1,1,1,0,1,9,267,42,27,336,0,336,1,403,66,267,336,336,,1,ce895e5f3dba7f7a8aaf667c35f4a750b78ad67d28a53827e20fc8531a6c8c09,26/06/2023 01:46:21,ESCANER
11926,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1605,400,10,3,1,1,0,8,0,1,59,50,7,0,114,0,3,0,2,12,0,0,0,0,2,4,277,29,37,343,0,396,--,396,53,277,343,343,Sumas Asentadas sin cuadrar,1,a927f6af4d2c7075c3e3347a59cfdf0f2601e865a5d3985d6c1a1214cdd68de4,26/06/2023 04:51:17,ESCANER
11927,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1605,400,15,2,6,1,0,4,0,2,43,76,3,0,94,0,0,0,3,5,1,1,1,1,2,6,266,37,36,339,0,339,--,400,61,266,339,339,Algún campo sin dato,1,2ea2538fe99f1b352ae34a6a846b127da134c1a329ee8ca4506241a04f98cd3e,26/06/2023 02:00:01,ESCANER
11928,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1605,400,13,5,2,2,0,7,3,2,57,41,5,0,102,2,0,0,2,7,0,0,2,0,1,7,260,41,26,327,0,327,--,400,73,260,327,327,Algún campo sin dato,1,294e551063585ff8c2f157de1b45a2da759c9b4a8dfb393df325e2afa700aa28,26/06/2023 02:32:44,ESCANER
11929,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1605,400,16,2,1,2,1,6,1,1,64,47,7,1,78,0,3,1,1,9,2,0,3,0,2,5,253,34,12,299,0,299,--,400,101,253,299,299,Algún campo sin dato,1,59a84fde272b2d403d65fa0bf5c7ab5af1eb4cec97ed83e3879b18acc1582c08,26/06/2023 00:47:39,ESCANER
11930,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1605,400,10,4,2,3,0,6,1,0,62,41,7,0,81,0,0,0,3,6,0,0,1,0,5,2,234,24,19,277,0,277,--,400,123,234,277,277,Algún campo sin dato,1,13cff9107522a210117a99d89a0123ad30634d3fcce20bd9eb7b1a3733bfe5b2,26/06/2023 01:51:05,ESCANER
11931,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1606,400,12,7,3,4,0,11,0,0,61,44,4,0,87,1,0,0,0,9,3,0,1,1,3,4,255,27,17,299,0,299,--,400,101,255,299,299,Algún campo sin dato,1,9a2d5ce357fddb40471ba0b795b8d333c9c63a05aba6cf63b78d2cfa06ef3764,25/06/2023 22:59:23,ESCANER
11932,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1606,400,8,3,1,0,1,5,0,1,55,38,9,1,90,0,2,0,0,14,3,1,1,0,7,6,246,21,7,274,0,274,--,396,122,246,274,274,Algún campo sin dato,1,d1ace81dd8bf5beb65754bafb80d27285d677bd3acdfbe96da6b836209d4b1d0,26/06/2023 01:25:35,ESCANER
11933,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1606,400,7,6,1,5,3,7,2,3,64,37,7,0,88,0,0,0,1,6,0,0,1,0,4,16,258,15,17,290,0,290,--,400,110,258,290,290,Algún campo sin dato,1,6563a521b22f38eb9a476b95207582a4784c37a14932ae2fbaaabbdfec0ce1e1,26/06/2023 00:13:07,ESCANER
11934,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1606,392,9,2,0,1,0,4,1,2,59,44,5,0,93,0,1,0,3,9,0,0,1,0,3,7,244,17,23,284,0,284,--,392,108,244,284,284,Algún campo sin dato,1,701cadbd9045eaf3d1e8ae100fe14d5cce796eb13a68994da835fadef130acc9,26/06/2023 01:05:29,ESCANER
11935,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1606,391,3,0,3,4,0,5,0,1,62,35,1,0,96,0,1,0,5,7,1,0,1,0,4,7,236,10,16,262,0,262,--,391,129,236,262,262,Algún campo sin dato,1,2e83f203cd57d4c7bf9c13d5be246f4aed4d50971951fc3378fe114e2fb5824c,26/06/2023 01:31:08,ESCANER
11936,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1607,340,4,4,3,3,0,7,0,6,32,18,2,0,22,1,0,0,1,5,1,0,1,0,0,4,114,20,12,146,0,146,--,337,191,114,146,146,Algún campo sin dato,1,e25f18c19f9740f3e82d3a9f551334a6511bb2e26663d4d5305494a4fda51458,26/06/2023 00:45:46,ESCANER
11937,"Suchitepéquez",10,"San Francisco Zapotitlán",3,1607,340,1,1,3,1,0,2,0,0,15,14,6,1,11,1,3,0,2,2,0,0,0,0,2,5,70,8,6,84,0,84,--,340,256,70,84,84,Algún campo sin dato,1,ca569baedd8f6b145454a3c2bd69c66c046ccf4ba9acbf2c72e81e8989cedb23,26/06/2023 00:03:08,ESCANER
11938,"Suchitepéquez",10,"San Bernardino",4,1608,400,34,8,15,7,8,14,1,4,4,33,8,0,37,3,3,1,9,3,1,2,2,2,3,10,212,35,37,284,0,284,0,397,113,212,284,284,,1,f943f20a5e9f81a746db4c9caca5ca0735cfe90478c517b4077319d427145959,25/06/2023 23:32:58,ESCANER
11939,"Suchitepéquez",10,"San Bernardino",4,1608,400,39,7,20,3,5,14,1,3,10,37,14,1,32,0,4,0,4,1,0,4,3,0,2,8,212,19,28,259,0,259,0,400,141,212,259,259,,1,6b1ed8a63f8d88ecadb840b9ac5a7953f388bb4ecd9c1b9ece9e6f6a1398d1fa,25/06/2023 23:36:52,ESCANER
11940,"Suchitepéquez",10,"San Bernardino",4,1608,400,34,12,21,8,5,23,2,2,13,34,18,1,30,4,0,0,5,1,1,0,3,2,4,8,231,37,30,298,0,298,1,400,101,231,298,298,,1,0cb1676fac5e841e58461a06fc0fa61002761a3a96e4ed9c718742b5eca020fb,26/06/2023 03:06:15,ESCANER
11941,"Suchitepéquez",10,"San Bernardino",4,1608,400,37,15,18,8,6,13,4,7,18,26,5,1,32,0,2,0,6,4,1,2,2,0,5,10,222,31,26,279,0,279,0,400,121,222,279,279,,1,cd0e89e7a151a7de7fd4df818012f103158b4c76188d5a91ef43dca5dfee1c63,25/06/2023 23:56:21,ESCANER
11942,"Suchitepéquez",10,"San Bernardino",4,1608,400,29,6,11,8,11,16,2,2,7,26,13,1,29,1,3,0,4,1,1,1,2,0,5,10,189,42,30,261,0,261,0,401,140,189,261,261,,1,6d86e17945d81ccac33fe4ece2292bbd7996ac0ce54e754471d962ac2aab1426,26/06/2023 00:38:55,ESCANER
11943,"Suchitepéquez",10,"San Bernardino",4,1608,400,35,10,21,3,4,20,0,3,11,36,16,0,33,0,1,0,3,1,0,0,4,3,4,11,219,25,22,266,0,266,0,400,134,219,266,266,,1,0e2f27be2da7a7db3f313bd5b2bd4252fd3c37f3af23c21524c1d8064e771f9a,26/06/2023 00:46:10,ESCANER
11944,"Suchitepéquez",10,"San Bernardino",4,1608,400,35,13,16,7,4,23,2,3,4,28,6,0,38,2,2,0,4,1,1,0,7,2,7,4,209,36,32,277,0,277,0,396,115,209,277,277,,1,035fbf7d5b5568da274c750f62332a1fa5a827abdb6ac6028e054e2bffdd3f50,25/06/2023 23:37:39,ESCANER
11945,"Suchitepéquez",10,"San Bernardino",4,1608,400,33,9,29,2,5,22,4,2,5,38,8,1,30,1,1,0,5,2,3,0,3,1,2,2,208,39,27,274,0,274,0,400,126,208,274,274,,1,e4a600c6bb3ffb04a03224c79ea77faa023f406d0bd7be9b41290ea0d5866392,25/06/2023 22:37:12,ESCANER
11946,"Suchitepéquez",10,"San Bernardino",4,1608,400,41,4,35,1,4,35,3,2,6,41,8,0,36,0,1,0,2,1,0,1,2,5,1,1,230,54,25,309,0,309,0,396,87,230,309,309,,1,5a0411817384d5fa4917aa7627aac3e7c9e5974f976624cd59735b93037872d5,26/06/2023 00:07:46,ESCANER
11947,"Suchitepéquez",10,"San Bernardino",4,1608,400,39,9,19,5,1,38,4,4,4,58,6,2,41,0,2,0,2,0,0,0,0,0,3,4,241,34,34,309,0,309,0,400,91,241,309,309,,1,4d4e0a0b6d47834ce25ac31b395778f3a584dc672d148e492ae263cf0d65c92e,26/06/2023 03:34:22,ESCANER
11948,"Suchitepéquez",10,"San Bernardino",4,1608,400,40,7,25,7,8,17,2,3,8,60,8,1,36,1,0,0,5,3,3,1,1,0,3,8,247,36,32,315,0,315,1,396,81,247,315,315,,1,c0bdcdc8a97608e2cb48e077eade904acca3a8d12d672d68d4a3d17003f05f74,25/06/2023 23:44:18,ESCANER
11949,"Suchitepéquez",10,"San Bernardino",4,1608,400,40,7,26,6,7,18,2,6,10,26,10,1,36,0,2,0,2,1,1,1,1,0,6,11,220,20,19,259,0,259,0,400,141,220,259,259,,1,e49d2b7c56a326dc67fd1f7975b19b704f057315c314784d0f1575886d0bd734,25/06/2023 22:49:25,ESCANER
11950,"Suchitepéquez",10,"San Bernardino",4,1608,400,41,7,21,5,4,15,1,8,9,28,4,0,30,0,2,0,3,0,0,1,7,1,6,12,205,36,15,256,0,256,0,400,144,205,256,256,,1,3edb8d49a67369b857e91ddeeaba2708a037955ea84156ab3d3a023a634db2cb,25/06/2023 23:47:50,ESCANER
11951,"Suchitepéquez",10,"San Bernardino",4,1608,400,37,13,28,5,4,14,1,5,12,23,9,0,31,0,2,0,2,3,1,0,3,1,3,13,210,38,15,263,0,263,0,400,137,210,263,263,,1,789cc17ae0605533ebf6f3a61c9eae93923dfbeee5c46fb389e11520ac15db32,26/06/2023 02:13:32,ESCANER
11952,"Suchitepéquez",10,"San Bernardino",4,1608,400,36,8,23,5,9,15,3,3,10,22,7,1,27,1,0,0,2,4,0,4,0,0,1,10,191,35,23,249,0,249,0,396,147,191,249,249,,1,d1a41a809fa93056bbb5c9a120f1eaec454207f7b0b68729e04b3d4c97d8706c,26/06/2023 02:00:25,ESCANER
11953,"Suchitepéquez",10,"San Bernardino",4,1608,400,36,7,22,1,9,18,1,6,6,42,15,1,34,2,0,0,3,3,1,3,2,0,2,9,223,25,21,269,0,269,0,400,131,223,269,269,,1,b24da94b9da3093fcd041eeb423b9348aa2f1b796af5101cbe0414d4d8231b38,26/06/2023 01:28:36,ESCANER
11954,"Suchitepéquez",10,"San Bernardino",4,1608,400,35,3,23,3,6,15,2,4,7,18,6,1,29,0,0,0,4,1,0,5,4,0,3,5,174,27,24,225,0,225,0,396,171,174,225,225,,1,12a0c3747918b2739c27b4f488dc3be343942c5679491de911b9e1ae437f2346,25/06/2023 22:27:30,ESCANER
11955,"Suchitepéquez",10,"San Bernardino",4,1608,400,26,7,20,7,7,18,1,1,11,31,7,1,27,1,0,0,2,1,0,0,1,1,3,8,181,33,15,229,0,229,0,396,167,181,229,229,,1,f7466c5dc75dc59737a073c4dc43fd14b133fbe322cc7911238ae2faea51900c,26/06/2023 01:22:56,ESCANER
11956,"Suchitepéquez",10,"San Bernardino",4,1608,400,37,4,27,2,3,14,3,1,9,43,5,0,33,0,5,0,3,0,4,0,1,0,2,18,214,20,24,258,0,258,2,400,140,214,258,258,,1,73b243b13f76aeffb425a5b176e4f225a486320956646664321d17fc05221685,25/06/2023 22:06:58,ESCANER
11957,"Suchitepéquez",10,"San Bernardino",4,1608,400,42,5,23,3,2,13,2,1,8,42,9,0,35,0,2,0,0,3,0,1,3,1,3,12,210,18,13,241,0,241,0,400,159,210,241,241,,1,eebf042f6a146414cccb7ec658831af844a71dd11d88aad40a5754daaa798dbe,26/06/2023 01:33:58,ESCANER
11958,"Suchitepéquez",10,"San Bernardino",4,1608,400,28,11,34,4,6,12,2,4,9,26,7,0,29,0,3,0,3,3,0,1,2,1,9,19,213,30,9,252,0,252,0,396,144,213,252,252,,1,8135693c76240cb0421205f58fa07905e7688ed96237a39203c4a748f85d13da,26/06/2023 01:31:59,ESCANER
11959,"Suchitepéquez",10,"San Bernardino",4,1608,400,44,2,26,2,7,15,3,1,4,51,10,2,36,0,0,0,2,0,1,0,1,1,5,8,221,27,11,259,0,259,0,400,141,221,259,259,,1,084f634cd1611172ed5add866922b5fb2b9867dbf5b72cbe711f224db673181d,26/06/2023 00:10:06,ESCANER
11960,"Suchitepéquez",10,"San Bernardino",4,1608,400,47,13,16,3,4,17,2,5,4,34,5,1,43,0,1,0,8,1,0,1,4,2,4,0,215,18,10,243,0,243,0,400,157,215,243,243,,1,9f7f846892af074a5bb0605539dbb69fde145c270ed6f5bd4c746239a8c8c958,25/06/2023 23:36:34,ESCANER
11961,"Suchitepéquez",10,"San Bernardino",4,1608,207,12,5,12,3,1,4,2,0,6,7,4,0,16,0,1,0,1,3,0,1,1,0,6,13,98,17,6,121,1,122,0,210,88,98,121,122,,1,821d3f841e85568fdb5b7cff0a91bf91202f0e01e6c642c965adc6ea0fe9536a,26/06/2023 00:03:19,ESCANER
11962,"Suchitepéquez",10,"San Bernardino",4,1609,206,15,5,9,1,3,3,2,0,7,11,5,0,15,0,0,0,1,1,0,0,0,0,0,6,84,14,9,107,0,107,0,206,99,84,107,107,,1,e95eec980fef0b3891cf8687079d2c7aa4d74ec0fbcfb722a5e30cdc2dfc1ecd,25/06/2023 23:04:59,ESCANER
11963,"Suchitepéquez",10,"San Bernardino",4,1610,353,9,3,7,3,7,9,0,0,4,20,9,3,22,0,0,0,2,1,1,0,0,0,3,1,102,23,12,137,0,137,0,353,216,104,139,139,Sumas Asentadas sin cuadrar,1,c56aff7fc35e9db7a99059913263f33b084139175b3dec913719d62aedd000bf,26/06/2023 01:46:43,ESCANER
11964,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,5,3,1,0,2,25,1,2,6,65,2,4,2,0,2,0,3,17,1,0,56,0,2,2,201,27,34,262,1,263,--,396,133,201,262,263,Algún campo sin dato,1,cc4304c1546b3f3b5ddf7cb81226787cdef314b064635efdab0523f7e6979d64,26/06/2023 01:40:39,ESCANER
11965,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,7,3,3,4,2,19,1,1,5,55,2,2,1,0,3,0,6,13,1,0,62,1,0,0,191,38,40,269,0,269,--,404,135,191,269,269,Algún campo sin dato,1,a2b33eff41dd6f4e35db4b9243b89dcb6f1a7baf61b05d835968aedc61bb4726,26/06/2023 01:23:54,ESCANER
11966,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,11,1,3,6,1,12,1,0,4,65,2,1,7,1,4,0,6,19,1,0,65,1,0,3,214,32,46,292,0,292,--,396,104,214,292,292,Algún campo sin dato,1,b83aeedc4ed4d2f7c360cd060bd7bdc7b926a338751a0a0f013d50082c9f2690,26/06/2023 01:59:04,ESCANER
11967,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,12,1,2,1,0,23,1,2,4,48,1,1,3,1,1,0,12,27,0,2,60,3,3,1,209,32,40,281,0,281,--,400,119,209,281,281,Algún campo sin dato,1,962dcf78f0a9df170e906f5cf30d6349f5cabb3f7eaaaed168a3df729bad0e2a,26/06/2023 00:49:35,ESCANER
11968,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,7,2,0,6,0,16,1,3,4,74,1,1,5,0,3,0,9,33,0,0,68,3,0,2,238,24,52,314,0,314,--,398,84,238,314,314,Algún campo sin dato,1,c42e028c9fbbf65d5880fb488adc35a17182fdf5572db3d7c63eafac8ffab11a,26/06/2023 02:31:51,ESCANER
11969,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,7,3,1,0,1,22,1,1,1,83,3,0,2,0,3,0,17,21,0,0,65,1,1,2,235,36,51,322,0,322,--,400,78,235,322,322,Algún campo sin dato,1,2cc28c14280bfecc7dac7cebbac965f443be71ad206d0b2f9272d42de82ddb12,26/06/2023 00:21:00,ESCANER
11970,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,8,1,0,6,2,18,0,3,0,92,4,5,0,0,3,0,6,19,1,2,77,2,2,1,252,28,32,312,0,312,--,400,88,252,312,312,Algún campo sin dato,1,7f4efeb0ad3a4807ff46fd645f590398e82e9b28979df033496856f863eca2f8,26/06/2023 00:42:29,ESCANER
11971,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,9,3,2,4,1,24,1,2,3,96,5,5,2,0,1,0,3,11,0,1,73,3,4,1,254,26,37,317,0,317,--,403,86,254,317,317,Algún campo sin dato,1,7071f848ff66b69acc423d1363b5aef90a818ed8ad94c0197729ac7a8ab01d2b,26/06/2023 01:45:57,ESCANER
11972,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,11,0,1,7,2,14,0,1,3,78,4,1,9,0,1,0,7,19,0,0,75,5,1,3,242,33,19,294,0,294,--,396,102,242,294,294,Algún campo sin dato,1,9724bb6e1e287136616908b40cfa8b18c65b4e6f331323a95408c0fb62c0dbea,26/06/2023 02:04:56,ESCANER
11973,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,5,3,1,5,0,10,0,2,4,70,1,3,3,0,2,0,4,17,1,0,70,2,1,0,204,25,28,257,0,257,--,400,143,204,257,257,Algún campo sin dato,1,ce03d0ffdb41c155d438c050962f051605aaac1b957a7deecc576c8c60d93389,26/06/2023 01:56:01,ESCANER
11974,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,12,1,2,4,3,12,1,3,1,52,4,3,5,0,0,0,2,30,1,0,71,2,1,7,217,27,16,260,0,260,--,404,144,217,260,260,Algún campo sin dato,1,0cf044f9037e5425a55c4ac6ea0b57fab5f3454ede01d533db92942cd5ff5ee9,26/06/2023 01:29:43,ESCANER
11975,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,7,3,4,5,0,12,0,0,2,52,4,2,1,0,3,0,3,18,0,0,66,5,5,5,197,21,34,252,0,252,--,400,148,197,252,252,Algún campo sin dato,1,e0af4cba5ff3929d40004525b135a35d67121b0780d95e9810b7a12cb6731201,26/06/2023 02:13:51,ESCANER
11976,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,6,2,0,3,2,18,2,1,6,58,2,0,1,1,2,0,2,21,0,0,81,0,1,7,216,26,20,262,0,262,--,400,138,216,262,262,Algún campo sin dato,1,a173e86ceecc78364a684f06f778a4921c08f786f0bb0fab5e24b7fc7a329a03,26/06/2023 02:18:15,ESCANER
11977,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,11,5,0,3,0,13,1,3,3,62,4,0,2,2,2,0,1,21,0,1,88,1,4,8,235,14,14,263,0,263,--,400,137,235,263,263,Algún campo sin dato,1,2188ee77e7e0554075f6a94e57940ca0d13078490e99a716b9b538797e85f7e5,26/06/2023 02:42:18,ESCANER
11978,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,8,1,1,4,0,8,0,2,0,97,1,5,1,0,2,0,6,14,0,77,14,0,4,0,245,17,23,285,0,285,--,400,115,245,285,285,Algún campo sin dato,1,db09a308295f2464b938bdb1bd87c7af0416cc2917402e08b4bd63d2e20212f1,26/06/2023 03:29:27,ESCANER
11979,"Suchitepéquez",10,"San José El Ídolo",5,1611,400,9,0,0,6,0,17,0,0,3,82,3,3,7,0,2,0,6,25,0,0,80,1,3,11,258,19,19,296,0,296,--,394,98,258,296,296,Algún campo sin dato,1,636329fa2c0425b8c725b69569ba766ce82ebb1fe831e40c107ab63f647f1d70,26/06/2023 03:02:17,ESCANER
