TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
509,503,98.8212,503,98.8212,0,189734,108927,57.4103

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,BIEN,TODOS,CREO,PODEMOS,WINAQ,MLP,P A N,ELEFANTE,PPN,VAMOS,FCN-NACION,UNE,VICTORIA,UR,VIVA,VALOR,MI FAMILIA,PHG,CAMBIO,U R N G - MAIZ,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23111,"Jalapa",21,"Jalapa",1,3633,400,42,15,4,6,8,0,1,1,0,0,0,42,0,18,3,2,2,49,0,0,1,2,18,214,38,5,257,0,257,--,400,143,214,257,257,Algún campo sin dato,1,66e6c448822142bb94977228ab43772a31342cc8c40c00660c19aaaafc14853c,25/06/2023 23:42:55,ESCANER
23112,"Jalapa",21,"Jalapa",1,3633,400,46,19,5,6,6,0,0,2,0,1,1,28,0,15,6,3,8,41,0,3,2,2,14,208,26,12,246,0,246,--,400,154,208,246,246,Algún campo sin dato,1,7f8d4c64a0668cd485717167c3dbf4979baf1b12821acb2d902944765c9a46c7,26/06/2023 03:09:29,ESCANER
23113,"Jalapa",21,"Jalapa",1,3633,347,22,6,7,11,2,0,0,1,0,0,1,25,0,14,5,6,6,31,0,2,2,0,21,162,22,2,186,0,186,0,343,157,162,186,186,,1,9df2b0fd08f7580efd87af6a29ff348fa66ebb8c9565971f06e29000b94686f6,25/06/2023 22:44:05,ESCANER
23114,"Jalapa",21,"Jalapa",1,3633,346,37,9,2,4,1,0,5,0,0,0,1,27,0,15,4,3,3,42,0,0,2,1,30,186,8,2,196,0,196,--,346,150,186,196,196,Algún campo sin dato,1,07f2b40575cc16b26a004455ba9605900b043c1aeff5ebc4aae756e290b8cc79,26/06/2023 00:17:08,ESCANER
23115,"Jalapa",21,"Jalapa",1,3634,400,32,10,11,16,2,0,3,2,0,0,1,37,0,14,12,3,6,35,2,0,3,4,11,204,44,4,252,0,252,--,400,148,204,252,252,Algún campo sin dato,1,b1b323d3fc7b975926b2f4c768b789c9d80969eb59192ff4e4a0e07e956733f1,26/06/2023 00:52:28,ESCANER
23116,"Jalapa",21,"Jalapa",1,3634,400,33,6,4,9,0,0,0,3,0,0,1,29,0,18,5,4,8,52,2,0,2,5,15,196,45,15,256,0,256,--,400,144,196,256,256,Algún campo sin dato,1,73a99ed3f5473a48b7b87569e8843e8918c27e5c31f22052baa611bcaa471084,26/06/2023 00:11:10,ESCANER
23117,"Jalapa",21,"Jalapa",1,3634,400,34,7,1,17,1,0,3,2,0,2,1,34,0,24,2,11,6,45,0,1,3,2,12,208,41,11,260,0,260,--,400,140,208,260,260,Algún campo sin dato,1,9dca271530c45e4f07bc2574dfbe7634cbb44947f8b6e726d3d4c29b60cb6a13,26/06/2023 01:25:57,ESCANER
23118,"Jalapa",21,"Jalapa",1,3634,400,34,5,5,8,0,0,0,2,0,2,4,30,2,36,8,1,4,51,3,1,2,3,14,215,32,16,263,0,263,--,400,137,215,263,263,Algún campo sin dato,1,7e248f4c56076295dbf5ef1e58afccde81d6670f2fce7ff1fb0c1f42e9ed351c,26/06/2023 01:20:02,ESCANER
23119,"Jalapa",21,"Jalapa",1,3634,400,35,9,4,14,6,0,0,1,0,1,2,22,1,12,3,8,8,46,2,1,0,3,22,200,39,11,250,0,250,--,400,150,200,250,250,Algún campo sin dato,1,fb61c647a1b3e8136fe258f0902070749ccdbeefae4a5b5d5997e4974bcf5f64,25/06/2023 23:38:17,ESCANER
23120,"Jalapa",21,"Jalapa",1,3634,400,32,8,11,7,3,1,0,2,0,0,2,30,1,12,2,5,3,55,1,1,0,3,14,193,20,4,217,0,217,--,400,183,193,217,217,Algún campo sin dato,1,69f4fbbb6463ca4e2b76d7f5de51c454067ace76f3e0c87307b3d6af1356598d,26/06/2023 00:58:59,ESCANER
23121,"Jalapa",21,"Jalapa",1,3634,400,34,10,2,13,2,0,0,3,0,0,5,34,0,18,4,5,8,29,0,2,1,2,14,186,27,8,221,0,221,--,400,179,186,221,221,Algún campo sin dato,1,a83cdc4c51dc1c2ce57217313a3d724a35cb6f83c014573259af62f745d52cb3,26/06/2023 01:31:12,ESCANER
23122,"Jalapa",21,"Jalapa",1,3634,400,33,9,5,16,2,4,0,1,1,1,3,36,1,17,7,9,7,39,0,2,2,1,19,215,27,4,246,0,246,--,400,154,215,246,246,Algún campo sin dato,1,6b2365c9d9422e19b8606b6f6f29c43563975db88f3abb67a9e9ead03edaf9be,26/06/2023 01:18:08,ESCANER
23123,"Jalapa",21,"Jalapa",1,3634,400,31,6,5,16,4,1,0,1,0,2,0,26,0,17,5,10,13,37,1,0,0,7,13,195,39,12,246,0,246,--,400,154,195,246,246,Algún campo sin dato,1,d0f98e107ffdb674449d51fe4c7393303113e6a7a600afeaccb16f88a4f62b6a,26/06/2023 01:10:02,ESCANER
23124,"Jalapa",21,"Jalapa",1,3634,400,42,7,4,13,3,0,2,2,0,2,3,27,0,16,6,4,10,52,0,0,3,0,8,204,25,8,237,0,237,--,400,163,204,237,237,Algún campo sin dato,1,72bee491e85ce2eb6dcb826f535075c3f3faf116014a933ac3bc93f6b000f473,25/06/2023 23:34:29,ESCANER
23125,"Jalapa",21,"Jalapa",1,3634,400,28,10,3,13,3,0,0,3,1,0,1,22,0,20,5,5,3,40,2,1,5,1,25,191,34,4,229,0,229,--,400,171,191,229,229,Algún campo sin dato,1,f648117a43cc0100054cd4ce5682476423fbe16a21e0ed832f42677a5a8e9dc6,25/06/2023 22:49:30,ESCANER
23126,"Jalapa",21,"Jalapa",1,3634,400,23,8,1,17,1,0,0,2,0,1,1,19,0,8,6,5,13,50,1,0,2,2,23,183,22,3,208,0,208,--,394,186,183,208,208,Algún campo sin dato,1,00eeb9db1579e6b2504199884393f7ac28077b688f7c6fd14cbeceb1bd255976,25/06/2023 23:58:43,ESCANER
23127,"Jalapa",21,"Jalapa",1,3634,400,24,6,3,7,3,0,1,1,0,0,2,31,1,13,3,4,7,43,0,0,2,3,17,170,22,3,195,0,195,--,400,205,171,196,196,Sumas Asentadas sin cuadrar,1,1ef9ebaea1a14bb625985808174b0d3a513700e73323e52bb36171f6f9a44531,26/06/2023 01:13:51,ESCANER
23128,"Jalapa",21,"Jalapa",1,3634,400,47,6,5,10,2,0,0,3,0,1,2,35,0,12,2,6,8,45,1,3,0,1,30,219,24,2,245,0,245,--,400,155,219,245,245,Algún campo sin dato,1,e5ed49c741aae135c62b02a18f0b4b3e1da358855e83a78e6ed42c2f1d5318ff,26/06/2023 00:20:34,ESCANER
23129,"Jalapa",21,"Jalapa",1,3634,310,41,8,4,5,2,0,1,2,0,1,2,28,0,11,1,6,4,25,0,0,1,1,24,167,12,6,185,0,185,--,310,125,167,185,185,Algún campo sin dato,1,f783f48febd096af18c652b3b25eb16699c6b4e4174c12cd7e8d7e78aaedd758,25/06/2023 22:57:19,ESCANER
23130,"Jalapa",21,"Jalapa",1,3634,310,18,3,1,4,0,0,0,1,0,1,0,10,0,7,0,3,8,38,0,0,0,0,15,109,13,1,123,0,123,--,310,187,109,123,123,Algún campo sin dato,1,929ef6f90487a6b9eb912d3f7f5ccda802790514073c9571fa84ef0271d46f7c,25/06/2023 22:09:18,ESCANER
23131,"Jalapa",21,"Jalapa",1,3635,400,23,--,3,7,--,--,--,2,--,1,2,15,--,49,1,8,1,54,1,--,1,1,5,174,31,13,218,--,218,--,400,182,174,218,218,Algún campo sin dato,1,53df83dce2b3ce0f532b5917e24c3d4683cb3ad7ac6e9d3828f9a7a9e5d801c2,26/06/2023 00:53:54,ESCANER
23132,"Jalapa",21,"Jalapa",1,3635,400,13,2,5,7,1,0,0,0,0,0,1,9,0,54,2,13,2,60,0,0,3,1,2,175,40,9,224,0,224,--,400,176,175,224,224,Algún campo sin dato,1,578f23703d38499bfcbf6bf014280536b8411515ae570f90fe88f69e0c5ed3fb,25/06/2023 23:09:12,ESCANER
23133,"Jalapa",21,"Jalapa",1,3635,354,22,1,2,4,2,1,1,1,0,0,2,12,0,23,0,6,1,43,0,0,0,1,3,125,24,17,166,0,166,--,354,189,125,166,166,Algún campo sin dato,1,e61186344889bb340ebbb18cbe6ca5a45b4ecb991e11389c320af487306ebdc8,25/06/2023 23:59:54,ESCANER
23134,"Jalapa",21,"Jalapa",1,3635,353,9,3,1,3,1,0,0,1,0,0,5,8,1,22,1,8,1,59,0,2,1,0,2,128,11,4,143,0,143,--,350,207,128,143,143,Algún campo sin dato,1,d31fe49229b8de5153ceb340c96f5ee4be818b65077c8ee19c5620d49c310149,25/06/2023 22:47:01,ESCANER
23135,"Jalapa",21,"Jalapa",1,3636,400,28,2,2,7,0,0,1,6,0,0,1,30,0,28,8,10,3,43,1,0,0,3,11,184,31,14,229,0,229,--,400,171,184,229,229,Algún campo sin dato,1,19bf41be8db84fc11068ce57ba1a9eff69948ea0248ce16a37f9e6ed64fc9a70,26/06/2023 00:08:30,ESCANER
23136,"Jalapa",21,"Jalapa",1,3636,400,27,3,2,6,0,0,0,19,1,1,1,26,0,21,10,14,6,22,2,1,0,0,5,167,32,26,225,0,225,3,400,175,167,225,225,,1,8b55fc66b72ad4bfd39a7f0fb4f37dd185faee4f8e5a214545caee54472f74a4,26/06/2023 00:18:21,ESCANER
23137,"Jalapa",21,"Jalapa",1,3636,400,27,1,4,5,2,0,2,8,0,1,2,19,0,31,8,8,2,44,1,1,0,1,11,178,34,19,231,0,231,--,400,166,178,231,231,Algún campo sin dato,1,1db84e8bcc90077bee8c3fcee3a3a624a98a12827baa10d8d8027eb5ac993955,25/06/2023 23:32:00,ESCANER
23138,"Jalapa",21,"Jalapa",1,3636,400,38,7,3,8,0,0,1,7,3,1,0,25,0,27,5,12,7,41,2,0,0,3,9,199,48,13,260,0,260,--,400,140,199,260,260,Algún campo sin dato,1,aaa2a4db38d44d1f3008d0b1e4c33b386436c626b74fe47659dc2606e8707db8,26/06/2023 00:03:05,ESCANER
23139,"Jalapa",21,"Jalapa",1,3636,400,35,10,3,4,3,0,1,2,0,0,1,32,3,20,6,8,5,51,1,2,2,2,20,211,37,8,256,0,256,--,400,144,211,256,256,Algún campo sin dato,1,6e7312589cd758c3fa93c920f0b9d2c0d0987c696234b3b51294e83c5e8a4a8d,25/06/2023 22:51:58,ESCANER
23140,"Jalapa",21,"Jalapa",1,3636,400,32,4,5,11,1,0,0,5,0,0,3,20,0,11,6,11,1,45,0,0,2,2,9,168,29,10,207,0,207,--,400,193,168,207,207,Algún campo sin dato,1,93691e389bc0f7db25c2eca8605d392c6d2a232457d79d42dc67d9e355429d72,25/06/2023 22:34:12,ESCANER
23141,"Jalapa",21,"Jalapa",1,3636,400,26,9,6,9,0,0,0,2,0,0,2,20,0,8,5,7,8,63,0,0,2,1,19,187,24,9,220,0,220,--,400,180,187,220,220,Algún campo sin dato,1,263483a7ed65a7e36806e79ce6cb85a0a3163350fb8dc8adbcdbb580dea7645b,25/06/2023 22:13:20,ESCANER
23142,"Jalapa",21,"Jalapa",1,3636,400,43,4,7,6,1,0,0,3,0,0,2,23,1,22,4,2,7,50,0,0,0,2,21,4,0,7,50,0,0,--,400,160,198,205,205,Sumas Asentadas sin cuadrar,1,2653dab8f1c7b99fecd5d17ddb41c6b5f2675d41ccf34816df1c334215745235,25/06/2023 23:58:47,ESCANER
23143,"Jalapa",21,"Jalapa",1,3636,400,36,8,4,15,1,0,0,5,1,1,0,28,0,17,4,3,5,54,2,1,1,2,12,200,26,4,230,0,230,--,400,170,200,230,230,Algún campo sin dato,1,2b1c4fc092e5df3b274e7cb9a2088a887522ec648fc56bb76bddf7e70ab97b23,25/06/2023 22:39:19,ESCANER
23144,"Jalapa",21,"Jalapa",1,3636,400,16,3,4,5,1,0,0,1,0,2,2,27,0,15,0,10,4,43,0,0,3,1,9,146,23,4,173,0,173,--,400,227,146,173,173,Algún campo sin dato,1,5af5644b08e2326c2b2eb46b0a34f7a2c52222a631ffbf2b18f8fae8577d8c34,25/06/2023 23:26:41,ESCANER
23145,"Jalapa",21,"Jalapa",1,3636,400,33,7,3,8,0,0,0,4,0,0,2,29,0,11,1,5,3,51,0,2,2,0,33,194,18,1,213,0,213,0,400,187,194,213,213,,1,719d98aca1f112d97ed843c40e94d807cdde1a87460b5355518386b8d3bdf0ac,25/06/2023 22:45:24,ESCANER
23146,"Jalapa",21,"Jalapa",1,3637,400,30,6,5,5,1,1,0,5,0,0,2,19,0,4,3,6,5,55,1,0,3,0,31,182,19,3,204,0,204,--,400,196,182,204,204,Algún campo sin dato,1,1947b0c2bfd2a6aaca02374c56a787d2a2c5298477d92aad8a2ba2c93e4c87b6,26/06/2023 00:05:04,ESCANER
23147,"Jalapa",21,"Jalapa",1,3637,226,16,2,1,5,0,0,0,2,0,0,0,11,0,8,5,4,3,25,1,0,0,0,6,89,10,2,101,1,102,--,226,124,89,101,102,Algún campo sin dato,1,ed80d912262d7949f3c068ff165b6a5dac064c2483a4756c08ada909f925db9e,25/06/2023 23:11:42,ESCANER
23148,"Jalapa",21,"Jalapa",1,3637,226,12,3,2,6,0,0,0,2,0,0,0,8,0,3,3,4,0,19,0,0,1,0,2,65,8,4,77,0,77,--,226,149,65,77,77,Algún campo sin dato,1,c0f6a3b02ced16b68ac3f88e70503f616253414255e3ece1aaa3c3f2e1ce01c1,25/06/2023 22:51:52,ESCANER
23149,"Jalapa",21,"Jalapa",1,3638,400,28,11,5,5,1,0,0,2,2,1,3,17,0,15,5,7,2,33,1,1,1,1,11,152,21,15,188,0,188,--,400,212,152,188,188,Algún campo sin dato,1,39a30f1ede61ff35594c2ac436c03389a5068a4625fe2c5fdc4fe5cd56f99d19,26/06/2023 01:14:11,ESCANER
23150,"Jalapa",21,"Jalapa",1,3638,400,35,13,6,5,1,0,1,3,3,0,2,11,0,16,8,12,3,31,2,0,1,2,8,163,34,10,207,0,207,--,400,193,163,207,207,Algún campo sin dato,1,693bbd5de132cd20c646f5187c90055dd0c4041d5827f19300dfd83751fe9c7d,26/06/2023 01:49:49,ESCANER
23151,"Jalapa",21,"Jalapa",1,3638,400,31,7,3,4,3,0,1,0,0,3,1,26,0,11,3,8,4,47,0,0,1,1,11,165,28,5,198,0,198,--,400,202,165,198,198,Algún campo sin dato,1,8f76e19357d92a48ad6fd86dd4b33e61cc80f2d830f02ead6fe6dc0e5c9a12fa,26/06/2023 01:44:16,ESCANER
23152,"Jalapa",21,"Jalapa",1,3638,400,34,5,4,11,3,0,0,1,0,1,2,26,1,14,6,6,6,38,2,0,0,0,19,179,26,13,218,0,218,--,397,179,179,218,218,Algún campo sin dato,1,0975ba0a4084d87ef8e742b1a2a98aff4bd5dd53e08fe9770fe915badb5afef0,26/06/2023 02:29:07,ESCANER
23153,"Jalapa",21,"Jalapa",1,3638,325,24,1,5,6,1,0,2,2,0,3,0,11,0,6,3,7,2,36,1,3,1,3,23,140,17,6,163,0,163,--,325,162,140,163,163,Algún campo sin dato,1,e60a4976f1a6f9c099a9ab4017053505e3aff428356ad28a595f893aeb63d257,26/06/2023 02:36:26,ESCANER
23154,"Jalapa",21,"Jalapa",1,3638,324,0,1,5,7,1,2,2,3,0,1,29,6,0,9,5,4,3,28,0,0,0,1,24,131,16,3,150,0,150,--,324,174,131,150,150,Algún campo sin dato,1,d21855da63fddf4b8ec0d420b6d50f92804e4d267e8576fffba590faaf39dd1e,26/06/2023 00:58:29,ESCANER
23155,"Jalapa",21,"Jalapa",1,3639,380,17,3,4,5,2,0,0,12,0,0,5,15,0,34,4,4,15,45,1,0,0,1,2,169,43,16,228,0,228,--,380,152,169,228,228,Algún campo sin dato,1,cf7f4442ea1b77c30ae62c827bb6c2744b77bbf3f124d8a91cf500f04dd99a69,25/06/2023 22:43:27,ESCANER
23156,"Jalapa",21,"Jalapa",1,3639,380,12,1,4,3,0,0,0,12,0,1,2,23,4,34,4,4,20,53,3,1,1,2,4,188,45,27,260,0,260,--,380,120,188,260,260,Algún campo sin dato,1,22b7cf764a3798064c83f6b0964fbd7556a31a4571e651c3d470ac4d451e9a02,26/06/2023 00:22:41,ESCANER
23157,"Jalapa",21,"Jalapa",1,3639,380,5,3,3,5,1,1,0,11,1,0,1,20,1,34,4,7,16,52,7,0,0,6,2,180,41,20,241,0,241,--,380,139,180,241,241,Algún campo sin dato,1,dfbdd87b7b8d6ea70bcb6fcf1a8d8550e3d6f1fa9ab34b05fc78ce7773182246,25/06/2023 23:44:24,ESCANER
23158,"Jalapa",21,"Jalapa",1,3639,380,9,1,6,10,1,0,3,11,0,0,1,24,2,36,0,5,14,49,0,1,1,0,1,175,23,28,226,0,226,--,380,154,175,226,226,Algún campo sin dato,1,ce0428dfa89a2819a5c7addedd44bd1d31bb99f20a0f60b0b811da82e8b757c2,25/06/2023 23:54:41,ESCANER
23159,"Jalapa",21,"Jalapa",1,3639,380,13,2,1,10,1,0,1,13,0,0,2,25,5,44,5,7,11,35,0,1,1,5,1,183,34,21,238,0,238,--,378,139,183,238,238,Algún campo sin dato,1,ff401a529d82467e45374263ae6b3da0998db69f774d1f6f3347de61af9110d3,26/06/2023 00:12:31,ESCANER
23160,"Jalapa",21,"Jalapa",1,3639,380,17,3,4,6,1,0,0,7,0,0,2,24,1,51,1,5,10,42,1,0,0,1,1,177,39,28,244,0,244,--,380,136,177,244,244,Algún campo sin dato,1,50cf8c7886e4873e849e41fa3afa60e4481a6628144b590c2c922f17f4cf580e,26/06/2023 00:17:18,ESCANER
23161,"Jalapa",21,"Jalapa",1,3639,380,14,3,6,7,0,0,0,3,2,2,2,31,0,54,3,7,8,42,0,0,0,2,1,187,41,21,249,0,249,--,380,131,187,249,249,Algún campo sin dato,1,39c459578029d3d05761beb37dd003e5210286b6ebe6c8983cb0e9af23fe9375,25/06/2023 23:50:03,ESCANER
23162,"Jalapa",21,"Jalapa",1,3639,380,14,1,7,3,2,0,0,6,0,0,1,18,0,29,3,8,19,51,1,0,1,2,2,168,38,29,235,0,235,--,380,145,168,235,235,Algún campo sin dato,1,65f30d6931cb529e96147fe4725c3de3be07bff5f8390fecbf971721133f6199,26/06/2023 00:06:42,ESCANER
23163,"Jalapa",21,"Jalapa",1,3639,380,14,1,3,2,1,0,0,7,1,0,1,18,2,21,0,4,9,44,0,0,3,1,2,134,22,12,168,0,168,--,380,212,134,168,168,Algún campo sin dato,1,442ffdd0d5d138947524d026e6ddb01281d7159e92160709a43c2494b5a418a0,25/06/2023 22:52:55,ESCANER
23164,"Jalapa",21,"Jalapa",1,3639,380,13,1,1,7,1,0,1,7,0,1,2,14,2,21,7,6,15,44,1,0,1,2,1,148,24,7,179,0,179,--,380,201,148,179,179,Algún campo sin dato,1,919f390568738ad4b0fcb0ddc8a7d6b93be395dade6faf846b7f82d0c9852f13,25/06/2023 23:32:13,ESCANER
23165,"Jalapa",21,"Jalapa",1,3639,380,13,3,3,4,0,0,0,4,1,0,5,15,1,20,0,2,9,44,0,0,0,5,6,135,17,7,159,0,159,--,381,222,135,159,159,Algún campo sin dato,1,88e9fd9dd8bb667210d67a1f7dae2460e89ec07b8504f55b81ca779f5d74d009,25/06/2023 23:33:56,ESCANER
23166,"Jalapa",21,"Jalapa",1,3639,380,10,1,1,8,0,0,0,7,1,1,0,16,0,18,4,7,11,46,0,0,1,0,1,134,33,12,179,1,180,--,377,197,133,178,179,Sumas Asentadas sin cuadrar,1,8607e372ee50d352868cd59aaf8ac71fc69fedbb6b6023279b1c9e73cdaf53ab,26/06/2023 01:28:50,ESCANER
23167,"Jalapa",21,"Jalapa",1,3639,380,14,1,5,6,0,0,0,5,0,0,0,19,5,13,0,2,11,42,1,0,0,0,8,132,13,8,153,0,153,--,380,227,132,153,153,Algún campo sin dato,1,6a45c327f6cfd243fcdf73fc661568cfc1f5de05b25ae7dab5502d698533da32,25/06/2023 23:08:01,ESCANER
23168,"Jalapa",21,"Jalapa",1,3639,380,9,0,0,3,2,0,0,8,0,1,0,20,0,33,3,4,7,42,0,1,0,1,1,135,21,17,173,3,176,--,380,204,135,173,176,Algún campo sin dato,1,40f30bd83768708397ca55026f8ac7c5843788649463cf134d8614d5af655036,25/06/2023 23:25:13,ESCANER
23169,"Jalapa",21,"Jalapa",1,3639,228,6,0,0,0,1,0,0,4,0,0,0,12,0,12,0,4,4,22,0,0,0,0,3,68,9,5,82,0,82,--,228,146,68,82,82,Algún campo sin dato,1,572854822e41bd62652610b98146f4f443c43abfb86e15a04d05e50d3578dcf4,25/06/2023 22:35:06,ESCANER
23170,"Jalapa",21,"Jalapa",1,3639,227,5,1,1,0,0,0,0,4,0,1,1,16,0,18,0,2,2,23,1,0,1,0,0,76,14,7,97,0,97,0,227,130,76,97,97,,1,83471e985e29ddcbb05f843e7ae3615d7c5fface8560804a2715a035f2878ee0,25/06/2023 23:17:50,ESCANER
23171,"Jalapa",21,"Jalapa",1,3640,380,40,1,4,2,0,0,0,6,1,0,0,20,0,29,0,2,2,30,0,0,0,2,3,142,32,21,195,0,195,--,380,185,142,195,195,Algún campo sin dato,1,4c3e02cb219da3c7cde70a2e52747437ede758428c80a8cf22ae6bf922ac9483,26/06/2023 00:54:05,ESCANER
23172,"Jalapa",21,"Jalapa",1,3640,380,29,3,5,0,0,0,0,6,0,3,2,28,2,39,0,4,6,23,1,2,1,4,2,160,36,17,213,0,213,--,380,167,160,213,213,Algún campo sin dato,1,3cb1b1e898bf569a2ba30426b8f213f80c1f5bbb7df47e0ea05e01bde5d2d5ea,26/06/2023 02:37:04,MOVIL
23173,"Jalapa",21,"Jalapa",1,3640,380,39,2,9,2,1,1,0,0,0,0,0,23,0,44,0,0,3,31,3,0,2,4,6,170,46,19,235,0,235,--,380,145,170,235,235,Algún campo sin dato,1,042956e50fce7f7dced47080bd01c79666c36572cb487d9e8540fd7243e73458,26/06/2023 02:02:57,ESCANER
23174,"Jalapa",21,"Jalapa",1,3640,380,35,0,5,2,0,1,0,3,1,2,1,27,1,64,2,3,7,88,0,2,0,3,2,189,31,16,236,0,236,--,389,153,249,296,296,Sumas Asentadas sin cuadrar,1,fd475ae77270f65327b79d55fa5b174786a791d6b46d719403f1463967d4a7dc,26/06/2023 01:49:38,ESCANER
23175,"Jalapa",21,"Jalapa",1,3640,380,47,0,5,1,0,1,0,1,0,0,0,31,0,55,1,2,2,34,2,1,1,3,1,188,41,17,246,0,246,--,380,134,188,246,246,Algún campo sin dato,1,0a49324b38a9483973fa50fd9cb8311999a49ec3d2c29e516a1d6b9932afd75e,26/06/2023 00:57:16,ESCANER
23176,"Jalapa",21,"Jalapa",1,3640,380,32,4,3,3,3,0,0,1,0,0,1,40,0,40,4,5,1,37,0,1,0,1,1,177,54,12,243,0,243,--,380,137,177,243,243,Algún campo sin dato,1,0264f8a1c856c8bab1296f3c7da65dc5073ff11aa4f8dd4d33e11ebeed0ab05a,26/06/2023 01:15:06,ESCANER
23177,"Jalapa",21,"Jalapa",1,3640,380,40,2,6,1,2,2,0,2,2,3,1,29,0,46,2,3,1,32,0,0,0,3,5,182,43,23,248,0,248,--,380,132,182,248,248,Algún campo sin dato,1,a72e66994e5702b3da2ae0e3bfc5027df7a17e68c9e2a6056a1f8aa265c7aef0,26/06/2023 01:37:48,ESCANER
23178,"Jalapa",21,"Jalapa",1,3640,380,40,4,8,0,0,0,0,1,0,1,1,24,0,36,1,3,2,44,0,1,1,2,4,173,45,10,228,0,228,--,379,151,173,228,228,Algún campo sin dato,1,aa572cefa99308214f6fc4943f665ad64f8d3594bdeb46f80ce60735f0826932,26/06/2023 01:23:37,ESCANER
23179,"Jalapa",21,"Jalapa",1,3640,380,38,2,2,2,3,0,0,0,0,1,1,25,1,24,1,1,5,34,0,0,1,3,2,146,33,12,191,0,191,--,380,189,146,191,191,Algún campo sin dato,1,1436231a23d0a0f0e3101384d1731af52ce565c100ab2e803cce15b6632e22ae,26/06/2023 01:35:05,ESCANER
23180,"Jalapa",21,"Jalapa",1,3640,380,34,2,3,0,1,0,0,1,0,0,1,18,0,32,1,1,3,37,0,0,0,0,3,137,25,9,171,0,171,--,380,209,137,171,171,Algún campo sin dato,1,e31ac6c240b353b82d0349bdd69aa6d138e36e5bbed21c8ff933c583c29742fd,26/06/2023 01:27:38,ESCANER
23181,"Jalapa",21,"Jalapa",1,3640,380,33,0,1,0,4,0,2,0,0,0,2,12,0,27,3,3,4,25,0,0,1,0,3,120,28,15,163,0,163,--,377,214,120,163,163,Algún campo sin dato,1,3529802fda546f79fe8712c2149c0157db0fa4a4f66f0a41dbe984fd601a5bf6,26/06/2023 01:12:52,ESCANER
23182,"Jalapa",21,"Jalapa",1,3640,380,30,2,2,2,1,0,0,1,0,0,0,22,0,32,0,1,0,35,0,1,1,0,1,131,22,9,162,0,162,--,380,218,131,162,162,Algún campo sin dato,1,4c3d38ac52303a5355995f263e020b1b66ac7f31da2ef9404dd5425346d79e92,25/06/2023 23:51:35,ESCANER
23183,"Jalapa",21,"Jalapa",1,3640,380,31,1,4,0,0,0,1,1,1,2,0,26,0,37,1,4,3,41,0,1,0,0,3,157,18,9,184,0,184,--,380,196,157,184,184,Algún campo sin dato,1,38cdf20bbda583b450b7d7f4aa4c031ad2671ed0a628cb034f0ce721adb28697,25/06/2023 23:56:54,ESCANER
23184,"Jalapa",21,"Jalapa",1,3640,229,12,0,2,0,0,0,0,1,0,0,0,10,0,17,0,1,0,23,0,0,0,0,2,68,13,8,89,0,89,--,229,140,68,89,89,Algún campo sin dato,1,69e558c283fd425424df20f45c748d04198972d17337d33ed65a228a9da3d1b0,25/06/2023 22:54:49,ESCANER
23185,"Jalapa",21,"Jalapa",1,3640,228,20,0,5,0,0,0,0,2,0,1,0,12,0,26,0,2,0,30,0,0,0,1,2,101,10,12,123,0,123,--,228,105,101,123,123,Algún campo sin dato,1,5899fedcfd63bf05402de9ee0d7abe0f3fb262c849aeb4a0f01d76c354569707,25/06/2023 23:16:22,ESCANER
23186,"Jalapa",21,"Jalapa",1,3641,380,13,3,0,2,1,0,1,3,0,0,0,5,11,22,2,13,5,24,1,3,0,1,1,110,26,17,153,1,154,--,380,227,111,154,155,Sumas Asentadas sin cuadrar,1,7d153fa01f49f3e6629c899ae2ac38f3106e1d475963b84d716ecbf7a9aeb2c6,25/06/2023 23:51:52,ESCANER
23187,"Jalapa",21,"Jalapa",1,3641,380,15,1,3,3,0,0,1,0,2,2,1,12,12,36,2,12,5,42,0,1,1,1,0,152,23,26,201,0,201,1,380,178,152,201,201,,1,fa20d068c0f77e8455eef9e0a0419574de0455f119117b38349cbeba276dc03a,25/06/2023 23:33:40,ESCANER
23188,"Jalapa",21,"Jalapa",1,3641,380,10,1,4,4,0,0,2,5,0,0,0,8,3,31,0,14,3,19,0,0,1,1,1,107,26,17,150,0,150,--,380,230,107,150,150,Algún campo sin dato,1,4636fdfe096e865b5e7819c9cf797b79ec484b2ea858be1b4a01d2f3f95eaac2,26/06/2023 00:20:51,ESCANER
