TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
509,503,98.8212,503,98.8212,0,189734,108927,57.4103

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,CABAL,AZUL,BIEN,TODOS,CREO,PODEMOS,WINAQ,MLP,P A N,ELEFANTE,PPN,VAMOS,FCN-NACION,UNE,VICTORIA,UR,VIVA,VALOR,MI FAMILIA,PHG,CAMBIO,U R N G - MAIZ,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23070,"Jalapa",21,"Jalapa",1,3627,400,41,4,8,16,2,0,3,1,0,0,1,22,0,12,4,9,6,41,1,2,3,0,11,187,20,8,215,0,215,--,400,185,187,215,215,Algún campo sin dato,1,67f4db2199c8cdfec8d31b31e52d4754f296d9be1df79bbefa1dc192e06d7cb2,26/06/2023 01:10:44,ESCANER
23071,"Jalapa",21,"Jalapa",1,3627,400,50,8,11,16,0,0,1,1,0,0,0,38,0,12,6,10,8,38,0,3,5,2,28,237,21,1,259,1,260,--,400,140,237,259,260,Algún campo sin dato,1,f0fdc04d1521a543381399bbe602c5b6c7e16ea50d3986b5c28ab797044d38ff,26/06/2023 01:51:38,ESCANER
23072,"Jalapa",21,"Jalapa",1,3627,400,0,6,0,12,26,0,26,19,2,1,1,1,1,5,0,4,0,0,4,3,6,0,0,172,46,2,220,1,221,1,400,179,117,165,166,Sumas Asentadas sin cuadrar,1,7cacdd6850264272ce63d20e906274b400db8d9ba8949d201d29c7ef47527703,26/06/2023 00:16:19,ESCANER
23073,"Jalapa",21,"Jalapa",1,3627,400,46,5,3,12,1,1,0,1,0,1,3,37,--,9,4,9,6,47,0,0,5,3,37,230,17,2,249,--,--,--,400,151,230,249,249,Algún campo sin dato,1,1a795902fdd9d236b8a8ac6d4c2a1a7f3ad1e4e124927036f617a7e2e1d43f63,26/06/2023 00:22:17,ESCANER
23074,"Jalapa",21,"Jalapa",1,3627,322,50,8,8,4,1,0,0,1,0,0,0,20,0,12,3,6,2,30,0,1,3,0,25,174,12,4,190,0,190,--,322,132,174,190,190,Algún campo sin dato,1,ad84c9dba38eb2ff0962c7b5dde7bd2a181c4767d14ace031a522fa452985309,25/06/2023 22:46:47,ESCANER
23075,"Jalapa",21,"Jalapa",1,3627,321,21,6,3,9,2,0,0,0,0,0,0,15,0,12,4,5,5,20,0,1,4,0,10,137,18,2,137,0,137,--,318,181,117,137,137,Sumas Asentadas sin cuadrar,1,fa6bd9af2dc2c8a0256171bf53392a8596b7adac0c97e04dc0a278afe27fab01,25/06/2023 23:40:14,ESCANER
23076,"Jalapa",21,"Jalapa",1,3628,400,52,14,8,11,5,0,0,1,1,1,1,22,0,15,8,10,8,40,1,0,0,2,11,211,32,10,253,0,253,--,400,147,211,253,253,Algún campo sin dato,1,794e02f2410513ebf33e1386dbf3478322c3d7b9d14ffeb5e6dcef9cc191a509,26/06/2023 00:49:30,ESCANER
23077,"Jalapa",21,"Jalapa",1,3628,400,48,6,1,7,1,0,0,0,1,1,1,26,1,30,7,7,8,42,1,0,1,0,20,209,38,13,260,0,260,--,500,240,209,260,260,Algún campo sin dato,1,a31282e887a2dc608a4920965df2eefc7231d7db306158335e1c14e5b647739c,25/06/2023 23:58:24,ESCANER
23078,"Jalapa",21,"Jalapa",1,3628,400,31,5,7,9,0,0,1,2,0,2,0,21,2,20,5,6,3,45,0,0,5,3,7,174,43,6,223,0,223,--,400,177,174,223,223,Algún campo sin dato,1,e4def46eb62b0f07cc0d15a2478f0dd5e876de3a7251f3dfb1e95df596f258bc,25/06/2023 22:53:29,ESCANER
23079,"Jalapa",21,"Jalapa",1,3628,400,45,9,6,11,2,0,1,7,0,0,1,37,0,22,0,10,7,38,1,1,4,5,11,218,43,10,271,0,271,--,399,128,218,271,271,Algún campo sin dato,1,d0e6a315735ed480af6295eea2336d743f3a2570cf5301e9806db033cd13f443,26/06/2023 01:40:24,ESCANER
