TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
706,706,100.0000,704,99.7167,2,261831,198899,75.9646

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,U R N G - MAIZ,TODOS,WINAQ,CABAL,UNE,P A N,VICTORIA,VAMOS,PIN,PHG,CREO,VALOR UNIONISTA,MLP,ELEFANTE,UR,CAMBIO,PODEMOS,SEMILLA,FCN-NACION,VIVA,VOS,MI FAMILIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9058,"Sololá",7,"Sololá",1,1103,249,45,2,11,1,23,1,2,9,0,6,1,1,2,3,0,0,0,24,1,8,4,0,144,17,1,162,0,162,--,249,87,144,162,162,Algún campo sin dato,1,777c1c7405804001dd9f4868fd21096dc86616c0a1bbbe10d42d754fc9d5a77e,26/06/2023 00:23:26,ESCANER
9059,"Sololá",7,"Sololá",1,1103,248,40,3,7,6,15,0,3,13,0,3,0,2,2,3,0,1,0,17,0,7,1,2,125,19,3,147,0,147,--,248,101,125,147,147,Algún campo sin dato,1,4c1335c5d27d24175ce121e571862de8630f510122444bc8f9b4268c06eb0b2a,26/06/2023 00:43:11,ESCANER
9060,"Sololá",7,"Sololá",1,1104,400,99,2,15,2,37,1,6,34,0,11,3,2,2,7,2,0,2,11,2,16,0,1,255,34,22,311,0,311,--,400,89,255,311,311,Algún campo sin dato,1,f58fba453650c0ac4d32b6134f13e97056af0de0c748cfdcfde0fe31c6b319f7,26/06/2023 01:12:36,ESCANER
9061,"Sololá",7,"Sololá",1,1104,400,87,12,10,5,35,0,4,45,1,4,1,1,2,4,0,0,3,8,1,13,4,--,243,38,28,309,--,--,--,400,91,240,306,306,Sumas Asentadas sin cuadrar,1,79392390e0814af6cb7bd9ed295f894a1a809edf8bd805f349acbdb09532c23e,26/06/2023 05:25:20,ESCANER
9062,"Sololá",7,"Sololá",1,1104,400,95,2,8,0,44,2,2,36,0,4,2,0,7,3,1,1,0,6,0,10,1,0,224,46,34,304,0,304,2,400,96,224,304,304,,1,7ffe8d8c3036e2ba98808e4577afbaa06be4f800ece2b6b3d564420451655db6,26/06/2023 01:28:18,ESCANER
9063,"Sololá",7,"Sololá",1,1104,400,120,4,8,4,39,1,2,32,0,10,3,2,0,1,0,2,1,5,3,8,1,0,245,34,53,332,0,332,--,401,67,246,333,333,Sumas Asentadas sin cuadrar,1,247fd3e22d9a77380ebe972d510878cdeaef5b0315a0d3c418f30d49eec133c9,26/06/2023 04:31:30,ESCANER
9064,"Sololá",7,"Sololá",1,1104,400,109,1,8,7,48,0,2,29,1,8,1,4,2,1,0,1,1,2,12,7,1,1,246,45,35,326,0,326,--,400,74,246,326,326,Algún campo sin dato,1,cbf1754c23dc9b35b8e2fb1347e04bd40c1572fe20cb0120c6046c0718fe08cf,26/06/2023 00:53:19,ESCANER
9065,"Sololá",7,"Sololá",1,1104,400,118,2,7,5,37,1,2,42,0,12,3,3,1,3,1,0,1,7,0,9,5,0,259,35,35,329,0,329,--,400,71,259,329,329,Algún campo sin dato,1,e6657c76e744abca5b430b353a7d4e369a1c644814c952e8ea13e6cf204cb555,26/06/2023 02:12:03,ESCANER
9066,"Sololá",7,"Sololá",1,1104,400,142,1,4,2,46,0,2,19,0,4,1,1,1,5,1,0,2,5,5,6,2,1,250,38,41,329,0,329,--,400,71,250,329,329,Algún campo sin dato,1,49f929a97ee5fb277dba026da067f92300d7038600d25a34af52a59700e19c65,25/06/2023 23:56:52,ESCANER
9067,"Sololá",7,"Sololá",1,1105,400,112,3,8,6,50,1,6,33,0,5,2,2,4,3,1,1,1,2,3,6,0,0,249,18,53,320,0,320,--,--,--,249,320,320,Algún campo sin dato,1,bd338e54811dfc53b8466ed3d1aec123a4079f7b501060be306bcc95ded7e973,25/06/2023 23:56:27,ESCANER
