TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
706,706,100.0000,704,99.7167,2,261831,198899,75.9646

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,U R N G - MAIZ,TODOS,WINAQ,CABAL,UNE,P A N,VICTORIA,VAMOS,PIN,PHG,CREO,VALOR UNIONISTA,MLP,ELEFANTE,UR,CAMBIO,PODEMOS,SEMILLA,FCN-NACION,VIVA,VOS,MI FAMILIA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
9106,"Sololá",7,"Sololá",1,1112,400,79,1,21,6,59,0,3,35,0,5,0,2,1,1,0,1,1,7,0,9,4,1,236,44,40,320,0,320,--,400,80,236,320,320,Algún campo sin dato,1,e70a0304a3eeac13b26d00e63a10fe99182c50d0b5cac459947f00ae95e6fb6e,26/06/2023 02:27:49,ESCANER
9107,"Sololá",7,"Sololá",1,1112,219,44,1,7,3,29,1,3,13,0,1,0,0,3,1,0,0,0,5,0,5,0,0,116,21,17,154,0,154,--,218,64,116,154,154,Algún campo sin dato,1,371b5084d66a78d3eccadd02270a12f82f67cabad79b9a30ba81cdef881f6af5,25/06/2023 23:13:30,ESCANER
9108,"Sololá",7,"Sololá",1,1112,218,37,0,11,4,25,0,2,33,0,1,0,0,1,2,0,0,0,8,0,7,0,0,137,16,5,0,0,152,--,--,--,131,152,152,Sumas Asentadas sin cuadrar,1,5765a3c6e6a9c74123747dd579382da8aba2c9dad08d5a7b83c5f4122cfa7d24,25/06/2023 23:04:44,ESCANER
9109,"Sololá",7,"Sololá",1,1113,380,96,0,15,0,55,1,2,28,0,1,2,2,7,0,0,1,5,6,0,7,6,0,234,34,32,300,0,300,--,380,80,234,300,300,Algún campo sin dato,1,57c07f179a1d3a95b4a1fd1d058f9a0ea5099731da190dc4ccf761acd109724c,26/06/2023 00:38:15,ESCANER
9110,"Sololá",7,"Sololá",1,1113,380,93,0,5,1,54,1,1,42,0,0,2,0,2,4,0,0,0,3,0,9,1,1,219,30,60,309,0,309,--,380,71,219,309,309,Algún campo sin dato,1,fb907d92f8821b322e234d89530a8fff2e438564a7ed0b5aa428820198ac4fe8,26/06/2023 04:04:10,ESCANER
9111,"Sololá",7,"Sololá",1,1113,380,67,0,7,2,40,2,1,35,0,1,1,1,5,2,1,0,5,6,2,9,3,0,190,41,40,271,0,271,--,377,106,190,271,271,Algún campo sin dato,1,2d843f1e192db48f2ddf2fdb8b53c74128f1b5736194c160f69a9a5e5757fc5e,26/06/2023 02:15:39,ESCANER
9112,"Sololá",7,"Sololá",1,1113,380,135,0,13,2,47,0,0,34,0,0,0,0,2,3,1,0,4,3,2,10,1,1,258,27,22,307,0,307,--,--,--,258,307,307,Algún campo sin dato,1,03f9efc6932e9fdc4af9b5f17e00f540ed940149d28277b3537965ea83675c29,25/06/2023 23:04:38,ESCANER
9113,"Sololá",7,"Sololá",1,1113,380,91,2,8,4,52,0,3,42,0,0,1,0,1,2,1,0,0,6,0,8,2,1,224,18,54,296,0,296,--,380,84,224,296,296,Algún campo sin dato,1,1cd5ffa31a4f299bcb8291a9be21b28f00081e10ffe6c55bfee200259dce906c,26/06/2023 01:47:12,ESCANER
9114,"Sololá",7,"Sololá",1,1113,380,46,0,8,7,51,3,7,37,0,0,4,1,2,3,0,1,1,8,2,16,7,4,208,41,31,280,0,280,380,280,100,208,280,280,,1,e46c08a59a883ed0024c9eb7d1614dcebde4f5ed20451a10b4abcf17ec24d38f,26/06/2023 05:43:22,ESCANER
9115,"Sololá",7,"Sololá",1,1113,380,67,3,9,7,45,1,1,38,0,1,2,2,5,2,0,1,3,3,2,13,1,1,207,27,46,280,0,280,--,380,100,207,280,280,Algún campo sin dato,1,23fcd7cb032a2487dc404864d5a31d1ffaf42c520cbaba689ddbf03ea23d40d8,26/06/2023 03:56:58,ESCANER
9116,"Sololá",7,"Sololá",1,1113,380,130,1,5,5,54,0,3,22,0,0,1,0,0,2,0,0,0,1,0,9,2,1,236,28,42,306,0,306,--,380,74,236,306,306,Algún campo sin dato,1,c1dae57f7411f721fec0768afe9cf3edea644a4ab884a55370001ec2d2edb420,26/06/2023 03:40:59,ESCANER
9117,"Sololá",7,"Sololá",1,1113,380,92,2,13,2,45,1,0,27,0,0,0,1,8,4,1,0,4,13,1,9,2,2,227,30,22,279,0,279,--,380,101,227,279,279,Algún campo sin dato,1,a1458f3e833846920e194bdd999415553c4e85b7c86bafbd6cdc7de0b94d711c,26/06/2023 00:27:47,ESCANER
9118,"Sololá",7,"Sololá",1,1113,380,71,1,10,1,35,2,4,19,0,0,0,0,3,1,0,0,1,12,1,10,3,0,174,37,14,225,0,225,--,380,155,174,225,225,Algún campo sin dato,1,4963bf9b67530a8a8fe90dbc5048807db6d7cfb1282d9f106ebfd502aaa0578a,25/06/2023 23:12:03,ESCANER
9119,"Sololá",7,"Sololá",1,1113,380,81,0,11,3,43,0,4,26,0,0,1,2,7,8,0,1,3,5,0,12,4,0,211,24,10,245,0,245,--,379,134,211,245,245,Algún campo sin dato,1,97a0e11de6755473510171a1735bf2fdf88e18bc23023a631cf7a5f5229bc539,26/06/2023 02:36:44,ESCANER
9120,"Sololá",7,"Sololá",1,1113,380,71,0,11,3,46,1,0,20,0,0,1,1,3,2,1,3,3,15,1,7,4,0,193,20,18,231,1,232,--,380,148,193,231,232,Algún campo sin dato,1,67c63028342e36f731f6b640b9f05a68f76f62faa1b82321869a7144ef63229d,25/06/2023 23:55:11,ESCANER
9121,"Sololá",7,"Sololá",1,1113,380,101,2,11,2,32,0,1,18,0,1,0,1,6,1,0,0,2,26,0,6,3,1,214,21,10,245,0,245,--,380,135,214,245,245,Algún campo sin dato,1,e72d0c0cb3448d8cd78c6932cb5ade21a51da4f9c86f9c2ca6280142496f512f,26/06/2023 02:07:55,ESCANER
9122,"Sololá",7,"Sololá",1,1113,351,58,0,9,3,47,0,0,15,0,0,0,0,1,4,0,0,3,16,1,8,4,1,170,24,10,204,0,204,--,351,147,170,204,204,Algún campo sin dato,1,3052960cba4bbbd2648d987c298c14bd6f2461e901fb012ad905ac6ca33323d2,26/06/2023 00:15:30,ESCANER
9123,"Sololá",7,"Sololá",1,1113,351,57,0,3,3,43,0,4,29,0,0,1,0,4,0,0,1,2,10,0,17,1,1,176,24,17,217,0,217,--,348,131,176,217,217,Algún campo sin dato,1,70297d94c265d88410dfc6842f60898f6be5e1c43cda5bb0f4a0c97638041851,25/06/2023 23:20:35,ESCANER
9124,"Sololá",7,"Sololá",1,1114,380,72,0,2,0,55,3,3,39,0,0,3,0,0,0,1,1,1,1,0,5,2,3,191,22,33,246,0,246,--,380,134,191,246,246,Algún campo sin dato,1,f2fe00b6dee1dbfdc90b16e2d88cab93a988dd35ed3dcf493072b0be50d848f7,26/06/2023 00:40:59,ESCANER
9125,"Sololá",7,"Sololá",1,1114,380,68,0,4,1,65,3,4,35,0,0,1,0,1,2,1,0,1,2,1,9,1,0,199,26,53,278,0,278,--,380,102,199,278,278,Algún campo sin dato,1,1f1ef46ef87941dfced60595834e5d9d013bae5eeb793459a4e667bb2137dde3,26/06/2023 00:58:28,ESCANER
9126,"Sololá",7,"Sololá",1,1114,380,99,--,2,--,39,1,2,39,--,1,--,--,3,2,--,--,2,1,--,9,2,--,202,25,43,270,--,270,--,380,110,202,270,270,Algún campo sin dato,1,39ce073c47e973eee2de49233898c6e25059c95fe3ca12406dcbcd4280b58d5d,26/06/2023 00:32:36,ESCANER
9127,"Sololá",7,"Sololá",1,1114,380,89,1,2,3,40,1,2,42,0,1,4,0,1,1,1,0,2,1,1,10,0,0,202,40,50,292,0,292,--,380,88,202,292,292,Algún campo sin dato,1,abcb12245cef20b94a3d7486cff37988f965280d4d438a68ec1e7466f8670bdc,26/06/2023 00:53:05,ESCANER
9128,"Sololá",7,"Sololá",1,1114,380,87,2,3,4,48,1,5,50,0,1,0,1,0,1,0,0,2,1,2,2,2,1,213,24,52,289,0,289,--,379,90,213,289,289,Algún campo sin dato,1,67695b447ac6e3ce19a8a76ad322a0326eef4a6782ac573ce29948d6ae747b45,25/06/2023 23:21:42,ESCANER
9129,"Sololá",7,"Sololá",1,1114,380,59,0,7,1,59,0,4,58,0,0,0,0,2,0,0,0,0,0,0,5,1,0,196,19,73,288,0,288,--,397,91,196,288,288,Algún campo sin dato,1,1dfb0d42f3a4fe946769845e5b3ae9109e7dcb56ef067f13f958cf99546ce263,25/06/2023 23:15:49,ESCANER
9130,"Sololá",7,"Sololá",1,1114,380,60,2,8,2,51,2,2,42,0,0,2,1,2,0,0,1,1,3,1,11,0,0,191,39,38,268,0,268,--,380,112,191,268,268,Algún campo sin dato,1,734d392624cc85ac1603811afc07ac63ea1eba9a9b43be52a6cfcae56cbb5791,25/06/2023 23:36:54,ESCANER
9131,"Sololá",7,"Sololá",1,1114,380,88,1,10,3,46,0,4,50,0,0,3,1,1,0,0,0,2,2,0,13,1,0,225,30,34,289,0,289,--,380,91,225,289,289,Algún campo sin dato,1,73c5056909c1fbca09dabbd4394d307451f48be2e1cde0d2b044e7524d944b12,26/06/2023 00:14:39,ESCANER
9132,"Sololá",7,"Sololá",1,1114,380,84,0,6,4,44,0,0,45,0,2,2,0,2,0,0,0,3,0,2,9,2,0,205,30,45,280,0,280,--,380,100,205,280,280,Algún campo sin dato,1,4f8e9ad89a1f23fe11d1e3ca1ec2fa6a4d6b79dd0db12b498a22f7c9cf53f3ae,26/06/2023 01:49:42,ESCANER
9133,"Sololá",7,"Sololá",1,1114,380,71,1,1,3,46,1,1,48,0,1,2,0,1,0,0,0,0,1,0,2,1,0,180,31,62,273,0,273,--,--,--,180,273,273,Algún campo sin dato,1,bb18e793e0d6035fcc2d47334013b3f98eae37074755a3901cdfcaf1c6f6fab9,25/06/2023 23:47:53,ESCANER
9134,"Sololá",7,"Sololá",1,1114,380,97,0,3,1,49,1,1,23,0,0,0,0,0,1,0,0,0,0,2,9,0,1,188,30,47,265,0,265,--,377,112,188,265,265,Algún campo sin dato,1,220ebfad357cfc8084380ed618e6a7222dc015844967a3f577f2e1fb40a9d904,26/06/2023 01:20:45,ESCANER
9135,"Sololá",7,"Sololá",1,1114,380,78,0,7,2,37,1,1,75,1,0,2,1,2,3,1,0,2,2,1,10,1,0,227,27,49,303,0,303,--,380,77,227,303,303,Algún campo sin dato,1,8239abb45e02790bee929e0217184575d97b903bbf89fd844d9b6c4000e0e155,26/06/2023 00:32:56,ESCANER
9136,"Sololá",7,"Sololá",1,1115,380,90,0,6,1,47,1,4,57,0,2,2,0,1,1,1,0,0,2,3,12,0,0,230,26,42,298,0,298,--,380,82,230,298,298,Algún campo sin dato,1,a841987e49794a7d4c3071e4960f417eb91b81a6bf8770ef2f423c6561617536,25/06/2023 21:58:31,ESCANER
9137,"Sololá",7,"Sololá",1,1115,380,77,1,4,3,51,3,0,28,0,0,0,0,3,1,1,0,0,2,0,10,4,0,188,21,31,240,0,240,--,380,140,188,240,240,Algún campo sin dato,1,59dabdee5bd8863e9124f456f384ec4c8fbd0c05ed9b1bc5d44c6676c7861322,26/06/2023 01:52:58,ESCANER
9138,"Sololá",7,"Sololá",1,1115,380,76,1,1,2,43,0,1,50,0,1,0,1,3,1,1,0,0,1,1,7,1,1,192,24,20,236,0,236,--,380,144,192,236,236,Algún campo sin dato,1,c3ee398d76c37d757553dbc4703dc0e36e339fa035b48ef2c39848d420336e83,26/06/2023 02:22:25,ESCANER
9139,"Sololá",7,"Sololá",1,1115,380,71,1,7,0,44,1,3,49,1,0,1,0,2,1,1,0,0,6,0,3,1,0,192,34,23,249,0,249,--,320,131,192,249,249,Algún campo sin dato,1,412cc1aa86c14781513af2498d6e91298e09de5cdfe3659bf30c369b79ce8fae,26/06/2023 05:15:20,MOVIL
9140,"Sololá",7,"Sololá",1,1115,380,80,0,6,1,40,1,1,37,0,1,0,0,3,2,0,0,0,1,1,9,1,0,184,25,27,236,0,236,--,380,144,184,236,236,Algún campo sin dato,1,04fdbf96e76cce3107b08153c2f5371a701325f4baa1db87ba31385ab3733be6,25/06/2023 23:58:48,ESCANER
9141,"Sololá",7,"Sololá",1,1115,380,75,1,5,3,49,1,5,45,0,1,0,0,1,1,0,0,4,5,1,12,2,0,211,32,19,262,0,262,--,380,118,211,262,262,Algún campo sin dato,1,b5352c830cec8694f0b1584db06b4425061142da031f3e3f54b8b8144d13cbf6,26/06/2023 02:09:53,MOVIL
9142,"Sololá",7,"Sololá",1,1116,380,61,0,4,1,68,1,2,37,0,1,0,0,1,0,0,0,1,4,1,11,4,0,197,16,15,228,0,228,--,380,152,197,228,228,Algún campo sin dato,1,494164dd39f91603063c0a0d1de4b2dee07ed2bce185e43c5cf0b83d005318bb,26/06/2023 04:47:22,MOVIL
9143,"Sololá",7,"Sololá",1,1116,380,49,1,5,2,50,0,2,52,0,1,0,0,1,1,0,0,1,6,2,12,2,0,187,20,16,223,0,223,--,377,157,187,223,223,Algún campo sin dato,1,6b8b709cd5b3eb230919a3b8b7303f885c23d7a0e1452ca388301d4732d63899,26/06/2023 02:34:05,MOVIL
9144,"Sololá",7,"Sololá",1,1116,380,87,2,8,2,43,0,1,30,0,1,0,0,0,0,0,0,1,8,1,8,2,0,194,23,12,229,0,229,--,380,151,194,229,229,Algún campo sin dato,1,6523e19494c932bfa852247a62637753dcd040d929a94a9ffb877ad77c715803,25/06/2023 23:07:40,ESCANER
9145,"Sololá",7,"Sololá",1,1116,380,55,0,5,1,47,0,6,54,0,0,0,1,1,3,1,0,2,7,0,13,3,0,199,16,19,234,0,234,--,380,146,199,234,234,Algún campo sin dato,1,9e47995b0e6fbd5416a92b30a18cee0344f0026ba01b2c6f1cb36d240c9a6504,26/06/2023 02:01:04,MOVIL
9146,"Sololá",7,"Sololá",1,1116,222,45,0,6,0,35,0,2,23,1,0,0,0,0,1,0,0,1,3,0,9,2,0,128,15,5,148,75,223,--,223,75,128,148,223,Algún campo sin dato,1,a46686070818ec4ac0868d70be9bf2a59b6dba4dae338c51b03e378f687a65ae,26/06/2023 01:38:18,MOVIL
9147,"Sololá",7,"Sololá",1,1116,221,49,1,2,2,29,1,3,27,0,2,0,1,1,1,0,0,0,2,1,6,1,0,129,19,13,161,0,161,--,221,60,129,161,161,Algún campo sin dato,1,741bc8e53f09061f51ff6966a7a33b8e4d9814687bc9d71c49be1efc18a886ab,25/06/2023 23:32:50,ESCANER
9148,"Sololá",7,"Sololá",1,1117,380,81,1,3,1,46,0,2,66,0,1,2,1,2,2,0,0,3,2,1,5,1,0,220,34,43,297,0,297,--,380,83,220,297,297,Algún campo sin dato,1,7ca691a3abca5b94d9bd769041a43ac3627d86b4bfb7edc47206d943aeb214cd,25/06/2023 23:18:54,ESCANER
9149,"Sololá",7,"Sololá",1,1117,380,114,0,1,6,46,0,0,61,0,0,1,0,1,1,0,1,1,3,0,5,2,0,243,24,41,308,0,308,--,389,81,243,308,308,Algún campo sin dato,1,6b5d95f64ab9b459dfa7b4c2758df1a5405a09666da77962199350ea0c620483,26/06/2023 00:04:05,ESCANER
9150,"Sololá",7,"Sololá",1,1117,380,55,0,7,2,70,1,4,90,0,0,1,0,2,1,1,0,0,2,0,5,1,1,243,26,48,317,0,317,--,377,60,243,317,317,Algún campo sin dato,1,538b2d3439865fbc06068cdaf9aa5fa0498c1e83b5755a1d78086065e25fa3d6,26/06/2023 01:05:23,ESCANER
9151,"Sololá",7,"Sololá",1,1117,380,144,2,4,3,33,0,0,74,0,0,1,0,3,0,0,0,1,0,0,3,0,1,269,15,13,297,0,297,--,380,83,269,297,297,Algún campo sin dato,1,c7193bef9b8b639becf5dfd94861bbe6af9ab137314e6fa8fbaffaa1f960aab7,25/06/2023 23:52:24,ESCANER
9152,"Sololá",7,"Sololá",1,1117,380,88,0,3,4,53,1,2,59,0,0,0,0,3,3,0,0,2,0,2,4,2,0,226,24,49,299,0,299,--,386,87,226,299,299,Algún campo sin dato,1,e365fb92b604026c0836f201f5a10824babb697711f6e60f7b54058133dfa7a8,26/06/2023 03:18:27,ESCANER
9153,"Sololá",7,"Sololá",1,1117,380,45,1,4,2,60,0,1,75,0,0,0,0,3,1,0,1,0,2,0,6,3,1,205,25,53,283,0,283,--,380,97,205,283,283,Algún campo sin dato,1,1c01c2176d2ca3c955081aa988e1ea1cc150319eaf6f1d583026fc2f61e54e66,25/06/2023 23:31:33,ESCANER
9154,"Sololá",7,"Sololá",1,1117,380,84,0,8,0,42,0,1,52,0,1,0,0,1,0,1,0,1,7,0,1,3,1,203,30,47,280,0,280,--,380,100,203,280,280,Algún campo sin dato,1,e44d8c66355da2aa3f01bc58b3821c2b79f6404083a76f73ef92a4edd2e4938e,25/06/2023 23:33:39,ESCANER
9155,"Sololá",7,"Sololá",1,1117,380,72,0,2,3,62,0,4,55,0,0,0,0,3,0,0,0,2,7,0,2,1,1,214,19,63,296,0,296,--,380,84,214,296,296,Algún campo sin dato,1,76af248ac34e759654952f8f44b4fdba809de30af3d837eedadb66b3cbd38fd3,25/06/2023 23:26:42,ESCANER
9156,"Sololá",7,"Sololá",1,1117,380,92,1,7,2,49,0,1,57,0,1,1,1,1,2,1,0,0,4,1,2,1,0,224,43,37,304,0,304,--,380,76,224,304,304,Algún campo sin dato,1,23f632ebf209d35018a63bc2bcb76e35cf208a69834732be22f70a6fbed6e6f3,26/06/2023 02:27:16,ESCANER
9157,"Sololá",7,"Sololá",1,1117,380,85,0,3,0,45,0,1,66,0,0,1,0,1,1,0,0,0,2,0,3,0,0,208,27,19,254,0,254,--,380,126,208,254,254,Algún campo sin dato,1,0594bebf6f2d85d37557fe91af9dfdcf629f4dfa3ee4afda73aa0c914fde50db,26/06/2023 03:24:11,ESCANER
9158,"Sololá",7,"Sololá",1,1117,380,79,0,4,4,40,1,6,64,0,1,1,1,4,1,0,0,1,3,0,9,1,1,221,24,26,271,0,271,--,380,109,221,271,271,Algún campo sin dato,1,31a735a1dd3387b1ca76981c49ce6219464fbf2ea0b31193934b2fc32eecdfa6,26/06/2023 00:36:13,ESCANER
9159,"Sololá",7,"Sololá",1,1117,380,77,0,8,7,51,0,1,59,0,2,0,1,0,3,0,0,0,7,2,7,2,0,227,14,14,255,0,255,--,380,125,227,255,255,Algún campo sin dato,1,29b166ba0f262750477b906a712700a37c146818419ccb8286b8a60618d8df84,26/06/2023 01:23:16,ESCANER
9160,"Sololá",7,"Sololá",1,1117,380,79,1,1,2,42,0,0,50,0,1,1,0,2,0,0,0,1,7,0,6,3,0,196,24,16,236,0,236,--,380,144,196,236,236,Algún campo sin dato,1,2532d1599ba4236235969bdd61372d448174db4ab1d4d09047dda01cb7e0bcae,26/06/2023 00:06:21,ESCANER
9161,"Sololá",7,"Sololá",1,1117,380,85,1,6,0,54,0,1,54,0,0,0,0,3,0,1,0,0,9,0,4,3,0,221,21,13,255,0,255,--,377,122,221,255,255,Algún campo sin dato,1,993bcd34eaf14629b3fe5a169b8c4fd7952f16cf02077527655f6cd7b53cc3a1,26/06/2023 01:03:04,ESCANER
9162,"Sololá",7,"Sololá",1,1117,228,43,0,4,3,39,0,1,41,0,0,0,0,0,0,0,0,0,8,0,4,1,0,144,11,7,162,0,162,--,228,66,144,162,162,Algún campo sin dato,1,1383323c729161dd5ebd07726d8ec700a091a42c11bf8494c3f967c947ff30a1,25/06/2023 22:16:34,ESCANER
9163,"Sololá",7,"Sololá",1,1117,227,49,0,2,1,39,0,1,34,0,0,0,1,4,1,0,0,0,5,0,5,0,0,142,13,3,158,0,158,--,224,66,142,158,158,Algún campo sin dato,1,ad62961f4ef346a8a54b1df37fd07faf98ae45c4a1aebd9ad07c64e0305ad497,25/06/2023 23:39:59,ESCANER
9164,"Sololá",7,"Sololá",1,1118,380,45,2,3,1,36,0,0,99,0,0,2,2,0,3,2,0,0,3,2,5,2,0,207,20,39,266,0,266,--,380,114,207,266,266,Algún campo sin dato,1,53d144eaffcca9ca1f29c853080385017bd124761d16f50fd8afaf9d7cb08eac,26/06/2023 00:09:42,ESCANER
9165,"Sololá",7,"Sololá",1,1118,380,50,0,5,1,56,2,3,60,0,0,4,2,0,6,0,2,1,0,1,1,0,0,194,29,59,282,0,282,--,380,98,194,282,282,Algún campo sin dato,1,4b32474dd5d5b587f43c2e9f66c60a34dc1eb64889a45689eb284dbe36b69ddd,25/06/2023 23:40:19,ESCANER
9166,"Sololá",7,"Sololá",1,1118,380,60,0,1,2,57,0,2,50,0,0,4,1,2,1,0,0,0,3,1,3,1,1,189,29,57,275,0,275,--,380,105,189,275,275,Algún campo sin dato,1,c78124f043d8f0f9ae4c7ffede9135c094a296b859e491106d6753a088dd0848,26/06/2023 00:47:52,ESCANER
9167,"Sololá",7,"Sololá",1,1118,380,82,2,3,2,28,0,0,67,0,2,0,1,0,1,1,0,1,3,0,13,0,2,208,48,43,299,0,299,--,380,81,208,299,299,Algún campo sin dato,1,94e6d99469e119c7913245e9d2149a2bc2f1e76b18ef346d29554a4656ab1a4e,26/06/2023 00:40:09,ESCANER
9168,"Sololá",7,"Sololá",1,1118,380,80,0,4,2,42,1,1,42,0,7,1,1,1,1,0,0,1,1,2,4,1,3,195,28,27,250,0,250,--,386,136,195,250,250,Algún campo sin dato,1,637e98795977b1981365df35c76e344e70e13c5fce3314670a53b5b5a710c71f,26/06/2023 00:29:01,ESCANER
9169,"Sololá",7,"Sololá",1,1118,380,69,3,2,2,42,1,5,33,0,7,4,0,1,3,1,1,2,2,1,6,1,1,187,35,34,256,0,256,--,380,124,187,256,256,Algún campo sin dato,1,304767493ff4ca56b1a888ec9f6fa1a91f892fdfe25b3023e56684ed8f133c52,25/06/2023 22:48:13,ESCANER
9170,"Sololá",7,"Sololá",1,1118,380,64,0,4,0,46,0,2,73,0,0,0,1,0,5,0,0,2,5,1,4,2,0,209,23,40,272,0,272,--,380,108,209,272,272,Algún campo sin dato,1,e71206a454ad09fc633324ac6e372d4f834c30cfc99b723f6114306271b9f792,25/06/2023 23:35:34,ESCANER
9171,"Sololá",7,"Sololá",1,1118,380,42,0,2,2,35,1,0,65,1,0,0,0,1,1,0,0,1,2,1,8,1,0,163,21,32,216,0,216,--,377,161,163,216,216,Algún campo sin dato,1,a7f58aaf4a25a8e3279ce7afae550f575d0e70e6e70197769d06358388660fba,26/06/2023 00:01:25,ESCANER
9172,"Sololá",7,"Sololá",1,1118,380,50,1,1,3,40,0,0,57,0,2,0,0,2,4,0,0,1,2,0,4,2,0,169,29,30,228,0,228,--,380,152,169,228,228,Algún campo sin dato,1,87eb9e5326f900a3e995cf015fd6f980f7d433d2a401e6616b85eb742ddd957e,25/06/2023 23:56:01,ESCANER
9173,"Sololá",7,"Sololá",1,1118,380,60,0,2,2,68,0,2,36,0,0,1,1,1,0,0,0,1,2,1,6,2,0,185,23,23,231,0,231,--,381,150,185,231,231,Algún campo sin dato,1,1cbb480b08d9c4277ff5ee5d7471e644853064eaef250ae7379c48a063ca5c51,26/06/2023 00:34:01,ESCANER
9174,"Sololá",7,"Sololá",1,1118,205,39,0,0,0,21,0,0,25,0,0,0,0,0,1,0,0,0,1,0,5,0,0,92,13,8,113,0,113,--,214,101,92,113,113,Algún campo sin dato,1,9a2a40ec3433ac8eeb798eeb2b7d54d48f0bb859fdedad98e2c861e7dac648b4,25/06/2023 22:42:53,ESCANER
9175,"Sololá",7,"Sololá",1,1118,204,34,0,1,1,27,0,1,23,0,0,0,0,1,1,0,0,0,1,0,1,1,0,92,9,17,118,0,118,--,204,86,92,118,118,Algún campo sin dato,1,b418abcdddfcc7925e158a56aeaed7be8323c91e6a90d74f47fcc7b890088bbf,25/06/2023 21:58:18,ESCANER
9176,"Sololá",7,"Sololá",1,1119,600,52,3,5,2,23,1,2,33,0,1,1,2,4,2,1,1,0,4,1,3,2,0,143,31,29,203,0,203,--,600,397,143,203,203,Algún campo sin dato,1,c34ab3d5d8713b0ff458321a0d8e04988c15005ed5a7783d7750801d69e3e88b,25/06/2023 21:18:45,ESCANER
9177,"Sololá",7,"Sololá",1,1119,600,93,0,6,2,18,1,3,19,0,5,2,1,1,1,3,0,1,5,2,11,1,1,176,28,26,230,0,230,--,600,370,176,230,230,Algún campo sin dato,1,ea1cb24b1aae323ffb3827cd2e6111f5c5464bd47982b9ac7f1b009c122e5874,26/06/2023 02:29:14,ESCANER
9178,"Sololá",7,"Sololá",1,1119,600,73,1,7,3,26,1,3,25,1,2,1,4,2,5,1,1,1,8,1,8,1,0,175,42,22,239,0,239,1,600,358,175,239,239,,1,7de0d39200305da5c8b03cdbd5b93ad5846bc3ad2842aa18d4f46f3f73c6676a,26/06/2023 03:47:13,ESCANER
9179,"Sololá",7,"Sololá",1,1119,504,50,0,6,2,28,1,1,14,1,4,2,3,2,4,0,0,1,4,1,5,3,0,132,29,18,179,0,179,--,505,326,132,179,179,Algún campo sin dato,1,59fb93cb92287e265785b439049fedd70b1eb63597d1c305f9650950c34cc2ab,25/06/2023 23:11:52,ESCANER
9180,"Sololá",7,"Sololá",1,1119,504,33,0,7,3,12,0,2,14,0,3,0,0,1,2,1,0,1,3,1,6,1,0,90,15,12,117,0,117,--,504,387,90,117,117,Algún campo sin dato,1,a251f3c3eddb6e7d71bd77d4bc582e9203545576c9ad8c019307bf8af78d7d2f,25/06/2023 22:27:57,ESCANER
9181,"Sololá",7,"San José Chacayá",2,1120,400,10,0,7,16,71,0,4,159,0,1,0,0,1,7,0,0,0,2,0,8,0,0,286,31,49,366,0,366,--,400,34,286,366,366,Algún campo sin dato,1,21cd3b2dbc83814e94c7120577209ac2f6c56be7b695e52016077c85f6ebcc13,25/06/2023 23:50:09,ESCANER
9182,"Sololá",7,"San José Chacayá",2,1120,400,9,0,0,15,75,1,2,181,0,1,1,0,0,7,0,0,0,2,0,4,2,0,300,24,52,376,0,376,--,400,24,300,376,376,Algún campo sin dato,1,52580c70dd017cad5c6ec9610f46e8d3d887305b31c55bb6ee4bbec21c2438cc,25/06/2023 23:57:11,ESCANER
9183,"Sololá",7,"San José Chacayá",2,1120,400,8,1,1,7,103,3,1,155,0,0,0,0,2,3,1,0,1,2,0,5,1,1,295,30,40,365,2,367,--,400,33,295,365,367,Algún campo sin dato,1,f931302fb95ca746df432ffab0bc333da06101a3dc19230650a451191bb80799,25/06/2023 22:07:22,ESCANER
9184,"Sololá",7,"San José Chacayá",2,1120,400,11,0,8,11,83,0,1,148,0,0,0,2,1,5,0,0,1,5,0,5,4,0,285,33,36,354,0,354,--,396,42,285,354,354,Algún campo sin dato,1,5b9d6497bff76e57b12d4c14499b7f48ae0ccd63528380e308a99f22dec159b2,25/06/2023 23:54:02,ESCANER
9185,"Sololá",7,"San José Chacayá",2,1120,400,15,1,7,16,66,3,2,145,0,1,2,1,3,3,1,0,0,4,0,12,4,0,286,21,35,342,0,342,--,400,58,286,342,342,Algún campo sin dato,1,6ea68690c0208fca2e6cc25fb330802775fc4b60b2af9af16ff5307618e58116,26/06/2023 00:51:25,ESCANER
