TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
863,863,100.0000,862,99.8841,1,321074,196667,61.2528

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,MLP,AZUL,PHG,VALOR,CABAL,VICTORIA,TODOS,VAMOS,P A N,PPN,ELEFANTE,UR,UNE,MI FAMILIA,BIEN,FCN-NACION,VIVA,PODEMOS,CREO,UNIONISTA,CAMBIO,VOS,PR,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
23764,"Jutiapa",22,"El Progreso",2,3726,400,2,21,11,4,1,1,153,4,0,1,0,1,4,1,1,0,1,0,0,0,7,2,0,215,28,18,261,0,261,--,400,139,215,261,261,Algún campo sin dato,1,548007d5d9cef5179f3bfaca55de9abd8d3320d57ffa8e975027939cf6cc4d68,25/06/2023 22:53:09,ESCANER
23765,"Jutiapa",22,"El Progreso",2,3726,400,1,21,3,1,1,1,181,5,1,0,0,1,6,1,2,0,1,2,1,0,6,1,0,236,26,11,273,0,273,--,399,126,236,273,273,Algún campo sin dato,1,57a446d3d7bc850cc93c55fd385373bedfdd723e5ddcc73a67c2bdb007f54a5a,26/06/2023 01:25:27,ESCANER
23766,"Jutiapa",22,"El Progreso",2,3726,400,0,17,9,2,0,0,145,3,0,0,3,0,7,3,1,1,2,0,0,1,17,6,0,217,17,5,239,0,239,--,399,160,217,239,239,Algún campo sin dato,1,98de62a2b1c9428657290dce0f768bd0aed873f89865e5e599874ef3562b059e,25/06/2023 23:09:28,ESCANER
23767,"Jutiapa",22,"El Progreso",2,3726,400,0,25,12,5,2,3,133,2,0,0,1,1,5,5,3,0,0,0,0,0,5,4,0,206,22,6,234,4,238,--,400,162,206,234,238,Algún campo sin dato,1,63370349e3d4aaab792151b94ce756447f127813f952dd5ac9e178725c61304b,26/06/2023 00:28:14,ESCANER
23768,"Jutiapa",22,"El Progreso",2,3726,400,3,14,11,1,0,1,171,3,0,0,0,0,4,2,1,0,0,0,0,1,10,3,1,226,30,16,272,0,272,--,400,128,226,272,272,Algún campo sin dato,1,bee4a78216027a54d5253b50027b7e225128a481257a0ea4db27dbebbad64c2f,26/06/2023 00:25:34,ESCANER
23769,"Jutiapa",22,"El Progreso",2,3726,400,1,21,8,4,5,1,153,6,0,0,1,0,9,4,3,0,1,1,0,0,14,6,0,238,20,9,267,0,267,--,400,133,238,267,267,Algún campo sin dato,1,0f7e1f1f181f20adf79891f27da9a78f969b36dcbbc5780ba9beeb5bf9e0f029,25/06/2023 23:38:54,ESCANER
23770,"Jutiapa",22,"El Progreso",2,3726,400,0,22,9,1,4,1,118,6,1,1,1,0,12,0,3,2,4,0,0,1,10,7,0,203,26,15,244,0,244,--,400,156,203,244,244,Algún campo sin dato,1,a1b2a9f2301352015e70034bf7ccc1f189a5da812e8140a0ecae0e67e5baf03a,26/06/2023 02:03:41,ESCANER
23771,"Jutiapa",22,"El Progreso",2,3726,400,2,23,7,6,2,1,129,10,0,1,1,0,4,2,1,0,2,0,3,0,8,3,0,205,19,7,231,0,231,--,400,169,205,231,231,Algún campo sin dato,1,b4e9b55b20a71f5eda187e5738539869a66fd4cc8c94ded71af93da63cb9f104,26/06/2023 00:59:55,ESCANER
23772,"Jutiapa",22,"El Progreso",2,3726,400,1,23,9,2,2,2,125,3,0,1,0,0,4,4,3,1,1,0,1,0,15,9,0,206,31,9,246,0,246,--,400,154,206,246,246,Algún campo sin dato,1,47bec208d61fccffa723db5737901e47cd191f084143a569bf368baf9a1cca02,26/06/2023 00:16:46,ESCANER
23773,"Jutiapa",22,"El Progreso",2,3726,400,1,21,7,1,5,2,161,1,0,0,0,0,2,4,2,0,3,1,0,0,20,4,0,235,12,2,249,0,249,--,400,151,235,249,249,Algún campo sin dato,1,81ee2bfa52480fade4416387f376b425fe8f36dcc3758bf3d94a6553fb601dc9,25/06/2023 22:43:50,ESCANER
23774,"Jutiapa",22,"El Progreso",2,3726,363,1,23,12,4,5,0,140,10,0,0,0,2,2,4,5,1,1,0,2,0,15,8,0,235,18,2,255,0,255,--,363,108,235,255,255,Algún campo sin dato,1,6f4fc03d2002f9f1a7f3ce4cd16db29e00c7dec8e9597edc6f9a269e5a2949bd,26/06/2023 00:33:51,ESCANER
23775,"Jutiapa",22,"El Progreso",2,3726,363,0,15,3,2,3,0,120,1,0,1,0,0,3,0,1,0,1,0,1,0,10,3,0,164,24,7,195,0,195,--,363,168,164,195,195,Algún campo sin dato,1,10f78f74ba2fa597ad7e60879254da9f22bd04e25541bc7800637b93fb76634d,26/06/2023 00:30:22,ESCANER
23776,"Jutiapa",22,"El Progreso",2,3727,328,0,5,1,3,6,0,112,4,1,0,0,0,9,1,0,0,7,1,3,0,35,1,0,189,29,34,252,0,252,--,328,76,189,252,252,Algún campo sin dato,1,5c6f1868b1a17fbb8ba9b56af1e9a92a46ebf23fe4afb2ceb72bc6be6953e0f5,25/06/2023 23:05:30,ESCANER
23777,"Jutiapa",22,"El Progreso",2,3727,327,1,13,2,1,2,0,97,3,1,1,0,2,5,0,0,1,2,0,1,1,36,5,1,175,18,27,220,0,220,0,324,104,175,220,220,,1,09b3b670dc80d389b209bc8e360b0b33eb96d1e0687e84caf894d70b94c046a0,26/06/2023 01:24:19,ESCANER
23778,"Jutiapa",22,"El Progreso",2,3728,400,0,23,9,5,1,1,162,6,2,0,1,1,12,0,2,0,1,0,1,1,5,2,0,235,36,20,291,0,291,--,400,109,235,291,291,Algún campo sin dato,1,095cb1cd8b8a608ddf1e31f225984fd5ad63f2033e542f95acb2a96b1acc2a5e,26/06/2023 00:29:18,ESCANER
23779,"Jutiapa",22,"El Progreso",2,3728,326,1,13,7,7,0,0,131,3,0,0,0,0,8,0,2,0,2,0,0,0,7,1,0,182,22,6,210,0,210,--,326,116,182,210,210,Algún campo sin dato,1,16fbe75740572f51fc635ea41a82af54432cd473d456e43107faac9d10ba04fb,26/06/2023 00:30:50,ESCANER
23780,"Jutiapa",22,"El Progreso",2,3728,325,0,13,6,1,3,1,120,7,0,0,2,0,6,2,0,0,2,1,0,1,7,4,0,176,7,8,191,0,191,--,325,134,176,191,191,Algún campo sin dato,1,35061275781ecd92ca407ef9bcb27a495195a0160da55684d2ccfa3cf8ab2ca2,26/06/2023 00:25:40,ESCANER
23781,"Jutiapa",22,"El Progreso",2,3729,400,3,12,25,2,1,1,123,4,1,0,1,1,9,2,1,0,2,1,0,1,11,1,0,202,29,35,266,0,266,--,397,131,202,266,266,Algún campo sin dato,1,9a38ed79c982f877c69b93d1ef9ea9ae3721beeb5a34877e12f66ecde4072b15,26/06/2023 02:13:58,ESCANER
23782,"Jutiapa",22,"El Progreso",2,3729,400,0,10,29,1,2,2,116,0,0,1,2,0,1,3,0,0,7,1,0,0,11,2,0,188,42,35,265,4,269,--,400,131,188,265,269,Algún campo sin dato,1,3e1744b27e139c6d1ae3dbf14ad8aa81b9455550f425ff20033c5fc26a5541ef,26/06/2023 03:05:59,ESCANER
23783,"Jutiapa",22,"El Progreso",2,3729,400,1,18,19,0,0,0,109,5,0,0,1,0,3,2,1,0,5,0,1,2,12,5,0,184,33,21,238,0,238,--,400,162,184,238,238,Algún campo sin dato,1,608d7c0a324be88ac519280681239cd62d0a92f8271c329ce4afd02eef9cd299,26/06/2023 03:08:31,ESCANER
23784,"Jutiapa",22,"El Progreso",2,3729,400,0,5,27,3,4,1,119,6,1,0,1,1,8,0,3,0,1,3,1,0,9,3,0,196,33,15,244,0,244,0,396,152,196,244,244,,1,cd3e72f8808b7e9d8bf16157416b6a9ec0d58babfcdf30d352fb218f5e162cd0,26/06/2023 00:23:00,ESCANER
23785,"Jutiapa",22,"El Progreso",2,3729,280,0,6,15,1,1,0,94,0,0,0,1,1,5,2,1,1,0,0,0,0,6,4,1,139,8,9,156,0,156,--,280,124,139,156,156,Algún campo sin dato,1,9d03e945ef9328fb39b997f293b790a63e8009a517a8909fe3810bcf65015042,25/06/2023 23:08:23,ESCANER
23786,"Jutiapa",22,"El Progreso",2,3729,279,2,9,15,0,0,0,88,2,0,0,1,0,1,1,1,0,0,0,0,0,8,6,0,134,13,1,148,1,149,--,279,128,134,148,149,Algún campo sin dato,1,916186c04958f177353071ba04258f9b58c0862dcdb1235d30f744c56b3e8667,26/06/2023 00:20:28,ESCANER
23787,"Jutiapa",22,"El Progreso",2,3730,358,0,12,5,7,2,2,109,8,0,1,1,1,12,10,0,0,4,0,1,0,4,6,0,185,30,30,245,0,245,0,358,113,185,245,245,,1,50ce87f876004a44ff57347bce70c014dbbfd024a6bb9a247987eae254914dd5,26/06/2023 00:20:45,ESCANER
23788,"Jutiapa",22,"El Progreso",2,3730,357,0,16,3,2,3,1,109,4,0,1,0,0,8,20,1,0,5,0,0,0,6,4,0,183,18,5,206,0,206,0,357,151,183,206,206,,1,99d786d7b1d7925d343b5eb2e73c66152533b343ed46d46d62b03aba15504e5f,25/06/2023 21:58:43,ESCANER
23789,"Jutiapa",22,"El Progreso",2,3731,380,1,7,10,1,3,3,82,21,0,2,2,29,10,3,2,2,7,1,0,0,13,0,0,199,29,17,245,0,245,--,377,132,199,245,245,Algún campo sin dato,1,11ae2ac486c01e196e6f119e45828838ef251a7b6891df528dd917b5b548fbdb,26/06/2023 03:11:32,ESCANER
23790,"Jutiapa",22,"El Progreso",2,3731,380,0,18,10,3,2,2,81,9,0,0,2,31,4,1,1,1,4,0,0,0,24,1,0,194,38,27,259,2,261,--,377,118,194,259,261,Algún campo sin dato,1,f851b369ceafa387e1d4307e364a07835b7fbb7749a2846d26930ff2cb271c03,26/06/2023 01:50:25,ESCANER
23791,"Jutiapa",22,"El Progreso",2,3731,380,0,9,10,3,1,2,81,10,1,0,0,16,13,1,2,0,4,0,0,1,19,3,0,176,36,16,228,0,228,--,380,152,176,228,228,Algún campo sin dato,1,15b4135e58a0057ba56028e715830197d73515307ddb036a4d6fbe99d5293e3d,26/06/2023 00:32:54,ESCANER
23792,"Jutiapa",22,"El Progreso",2,3731,380,0,17,17,2,5,2,84,5,2,0,0,18,6,2,2,1,6,0,2,0,18,2,0,191,29,29,249,--,249,--,380,128,191,249,249,Algún campo sin dato,1,abe332d919fcd51bf223398d568a13bea85356c510acd5b803a7032602b68553,26/06/2023 01:55:08,ESCANER
23793,"Jutiapa",22,"El Progreso",2,3731,293,1,10,11,2,3,2,50,12,0,1,0,14,3,3,3,0,3,1,3,0,12,2,0,136,13,14,163,0,163,--,290,127,136,163,163,Algún campo sin dato,1,0bee148a2024044db5d76dd10294e75d1a04e1208617051cf134b7cc37397ebc,25/06/2023 23:10:24,ESCANER
23794,"Jutiapa",22,"El Progreso",2,3731,292,0,5,12,0,0,0,63,6,0,0,0,9,5,0,3,1,3,0,1,0,17,5,0,130,14,13,157,0,157,--,285,128,130,157,157,Algún campo sin dato,1,bd93d1597c5996366cce1619112f786ec4dae9305aabf5b89f423288d77d9b48,25/06/2023 23:57:52,ESCANER
23795,"Jutiapa",22,"El Progreso",2,3732,380,2,4,16,1,4,2,113,3,3,0,2,0,10,1,2,4,2,2,2,3,9,4,0,189,44,39,272,0,272,0,380,108,189,272,272,,1,137c35d7ad891ab0d6b6a10e54c8fc8f7fba7bec51b20e3fbdd2928f24713419,26/06/2023 00:32:38,ESCANER
23796,"Jutiapa",22,"El Progreso",2,3732,380,3,14,8,2,3,2,118,8,1,0,1,1,12,2,0,1,1,1,1,1,18,7,0,205,41,29,275,0,275,--,380,105,205,275,275,Algún campo sin dato,1,8273f0149f9f5bb56cd84a4475d6d4cdf16af8d1aa3a745f1105394e8ed8aae2,26/06/2023 00:32:47,ESCANER
23797,"Jutiapa",22,"El Progreso",2,3732,380,1,10,7,1,2,1,125,5,0,0,2,0,16,1,0,1,2,1,0,2,24,2,0,203,22,27,252,0,252,0,380,128,203,252,252,,1,1d6606d4d457644906a57c7dce3dbca30c8dbd405437024e1d460975344a87f0,26/06/2023 01:11:05,ESCANER
23798,"Jutiapa",22,"El Progreso",2,3732,350,0,14,13,3,1,2,97,4,3,1,0,0,12,3,0,1,1,1,0,0,9,6,0,171,34,14,219,0,219,--,349,130,171,219,219,Algún campo sin dato,1,096f0962711a6ec6f9ef6310b1644899eb84d55aea4ecb19a2df008fdc2b9eb3,26/06/2023 00:24:48,ESCANER
23799,"Jutiapa",22,"El Progreso",2,3732,349,1,6,4,3,3,0,110,4,0,1,0,0,6,2,1,0,1,0,0,0,13,8,0,163,11,9,183,0,183,--,349,166,163,183,183,Algún campo sin dato,1,71156a929b1ff312e77f10eff405ee323fc5835cf40bdce4393e09018a7d8272,25/06/2023 23:41:43,ESCANER
23800,"Jutiapa",22,"El Progreso",2,3733,380,0,40,2,1,3,1,176,6,1,0,2,0,13,3,1,0,3,1,0,0,2,7,0,262,18,17,297,2,299,--,380,83,262,297,299,Algún campo sin dato,1,42c24dbbe02be979531321df1825da8b68f845d1e30593604ca1c9494c94e278,26/06/2023 03:09:12,ESCANER
23801,"Jutiapa",22,"El Progreso",2,3733,198,0,18,1,3,2,0,81,1,0,0,0,1,7,0,1,1,2,0,1,0,0,0,0,119,16,6,141,0,141,--,198,57,119,141,141,Algún campo sin dato,1,80541846e8dca4a8a9a66a87e7725a32b5fce87acc9b81f29a86fe5b448ce7ef,25/06/2023 23:10:00,ESCANER
23802,"Jutiapa",22,"El Progreso",2,3733,197,2,10,1,0,0,1,84,2,0,0,0,0,6,1,1,0,0,0,0,0,5,10,0,123,12,9,144,0,144,--,197,53,123,144,144,Algún campo sin dato,1,49564597663e0a9a18fe58ed5e0f0628066fdf1c214a36b8b47da67431e39c55,25/06/2023 22:59:44,ESCANER
23803,"Jutiapa",22,"El Progreso",2,3734,600,2,16,7,4,4,0,44,2,0,0,1,1,2,0,3,0,0,0,0,0,5,3,0,94,27,9,130,0,130,--,600,470,94,130,130,Algún campo sin dato,1,1ea61f8e549c3b5fe2b36df78b0dd22913b15005b5a2b3c79c108c800a532f7e,25/06/2023 23:37:47,ESCANER
23804,"Jutiapa",22,"El Progreso",2,3734,569,3,11,5,2,2,2,25,2,0,0,0,1,1,1,3,0,2,1,0,1,2,3,0,67,11,2,80,0,80,--,568,488,67,80,80,Algún campo sin dato,1,75de84665004a3a5ea305be8ae734444d850da7c410aa10bc725eb18a43d2d68,25/06/2023 22:13:05,ESCANER
23805,"Jutiapa",22,"El Progreso",2,3734,568,0,2,2,1,1,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,18,0,0,18,0,18,--,568,550,18,18,18,Algún campo sin dato,1,11387cd8d2a0e6479e211a0b761df04f18b1ec46e5b5f72964634c4da99525d9,25/06/2023 22:36:36,ESCANER
23806,"Jutiapa",22,"Santa Catarina Mita",3,3735,400,2,9,1,6,50,8,19,53,0,0,4,4,20,1,2,0,7,0,6,0,6,11,0,209,47,35,291,0,291,0,396,105,209,291,291,,1,38b4a196a28ca3f4a7f7061c1cc118d9b69de1fce4e5a2f562bd03c31de41bd5,25/06/2023 23:17:00,ESCANER
23807,"Jutiapa",22,"Santa Catarina Mita",3,3735,400,5,10,1,5,58,2,34,62,0,2,2,1,13,1,1,2,8,0,1,0,3,8,0,219,72,24,315,0,315,0,400,85,219,315,315,,1,4468104dcc8c47407f17ae2e366ff7f6b939741a6bc672fa636cca21c145975c,26/06/2023 00:00:04,ESCANER
23808,"Jutiapa",22,"Santa Catarina Mita",3,3735,400,2,9,2,4,64,9,22,55,2,0,0,2,18,2,3,3,7,0,1,1,2,13,1,222,57,35,314,0,314,0,400,86,222,314,314,,1,d8fd3b63c78dc6153b508935c9b5824142894dfd4278be7b87c365fd3cd49545,26/06/2023 00:25:07,ESCANER
23809,"Jutiapa",22,"Santa Catarina Mita",3,3735,400,2,18,1,2,34,5,31,44,1,2,2,2,15,0,3,0,7,0,2,0,4,13,0,188,47,33,268,0,268,0,400,132,188,268,268,,1,b4e65f270d9c222b03b3880c417d0cc3d5a572f7ee6cf473abedf6b96d37ca4c,25/06/2023 22:20:10,ESCANER
23810,"Jutiapa",22,"Santa Catarina Mita",3,3735,400,1,20,2,2,47,5,22,56,0,0,3,1,13,3,6,3,10,0,3,0,4,10,0,211,61,18,290,0,290,0,400,110,211,290,290,,1,97e28a8d745e9cb0789d23b575508a5c6639ff6070587e1923bddf3a34836d2b,26/06/2023 00:37:25,ESCANER
23811,"Jutiapa",22,"Santa Catarina Mita",3,3735,400,3,12,2,5,48,0,16,39,0,1,1,2,14,0,2,1,5,1,3,0,6,8,0,168,52,46,266,0,266,--,400,134,169,267,267,Sumas Asentadas sin cuadrar,1,d256446e45b58d5bbee0a361c42c31e262b8eca6ab5b4d5fc0abefe204039be8,26/06/2023 01:12:49,ESCANER
23812,"Jutiapa",22,"Santa Catarina Mita",3,3735,400,4,8,3,4,47,1,24,53,0,0,4,0,15,1,4,3,6,0,2,0,6,14,0,199,48,27,274,0,274,0,400,126,199,274,274,,1,f0f70eecdd19293d71d1e3436e3f150d6cc3f0f2289936dac6a521cf22f8543d,26/06/2023 00:25:55,ESCANER
23813,"Jutiapa",22,"Santa Catarina Mita",3,3735,292,3,10,5,5,46,2,27,44,3,2,1,1,8,0,1,1,4,0,2,0,7,15,0,187,19,13,219,0,219,0,292,73,187,219,219,,1,0aa0319d60941d07eb02e4e8ab790041a9985c9d20e22a3ce972eb27d3ebe535,25/06/2023 23:33:52,ESCANER
23814,"Jutiapa",22,"Santa Catarina Mita",3,3735,291,0,5,4,6,35,1,12,20,0,0,0,1,8,0,0,1,3,1,0,1,3,11,0,112,20,16,148,0,148,0,291,143,112,148,148,,1,5f1137075b7addede7bdb2592526be19e1955563dd90a2442e2d3431216e96ce,25/06/2023 21:55:08,ESCANER
23815,"Jutiapa",22,"Santa Catarina Mita",3,3736,400,1,6,2,4,54,7,25,53,1,2,0,1,20,1,3,0,4,2,3,2,4,3,0,198,42,39,279,0,279,0,395,116,198,279,279,,1,c5700ddcaff89113027ec590a6dd6878ce62a624a44d629a4809af2f9399138b,26/06/2023 02:48:33,ESCANER
23816,"Jutiapa",22,"Santa Catarina Mita",3,3736,400,2,5,2,5,56,15,23,51,1,2,0,1,8,0,3,1,1,0,3,1,0,4,0,184,51,38,273,0,273,0,397,124,184,273,273,,1,ee32fbe55686d8e378a3583b529dec5887ed3c90c2d359272c104a1c707482b2,26/06/2023 02:22:11,ESCANER
23817,"Jutiapa",22,"Santa Catarina Mita",3,3736,400,0,7,4,5,54,3,16,50,1,3,2,1,17,0,1,0,2,0,2,0,0,5,0,173,68,34,275,0,275,0,400,125,173,275,275,,1,6d2a29d65495ab07242a68bb2a813164eef81002ac71b322e4d2f66d3e6ade8d,25/06/2023 23:18:01,ESCANER
23818,"Jutiapa",22,"Santa Catarina Mita",3,3736,400,0,11,4,2,52,10,13,53,0,1,0,1,20,0,1,1,1,1,6,0,1,7,0,185,52,45,282,0,282,0,400,118,185,282,282,,1,b9c0ce556ba10c2ba64a09941d459b1a2e10c777ce1f2a4b381c6d27a2035405,26/06/2023 02:05:40,ESCANER
23819,"Jutiapa",22,"Santa Catarina Mita",3,3736,400,3,8,4,3,44,12,22,41,1,2,1,0,20,0,1,0,1,1,3,0,0,3,0,170,55,35,260,0,260,0,400,140,170,260,260,,1,ac3360704103168e304b2afbff824e31dcd1b609f1a05171a174468b13642c1d,26/06/2023 00:08:23,ESCANER
23820,"Jutiapa",22,"Santa Catarina Mita",3,3736,400,0,5,3,1,49,2,18,58,0,1,0,0,14,0,1,0,2,2,5,0,0,4,1,166,57,31,254,0,254,0,400,146,166,254,254,,1,abf748ace133ecabbf77d4b309732db6ec897d4056b1ea4a098117978bfe89e1,26/06/2023 02:33:59,ESCANER
23821,"Jutiapa",22,"Santa Catarina Mita",3,3736,400,0,6,4,5,47,10,26,38,2,2,2,0,13,2,3,0,4,0,2,0,1,6,0,173,58,21,252,0,252,0,400,148,173,252,252,,1,e3598c9b81bc8b6acf3901c8e39662692fcbccf990af18e06e7370b3c741f738,25/06/2023 23:24:10,ESCANER
23822,"Jutiapa",22,"Santa Catarina Mita",3,3736,400,4,7,2,2,48,10,26,48,0,1,1,0,14,1,1,1,5,4,1,1,2,5,3,187,44,41,272,0,272,0,400,128,187,272,272,,1,74bcf6140dcf34e5bdb7b84ec2a240a82dd98fbd8c94955a7be73688f372e26c,25/06/2023 23:10:08,ESCANER
23823,"Jutiapa",22,"Santa Catarina Mita",3,3736,400,0,5,8,0,48,6,31,40,0,1,1,1,13,0,0,3,5,1,1,0,4,3,0,171,43,20,234,0,234,0,400,166,171,234,234,,1,a9e6e615b7f3ff4378a06e468113fe121947fa14bbf97d0b08c959aa6ee38a31,25/06/2023 23:53:45,ESCANER
23824,"Jutiapa",22,"Santa Catarina Mita",3,3736,375,4,8,9,5,33,4,51,48,0,2,2,1,13,2,2,0,1,1,1,0,10,11,0,208,28,25,261,0,261,0,375,114,208,261,261,,1,f077fbad3a0c844e57b249c11547970cedc50d05a5add3bbdf4c397faa0e50c7,25/06/2023 22:50:14,ESCANER
23825,"Jutiapa",22,"Santa Catarina Mita",3,3736,374,1,10,2,2,46,8,28,48,0,1,0,0,17,1,0,2,0,3,2,1,5,6,0,183,24,15,222,0,222,0,374,152,183,222,222,,1,976d5aca89c602a179ef34fdf3a3c014fc0b91f4133f3d6294409fe23d380700,26/06/2023 01:13:45,ESCANER
23826,"Jutiapa",22,"Santa Catarina Mita",3,3737,400,3,9,4,3,72,5,13,45,1,0,1,1,18,0,3,0,4,0,2,0,6,6,0,196,51,59,306,0,306,0,400,94,196,306,306,,1,438a41d989da69cfffc583267a312ae8b5484130a40dbdf2af0feb1a59c3a2ba,25/06/2023 22:06:08,ESCANER
23827,"Jutiapa",22,"Santa Catarina Mita",3,3737,400,3,7,3,3,72,2,21,50,0,0,2,1,12,1,2,0,4,0,0,1,2,6,0,192,50,53,295,0,295,0,400,105,192,295,295,,1,fabce8fa518300e6633c736d4dec5a6dc2f1bbb38b4616a10d666ca8eddf431c,26/06/2023 00:52:29,ESCANER
23828,"Jutiapa",22,"Santa Catarina Mita",3,3737,400,4,6,3,2,80,1,17,55,1,0,1,2,11,1,3,0,3,0,1,1,5,4,0,201,51,60,312,0,312,0,400,88,201,312,312,,1,4bc7a3bf052c683362210e406ac99133512163073bbe7cbbddcd8faef30a4f45,26/06/2023 00:12:56,ESCANER
23829,"Jutiapa",22,"Santa Catarina Mita",3,3737,400,5,10,5,3,76,0,24,32,0,0,1,1,13,0,4,1,2,0,3,0,2,5,0,187,45,39,271,0,271,0,400,129,187,271,271,,1,cc10130ccedd5345fac0bfc3f30c690fdeaa6db832f91d5ae7676ec0f09890c2,25/06/2023 23:58:45,ESCANER
23830,"Jutiapa",22,"Santa Catarina Mita",3,3737,400,5,13,2,2,55,2,36,37,0,2,3,2,15,2,0,0,4,0,2,0,2,9,1,194,66,34,294,0,294,0,400,106,194,294,294,,1,7c8d02e1a5e63f450d5f842aa4dbab67c3360ed8b13f542527d91ab5cbdf7a0f,25/06/2023 23:21:08,ESCANER
23831,"Jutiapa",22,"Santa Catarina Mita",3,3737,400,2,9,1,3,61,2,19,57,0,0,1,0,13,2,1,0,1,0,0,0,4,3,0,179,60,43,282,0,282,0,400,118,179,282,282,,1,e29ca5163f5d809f470902ebff3dfbb10953e05b18b78805ad81b880a3ca7c54,25/06/2023 22:55:48,ESCANER
23832,"Jutiapa",22,"Santa Catarina Mita",3,3737,400,4,8,2,2,80,1,43,46,2,0,1,2,11,1,2,1,0,1,1,0,12,16,0,236,40,23,299,0,299,0,400,101,236,299,299,,1,7e7be70b9e502c97b2b30049842d6f7791c66bfe4e199652ec5a6fc87233796b,26/06/2023 00:15:47,ESCANER
23833,"Jutiapa",22,"Santa Catarina Mita",3,3737,207,2,9,3,0,36,1,20,24,0,0,2,0,7,1,2,0,1,0,0,0,5,9,0,122,28,10,160,0,160,0,207,47,122,160,160,,1,5919f69d0e1acacba47b80950586b27cccd1147764e41ccaf02e9c198e46e4e6,25/06/2023 22:51:30,ESCANER
23834,"Jutiapa",22,"Santa Catarina Mita",3,3737,206,0,3,4,0,41,1,8,20,0,1,0,2,5,0,0,0,1,0,1,0,5,6,0,98,14,23,135,0,135,0,206,71,98,135,135,,1,32a22eb0965de12df91ae2464a6db28506f58cede0f8fb46519d5b11c474d0eb,25/06/2023 22:04:58,ESCANER
23835,"Jutiapa",22,"Santa Catarina Mita",3,3738,400,0,4,2,3,63,5,8,62,2,1,1,1,21,5,1,0,6,2,1,0,5,3,0,196,34,60,290,0,290,0,400,110,196,290,290,,1,5bfd01195b85274e1dfc2cd72dee78ffa30c6a1261c99495467c7d6372b91692,25/06/2023 22:32:47,ESCANER
23836,"Jutiapa",22,"Santa Catarina Mita",3,3738,231,1,3,0,3,35,2,4,32,0,0,2,0,6,0,0,0,4,0,1,0,0,6,0,99,25,29,153,0,153,0,231,78,99,153,153,,1,bd758844eee6881a6ebf40fbd64e16ca7cd1ce6bbeb33ef7f5ca54de4e2d3933,25/06/2023 22:52:54,ESCANER
23837,"Jutiapa",22,"Santa Catarina Mita",3,3738,230,1,5,4,4,32,2,19,39,0,0,0,1,9,0,1,1,2,1,0,0,3,5,0,129,7,19,155,0,155,0,230,75,129,155,155,,1,f695421eea48fd2382fb597854a09d2cad9b4a36eab6f1f4aec3428eea2229de,25/06/2023 22:45:13,ESCANER
23838,"Jutiapa",22,"Santa Catarina Mita",3,3739,380,4,3,2,1,46,0,50,35,0,0,0,0,5,1,0,1,1,2,0,2,1,7,0,161,49,30,240,0,240,0,380,140,161,240,240,,1,a52ed75793e940335c9b399c5921b544706f7693a933ada283d319cacbf4ce91,26/06/2023 00:23:37,ESCANER
23839,"Jutiapa",22,"Santa Catarina Mita",3,3739,380,5,2,3,2,37,4,64,34,0,0,3,0,6,6,3,1,1,1,0,0,4,2,0,178,44,31,253,0,253,0,380,127,178,253,253,,1,6ea49d158270a60ae2953e8f5565f86e556983fe143471afc34c1f21345c073b,26/06/2023 00:05:11,ESCANER
23840,"Jutiapa",22,"Santa Catarina Mita",3,3739,380,1,3,2,0,27,4,51,41,1,0,0,1,3,4,3,0,1,0,1,0,1,3,1,148,39,36,223,0,223,0,380,157,148,223,223,,1,e969b246e58474bd5cea532e47c1532b4f82cb6807e04a7ecde2f7fb69110190,25/06/2023 23:56:39,ESCANER
23841,"Jutiapa",22,"Santa Catarina Mita",3,3739,380,0,6,2,1,42,2,51,42,1,1,0,0,2,2,4,2,1,0,1,2,5,4,0,171,48,36,255,0,255,0,381,126,171,255,255,,1,437b4e895473023264746320f8437a5944f8e362de0856143d8a04154ce4722c,25/06/2023 23:46:11,ESCANER
23842,"Jutiapa",22,"Santa Catarina Mita",3,3739,319,0,4,3,0,28,2,34,29,0,0,2,1,2,6,2,2,0,0,1,0,1,4,0,121,30,25,176,0,176,0,319,143,121,176,176,,1,4b2c8740bcf3f3292998de5e9973468efd0c94f7b6b07c270cfb21da4db014df,26/06/2023 00:37:09,ESCANER
