TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
922,877,95.1193,874,94.7939,3,332560,216665,65.1506

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,UNIONISTA,CABAL,AZUL,URNG-MAIZ WINAQ,VAMOS,PHG,VICTORIA,MLP,PR,P A N,UR,PIN,BIEN,VALOR,UNE,PPN,FCN-NACION,VIVA,ELEFANTE,CREO,CAMBIO,PODEMOS,MI FAMILIA,SEMILLA,VOS,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6119,"Chimaltenango",3,"San Martín Jilotepeque",3,650,380,49,2,14,1,6,0,0,19,1,0,1,0,0,15,18,10,5,0,7,7,2,5,21,8,1,0,192,21,36,249,--,249,0,380,131,192,249,249,Algún campo sin dato,1,967c03bb3507cdfd32c4e0d4d003a4c0d6bba173274e3ba553c7e187046958ee,26/06/2023 01:10:54,ESCANER
6120,"Chimaltenango",3,"San Martín Jilotepeque",3,650,380,36,4,13,2,11,0,2,17,4,0,3,0,1,10,7,8,3,0,7,1,0,6,15,6,1,2,159,37,16,212,--,212,--,380,168,159,212,212,Algún campo sin dato,1,42e3e08220df7e423823d42b99b762f7c4f61a01992e91d036dc6dabdc00629f,26/06/2023 00:13:39,ESCANER
6121,"Chimaltenango",3,"San Martín Jilotepeque",3,650,380,41,1,17,2,6,1,1,13,3,0,1,1,0,15,7,5,6,0,8,1,0,7,12,2,1,0,151,33,21,205,0,205,--,380,175,151,205,205,Algún campo sin dato,1,c9b5c2db2a51ff7dcb766be0d712c07d635f2abda7e383a92bcc51564fe0e96e,26/06/2023 00:00:54,ESCANER
6122,"Chimaltenango",3,"San Martín Jilotepeque",3,650,266,35,0,10,2,8,1,1,10,7,0,1,1,0,7,3,2,5,0,5,1,1,3,13,4,8,3,131,9,11,151,0,151,--,266,115,131,151,151,Algún campo sin dato,1,6e718946dca18e9110c3d5380f93e68e109f0c56895934ee3d926a93404938f7,25/06/2023 23:15:57,ESCANER
6123,"Chimaltenango",3,"San Martín Jilotepeque",3,650,266,18,0,10,2,7,3,0,5,0,0,0,0,1,14,6,0,0,1,6,2,5,--,11,0,6,0,97,10,6,113,0,113,--,266,153,97,113,113,Algún campo sin dato,1,0bb295702a683b4f62808cf7a534a30ddf99e437b01f9843eafcc9a662fed94f,26/06/2023 01:50:26,ESCANER
6124,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,30,9,14,1,6,3,1,6,1,1,1,0,0,6,1,14,6,1,2,5,1,0,39,0,0,0,148,31,33,212,0,148,0,380,168,148,212,212,Sumas Asentadas sin cuadrar,1,96f700afb7aaf0e0430a468db570f08c441f388c9c23cefcdf90da77a5a1d879,26/06/2023 01:13:59,ESCANER
6125,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,28,1,10,2,2,3,0,2,3,1,4,0,0,15,4,15,5,2,3,1,0,3,25,3,1,1,134,31,50,215,0,215,0,380,165,134,215,215,,1,005082bccdb6502bfc63b72ed0b326bf37e85043f746edebd3f668c8e176e89b,25/06/2023 23:49:08,ESCANER
6126,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,28,6,13,1,4,8,1,4,2,0,3,0,0,8,5,9,12,1,6,2,4,2,22,4,2,1,148,30,27,205,0,205,--,380,175,148,205,205,Algún campo sin dato,1,0a9014a885a47874b930489b1efcaa7bd8aa1407dd355205fc8567f516b5d7bf,26/06/2023 03:34:44,ESCANER
6127,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,25,6,21,3,4,5,0,6,1,0,4,0,0,17,5,10,8,1,1,1,0,1,23,3,1,2,148,26,22,196,0,196,--,380,184,148,196,196,Algún campo sin dato,1,5a24ab82406d15dcc9976164564ee3757552192571355ce0585573877de10f8e,26/06/2023 03:07:54,ESCANER
6128,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,20,10,7,4,5,3,0,3,2,0,0,0,0,16,2,14,4,3,7,2,1,1,25,1,1,0,131,40,40,211,0,211,--,380,169,131,211,211,Algún campo sin dato,1,f696fc8361a8cc6a5292c0ef1b41e236426bcc4190759851655d41d5943a015f,26/06/2023 03:43:43,ESCANER
6129,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,26,6,12,2,3,6,1,8,2,0,4,0,1,12,3,23,6,1,6,3,1,1,31,3,1,3,165,34,29,228,0,228,--,380,152,165,228,228,Algún campo sin dato,1,ea03c91b742dc7004560848a9ada375d00c83ff3cc99081b47efa47c1208723e,26/06/2023 02:19:28,ESCANER
6130,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,24,10,11,2,6,8,1,8,2,0,1,0,0,16,6,16,6,0,3,6,0,3,22,4,1,1,157,32,35,224,0,224,--,379,155,157,224,224,Algún campo sin dato,1,b4abc0f98843210e56b42e5080d216d160b490fbe6a2446cbec414d965dc79fd,26/06/2023 02:29:23,ESCANER
6131,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,22,7,14,1,5,12,0,5,1,0,2,1,0,10,1,9,1,2,5,5,0,2,35,2,3,1,146,10,14,170,0,170,--,380,210,146,170,170,Algún campo sin dato,1,d7f568521521cd525d3b6472dd3ee2338005df07c4c08c5a525cef9c11a9a9c0,25/06/2023 23:05:18,ESCANER
6132,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,22,11,13,2,7,6,0,2,1,0,1,1,0,10,4,7,5,0,12,1,2,4,44,3,2,1,161,24,35,220,0,220,--,380,160,161,220,220,Algún campo sin dato,1,1d6d1bda1a8ba69d3fa64886d2e8b724afc8ea274bfe7fc5b72a226cc050649d,26/06/2023 02:45:48,ESCANER
6133,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,23,3,14,1,3,6,1,5,4,0,1,1,0,9,2,16,2,1,6,2,0,1,43,1,0,2,147,28,40,215,0,215,--,383,168,147,215,215,Algún campo sin dato,1,eb12c37380ae5a4e4502765f27082657fdd52a11f778a77b4bcadd6eb794a265,26/06/2023 02:59:49,ESCANER
6134,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,24,1,10,1,1,6,0,7,2,0,2,0,0,13,2,16,2,2,1,2,0,1,30,1,1,3,128,21,40,189,0,189,--,380,191,128,189,189,Algún campo sin dato,1,4f24524025555d4d21bcaae5f59c49e828a398232a74d511f36450cd858abea7,26/06/2023 02:17:07,ESCANER
6135,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,29,5,13,1,5,5,0,3,0,0,2,1,1,10,2,7,4,0,4,2,0,2,45,1,2,3,147,24,30,201,0,201,--,380,179,147,201,201,Algún campo sin dato,1,2f30bdfd849a4b0e985b8dc610306283bf54ab61a2e77c111dacb9bfa55908ab,26/06/2023 00:22:46,ESCANER
6136,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,29,9,7,1,6,3,1,7,0,0,2,0,0,16,2,9,5,1,4,2,0,2,34,3,2,3,148,17,21,186,0,186,0,380,194,148,186,186,,1,5196f5e7b5196a62410c51de9b8cd46e7176f250b86bc7c099e3da2b6acb5a4f,25/06/2023 23:31:47,ESCANER
6137,"Chimaltenango",3,"San Martín Jilotepeque",3,651,380,29,6,13,1,8,8,1,6,1,0,1,0,0,15,8,9,2,1,8,3,1,1,33,5,2,4,166,19,11,196,0,196,--,380,184,166,196,196,Algún campo sin dato,1,8842d1b367be688e4778aca91834ea95002bb85b941a623436090e120ff33deb,26/06/2023 02:19:07,ESCANER
6138,"Chimaltenango",3,"San Martín Jilotepeque",3,651,362,24,8,10,0,4,8,0,4,1,1,0,0,0,9,2,4,0,1,6,0,0,0,28,2,1,1,114,12,9,135,--,--,--,362,227,114,135,135,Algún campo sin dato,1,bd2a1250c0a9b9df3677de1648ee08b00b97fa95acd072db21ca5eea3fdc2f29,25/06/2023 23:25:22,ESCANER
6139,"Chimaltenango",3,"San Martín Jilotepeque",3,651,362,19,10,15,0,2,11,1,4,2,0,1,0,0,10,1,5,4,1,4,1,1,1,26,0,1,1,123,15,17,155,0,155,0,362,207,121,153,153,Sumas Asentadas sin cuadrar,1,f0fd0df5eacfe10fe03daca256cc3545782f9d7d3158a384a6f4e4e53c082135,26/06/2023 01:07:23,ESCANER
6140,"Chimaltenango",3,"San Martín Jilotepeque",3,652,380,56,3,3,0,6,6,1,8,1,0,1,0,0,7,2,12,3,0,8,1,0,2,42,3,4,1,170,32,26,228,0,228,0,376,148,170,228,228,,1,86fd2da954731f1292e923f9ce3553ecaa31c5c2092ded67954a87755e5e545c,25/06/2023 23:22:28,ESCANER
6141,"Chimaltenango",3,"San Martín Jilotepeque",3,652,380,76,5,6,1,6,2,0,5,1,0,3,1,0,5,1,5,3,1,6,0,2,2,33,0,3,4,171,30,25,226,0,226,--,380,154,171,226,226,Algún campo sin dato,1,c4724985cce6d93cff607b21fb5509ab52cf69fcb72c161a94bb9a271a8df96d,26/06/2023 01:01:32,ESCANER
6142,"Chimaltenango",3,"San Martín Jilotepeque",3,652,380,75,2,2,2,4,1,0,10,0,1,0,0,0,11,1,13,5,0,1,1,1,4,23,3,2,3,165,20,26,211,9,220,0,380,160,165,211,220,,1,55543a44447ef7c040f3f0e93b87fafc10dc97c9d584b987e13e6be6bfee94f1,25/06/2023 23:53:38,ESCANER
6143,"Chimaltenango",3,"San Martín Jilotepeque",3,652,380,47,3,4,2,8,2,1,5,0,0,1,0,0,16,1,5,3,2,8,1,3,4,25,2,3,1,147,24,10,181,0,181,0,380,199,147,181,181,,1,c916e5e12f88d30453d9996d06876f1596b461d9b4a2c3e63975df8fcf41137e,26/06/2023 00:17:41,ESCANER
6144,"Chimaltenango",3,"San Martín Jilotepeque",3,652,380,72,0,7,5,9,5,2,4,1,0,4,1,0,12,0,5,4,0,4,2,1,6,23,4,4,3,178,28,26,232,0,232,0,380,148,178,232,232,,1,cfafacdf17c9303f6e1e2b1eb0d412d0f6eb8b383920bebfbf7d87d92ef5ee0a,26/06/2023 00:09:20,ESCANER
6145,"Chimaltenango",3,"San Martín Jilotepeque",3,652,380,62,0,6,1,9,1,1,3,5,0,2,0,1,13,4,6,1,0,1,2,0,3,28,4,6,0,159,17,14,190,0,190,0,380,190,159,190,190,,1,c885dc413c55ae947272b6ea4f44df6bdd27a0a1714b0b1991b6c92006bbe1d9,25/06/2023 23:33:48,ESCANER
6146,"Chimaltenango",3,"San Martín Jilotepeque",3,652,219,30,2,4,3,5,1,0,1,1,0,4,0,0,8,0,3,1,1,0,0,0,1,14,0,15,1,95,13,7,115,0,115,--,219,104,95,115,115,Algún campo sin dato,1,b97f4c0e30bd2130b5a536a3bf565ff9d3e78fb6f74515e0766808d8893d7a54,25/06/2023 22:19:33,ESCANER
6147,"Chimaltenango",3,"San Martín Jilotepeque",3,652,218,26,1,10,0,1,3,0,0,0,0,0,0,0,2,0,6,1,0,1,0,0,2,15,0,2,1,71,13,17,101,0,101,0,218,117,71,101,101,,1,7b5d14a3c50ae9d6b349177bf53784ad933d3e95ab867c8ab45ce6a5f661612f,25/06/2023 23:11:45,ESCANER
6148,"Chimaltenango",3,"San Martín Jilotepeque",3,653,380,13,6,26,4,8,13,1,0,3,0,8,2,1,25,1,17,7,0,14,4,2,5,34,0,1,1,202,24,41,267,0,267,--,380,113,196,261,261,Sumas Asentadas sin cuadrar,1,8bf2e0e72e09c514082cb05c18bd166d4ade0388e04cd12ca9ffab75895d1f5f,26/06/2023 04:47:36,ESCANER
6149,"Chimaltenango",3,"San Martín Jilotepeque",3,653,380,21,2,11,2,4,18,1,11,3,0,10,2,0,20,1,26,2,1,8,5,2,3,40,1,7,1,202,17,50,269,0,269,--,381,112,202,269,269,Algún campo sin dato,1,83d10dd4966e208169c8c1d39f056fd61b65b4ef16f907f1b1d37803f88adbe7,26/06/2023 05:22:37,ESCANER
6150,"Chimaltenango",3,"San Martín Jilotepeque",3,653,380,19,2,15,0,5,12,0,8,3,0,5,0,1,19,0,12,2,2,10,4,2,3,23,3,3,1,154,34,50,238,3,241,0,380,139,154,238,241,,1,56ca51d18c7bde4fe9bc5a5b11bef6e6040d98beaa4a58012639b2f24fc15bf5,26/06/2023 04:38:34,ESCANER
6151,"Chimaltenango",3,"San Martín Jilotepeque",3,653,380,13,5,8,6,6,23,0,3,1,2,5,1,1,26,0,20,7,0,9,4,1,5,18,2,5,0,171,28,26,225,0,225,0,380,155,171,225,225,,1,2c157c61cceb207957986c819e9cec233e044f1bf952ba031f731c698fe8598b,26/06/2023 01:18:49,ESCANER
6152,"Chimaltenango",3,"San Martín Jilotepeque",3,653,380,14,4,10,1,5,16,2,7,0,0,5,0,1,22,3,13,5,2,14,5,1,3,22,0,1,0,156,24,26,206,0,206,--,380,174,156,206,206,Algún campo sin dato,1,10877100edfed0b5f18c005d9b8f3b1538a9574e1c8b3914a8a8f501af6695ac,26/06/2023 03:45:22,ESCANER
6153,"Chimaltenango",3,"San Martín Jilotepeque",3,653,380,13,9,17,1,9,17,0,7,3,1,6,1,0,20,1,21,6,2,9,1,1,2,23,1,7,1,179,17,31,227,3,230,0,380,150,179,227,230,,1,54766869d93a147e693b363d7e9ae71ba24dd2fea757eda6e0ebda460b946ca4,26/06/2023 00:42:52,ESCANER
6154,"Chimaltenango",3,"San Martín Jilotepeque",3,653,380,10,5,20,3,3,18,1,4,6,0,9,1,0,25,2,21,5,2,6,6,5,4,28,3,4,3,194,29,40,263,0,263,0,380,117,194,263,263,,1,208a262bfc4758e7f5352c4c1e36fd72f2671a7b9c0d5276403d2a0b66dc623e,26/06/2023 01:02:41,ESCANER
6155,"Chimaltenango",3,"San Martín Jilotepeque",3,653,380,15,1,19,4,3,15,1,9,2,1,3,2,0,21,0,19,0,1,7,8,3,3,17,1,2,1,158,22,36,216,0,216,0,380,164,158,216,216,,1,693201f8e71d38fdd1dd6a8f6cf13d9f20caff247e1bfdd75cfbd394e6254b0c,26/06/2023 02:08:44,ESCANER
6156,"Chimaltenango",3,"San Martín Jilotepeque",3,653,380,14,0,9,3,3,9,0,9,4,0,6,0,0,15,2,22,3,0,14,5,1,3,17,3,2,5,149,20,24,193,0,193,--,380,187,149,193,193,Algún campo sin dato,1,f0d659bd32b1cb4efb48b1f58d7a5f0a4f81e1cf22590f646c8d9e3c86dade5b,26/06/2023 03:46:11,ESCANER
6157,"Chimaltenango",3,"San Martín Jilotepeque",3,653,380,6,7,13,0,6,18,1,4,3,2,4,0,2,28,2,14,2,2,12,8,0,7,35,1,5,6,188,26,15,229,0,229,0,380,151,188,229,229,,1,a8ebb262f0563d568996c0315c0823f7e1faae3bda0abaa776cd5bc7842784cc,26/06/2023 02:32:13,ESCANER
6158,"Chimaltenango",3,"San Martín Jilotepeque",3,653,311,13,3,11,2,11,30,1,2,1,0,3,0,1,20,2,9,3,2,4,2,0,3,21,0,6,3,153,15,25,193,0,193,--,311,118,153,193,193,Algún campo sin dato,1,fe409201067026cc15f43727e019079e421900f570772e1f612dafc726fe8503,26/06/2023 03:53:36,ESCANER
6159,"Chimaltenango",3,"San Martín Jilotepeque",3,653,311,9,0,12,1,1,8,0,7,2,0,0,0,1,16,1,9,3,1,3,2,1,6,20,3,2,0,108,14,22,144,0,144,0,311,167,108,144,144,,1,bc116875ae4468c3cc0bf95c04cc25ea523d1949c7d3b781a74a6ddb3913a809,26/06/2023 04:24:34,ESCANER
6160,"Chimaltenango",3,"San Martín Jilotepeque",3,654,380,18,1,3,6,6,3,0,16,2,0,5,0,3,15,1,25,3,1,5,6,0,9,68,1,1,1,199,29,38,266,0,266,--,380,114,199,266,266,Algún campo sin dato,1,d11072e3554ba31cc1d33cfaff5e685f3f933da0c13d1504d58d6154b23b5e38,26/06/2023 00:55:16,ESCANER
6161,"Chimaltenango",3,"San Martín Jilotepeque",3,654,380,25,1,3,3,9,2,0,8,2,2,2,0,0,18,1,11,3,2,7,7,1,10,52,0,4,1,175,13,23,211,23,234,--,380,146,174,210,233,Sumas Asentadas sin cuadrar,1,1f0d3c2db2201b5f5f853f060c271219e622ecb9fe1e94a65fbed7ed6af4c91a,26/06/2023 02:04:18,ESCANER
6162,"Chimaltenango",3,"San Martín Jilotepeque",3,654,380,23,2,7,5,5,2,0,16,2,1,3,0,0,18,1,18,3,1,7,5,1,8,66,4,1,4,203,16,36,255,0,255,--,380,125,203,255,255,Algún campo sin dato,1,db6b29e8674fc4b5078bb54c768bc93abce61eb8c450a383edd380766b4d96ca,26/06/2023 00:57:31,ESCANER
6163,"Chimaltenango",3,"San Martín Jilotepeque",3,654,380,22,3,4,6,11,4,0,15,4,0,1,0,0,11,3,8,5,1,6,11,1,12,53,3,1,0,185,21,8,214,1,215,0,380,165,185,214,215,,1,49e33e32d1442d1e3a29c4d9e95f20d4e2da2edd5be75c9466a25c5c5277ee7d,26/06/2023 01:18:38,ESCANER
6164,"Chimaltenango",3,"San Martín Jilotepeque",3,654,380,22,2,6,1,6,10,1,8,2,1,1,1,0,13,4,15,0,1,5,4,3,9,57,4,1,0,177,33,19,229,0,229,--,--,--,177,229,229,Algún campo sin dato,1,ba11f3c4289b20d45c5d2d19af0f4c0eeb7d57d8fc84954e469e22f99a2077cc,25/06/2023 22:59:13,ESCANER
6165,"Chimaltenango",3,"San Martín Jilotepeque",3,654,380,19,1,8,7,5,6,0,9,1,0,2,0,0,12,0,6,2,0,5,4,1,16,69,0,3,3,179,34,19,232,0,232,0,380,148,179,232,232,,1,5c683e22720e1af3935c52c6c3fcb528671e52adf51dbd5e8b4a61b9354ebd4b,25/06/2023 23:56:02,ESCANER
6166,"Chimaltenango",3,"San Martín Jilotepeque",3,654,380,27,1,4,4,4,4,0,10,2,0,1,0,0,16,0,14,1,2,6,6,3,5,56,0,1,0,167,30,33,230,0,230,--,379,149,167,230,230,Algún campo sin dato,1,e58d4d7615f5f16567e1754d2ea4deeb05f99a6aeeb3aa4c01e6bf62e2588441,26/06/2023 02:16:54,ESCANER
6167,"Chimaltenango",3,"San Martín Jilotepeque",3,654,380,17,1,5,4,7,9,0,9,1,0,3,0,0,11,0,13,2,0,10,2,0,6,38,0,0,3,141,31,25,197,0,197,0,380,183,141,197,197,,1,b5b8ed7fbaa9f89f2c98203382af9723b8d079914eb35f06daae3f32bfffd061,26/06/2023 00:26:36,ESCANER
6168,"Chimaltenango",3,"San Martín Jilotepeque",3,654,380,17,3,7,2,16,7,1,8,4,0,0,0,0,13,1,7,0,0,10,8,1,9,48,2,9,5,178,13,14,205,0,205,0,380,174,178,205,205,,1,6726f78f40c81aa77e61849945e0858babc5028c515d147762c964028af3136b,26/06/2023 01:42:14,ESCANER
6169,"Chimaltenango",3,"San Martín Jilotepeque",3,654,216,10,2,3,0,5,2,1,10,2,0,2,1,0,8,1,3,1,0,5,5,0,7,23,0,6,3,100,15,1,116,0,116,0,213,97,100,116,116,,1,2b0aa51ae1387dc660676aaf6b9dc3b832bba6a58b2e97067800565c6d1e9053,26/06/2023 01:30:22,ESCANER
6170,"Chimaltenango",3,"San Martín Jilotepeque",3,654,215,9,1,5,3,6,2,0,3,0,0,3,0,0,7,1,3,1,1,3,6,1,10,23,0,3,3,94,12,8,114,0,114,0,215,101,94,114,114,,1,2cdf1d4e463cf9ab6b0ca3c95ca27d172fea5945f3733ec1b8ff8c400cb9f656,25/06/2023 23:32:47,ESCANER
6171,"Chimaltenango",3,"San Martín Jilotepeque",3,655,380,26,0,9,3,15,6,0,9,10,0,7,0,0,28,2,12,4,1,0,11,3,2,47,1,0,4,200,39,29,268,0,268,0,380,112,200,268,268,,1,b6f75bdd96fa8fcc4ad68f1d5c413e3580624e6fc28764e1f9c3e710a18106d9,26/06/2023 01:48:29,ESCANER
6172,"Chimaltenango",3,"San Martín Jilotepeque",3,655,380,25,0,15,1,21,3,2,21,5,0,1,0,0,26,4,9,2,1,3,7,1,1,54,3,4,1,210,17,30,257,0,257,0,380,123,210,257,257,,1,22df9b8a265a77daca758ae8fefb91789e6793ccc7e4d6b24ec5771e78ef2814,26/06/2023 02:07:34,ESCANER
6173,"Chimaltenango",3,"San Martín Jilotepeque",3,655,380,28,0,9,2,27,5,0,13,6,0,0,1,0,30,3,7,5,0,6,3,2,2,49,1,3,4,206,16,19,241,0,241,0,380,139,206,241,241,,1,af9dbc76f2f31cee271181e88875fb0e1c3959e3d750dfedb810356e47f28b1d,26/06/2023 02:00:22,ESCANER
6174,"Chimaltenango",3,"San Martín Jilotepeque",3,655,380,28,4,5,2,26,4,1,6,4,--,4,2,--,25,7,6,2,1,3,6,1,4,43,1,3,6,194,22,20,44,2,2,--,380,142,194,236,238,Sumas Asentadas sin cuadrar,1,d032680be45b07f12806a4bcbaf63f0df55e666fede393e5ae78c00cc96d432c,26/06/2023 03:05:30,ESCANER
6175,"Chimaltenango",3,"San Martín Jilotepeque",3,655,282,11,0,4,3,19,0,0,14,3,0,0,0,0,25,1,3,2,0,6,6,0,1,28,0,3,5,134,9,10,153,0,153,--,282,129,134,153,153,Algún campo sin dato,1,6456e51145e5dbcb759b7537c49bc65d8a1af277821da5eae166d8be4eca6c7e,25/06/2023 22:03:46,ESCANER
6176,"Chimaltenango",3,"San Martín Jilotepeque",3,655,281,24,0,5,1,12,3,0,7,3,0,0,1,0,18,0,4,2,0,4,4,0,2,24,1,5,4,124,8,5,137,0,137,0,278,141,124,137,137,,1,88200243199e81b42093ea85ec55845312d7c01b981b42cd3dc18ee7d7a27433,26/06/2023 01:31:57,ESCANER
6177,"Chimaltenango",3,"San Martín Jilotepeque",3,656,380,28,4,5,6,7,2,1,6,1,1,1,0,0,99,0,17,4,2,9,8,2,12,35,3,6,0,298,12,27,380,0,380,0,380,79,259,298,298,Sumas Asentadas sin cuadrar,1,fef36a212dfda467aa9777c40093734f1e6451a510e78236718233c833d5810f,26/06/2023 01:01:47,ESCANER
6178,"Chimaltenango",3,"San Martín Jilotepeque",3,656,380,21,4,5,9,4,7,0,5,0,0,1,0,2,91,3,15,1,0,6,9,3,2,30,10,1,4,233,21,18,272,0,272,--,380,108,233,272,272,Algún campo sin dato,1,47325c8f032bef877c99bbe761549134e281f0064bfedb7ebe854d52766e21b0,26/06/2023 01:10:21,ESCANER
6179,"Chimaltenango",3,"San Martín Jilotepeque",3,656,380,17,4,1,9,3,1,0,3,1,0,0,1,0,89,3,19,1,0,6,5,4,6,20,3,3,2,201,26,11,238,0,238,--,380,142,201,238,238,Algún campo sin dato,1,6ae23d6d57e70cc8c62852ac20888b540d81660a0477117162fcaffd32b2230f,25/06/2023 23:14:15,ESCANER
6180,"Chimaltenango",3,"San Martín Jilotepeque",3,656,380,31,3,9,3,9,4,1,10,2,0,2,0,0,82,0,5,2,1,6,10,3,9,16,6,2,2,238,14,11,263,25,263,--,430,118,218,243,268,Sumas Asentadas sin cuadrar,1,5ab8c6aa2262f3160e626908d6436dfc42b0985ff8e13864ea2face453fc05f2,26/06/2023 01:52:20,ESCANER
6181,"Chimaltenango",3,"San Martín Jilotepeque",3,656,380,19,1,3,5,3,6,0,8,1,0,1,0,0,64,2,14,5,0,6,9,1,12,14,6,5,1,186,22,13,221,0,221,0,360,139,186,221,221,,1,56996de6ea2ede5d016dfb473e150cc5ae8bc99df51f29a23726ab04eb82961c,26/06/2023 01:07:15,ESCANER
6182,"Chimaltenango",3,"San Martín Jilotepeque",3,656,262,9,3,2,2,4,2,0,2,0,0,0,1,0,82,1,8,1,0,0,9,0,5,12,2,1,0,146,5,6,157,0,157,0,262,105,146,157,157,,1,e1bf8998a4b93001f7393c3dcac4d044e1ad649fdef2fbee79dab23040e97615,26/06/2023 00:23:36,ESCANER
6183,"Chimaltenango",3,"San Martín Jilotepeque",3,656,261,7,1,2,3,3,3,0,2,2,0,0,0,0,52,5,8,1,0,1,2,0,7,8,5,5,2,119,5,4,128,0,128,--,261,133,119,128,128,Algún campo sin dato,1,4a125fc2b93a13f2ddbb009bfccaa6885c94dafc5533f23565b40b424cd82d9a,25/06/2023 22:39:47,ESCANER
6184,"Chimaltenango",3,"San Martín Jilotepeque",3,657,600,16,5,13,2,10,5,0,12,3,0,3,2,1,12,3,13,3,1,5,2,1,8,24,2,3,1,150,28,22,200,0,200,--,600,400,150,200,200,Algún campo sin dato,1,af42619ebe9074e5f1c7ad64394cf1b483f80ef979da8cdb20a7d8fb4930d6a0,26/06/2023 00:55:07,ESCANER
6185,"Chimaltenango",3,"San Martín Jilotepeque",3,657,600,25,8,16,7,6,3,0,13,4,0,4,0,0,15,2,10,2,4,2,10,1,4,18,1,4,4,163,41,17,221,0,221,0,600,379,163,221,221,,1,1a0c6bdb138772c9e5e2b0d9ac1e9d7c7852ea5828a356a0c38f4350a0a3f1ac,26/06/2023 01:35:50,ESCANER
6186,"Chimaltenango",3,"San Martín Jilotepeque",3,657,600,15,4,7,2,17,3,0,10,2,0,3,0,0,20,1,6,5,3,7,8,2,0,16,6,5,2,144,31,26,201,0,201,0,600,399,144,201,201,,1,c5372730f5736d261b2409e5090f895d581d34a628614b24d9efc93a7e8524b1,26/06/2023 02:02:18,ESCANER
6187,"Chimaltenango",3,"San Martín Jilotepeque",3,657,600,15,3,9,5,10,3,0,10,4,1,0,0,0,16,2,7,0,1,3,5,1,3,18,2,8,4,130,20,29,179,0,179,0,600,421,130,179,179,,1,ffabb65614c7e84b2b9029592e2a62615b197cb808b6b0a54683bd5f93ee2829,26/06/2023 00:08:36,ESCANER
6188,"Chimaltenango",3,"San Martín Jilotepeque",3,657,438,8,5,6,1,5,2,0,7,1,0,4,0,0,11,1,6,1,0,4,7,1,1,13,0,3,2,89,14,13,116,0,116,0,438,322,89,116,116,,1,a5e5912f8132138b80bb7010d3f3f9b32372e5685bd03ea9b1a6fde541d4585a,25/06/2023 23:59:54,ESCANER
6189,"Chimaltenango",3,"San Martín Jilotepeque",3,657,437,3,2,2,1,0,2,0,3,2,0,1,0,0,3,1,2,0,0,0,0,0,3,3,3,1,1,33,9,2,44,0,44,--,437,393,33,44,44,Algún campo sin dato,1,829e236562aaf9e99de6ccd4b7ca44f9e401b6b6046785e9fddccdc9a706e91e,25/06/2023 21:56:16,ESCANER
6190,"Chimaltenango",3,"Comalapa",4,658,400,10,2,16,3,48,18,0,5,11,1,3,0,0,2,6,13,8,0,26,2,2,5,5,4,35,13,238,33,29,300,0,300,--,400,100,238,300,300,Algún campo sin dato,1,e5c50dbe60ef3b87740a52c5a6f1892b40a1be3b841291c34b515dba1e3b9be9,26/06/2023 00:24:58,ESCANER
6191,"Chimaltenango",3,"Comalapa",4,658,400,12,0,40,1,39,13,0,7,8,0,5,2,1,2,8,4,11,2,24,3,6,11,6,2,20,19,246,39,19,304,0,304,--,404,100,246,304,304,Algún campo sin dato,1,e661b08e4270eda14214df5d5cb04d4300f78ddd60bb47847b51e756ee60845d,26/06/2023 01:09:13,ESCANER
