TIPO_DE_ELECCIÓN:,DIPUTADOS DISTRITALES
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
877,877,100.0000,875,99.7719,2,324499,174813,53.8716

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VIVA,PHG,TODOS,VALOR UNIONISTA,CABAL,UNE,URNG-MAIZ WINAQ,VAMOS,PIN,ELEFANTE,PPN,MLP,AZUL,BIEN,VICTORIA,UR,P A N,PODEMOS,MI FAMILIA,CAMBIO,FCN-NACION,SEMILLA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
20354,"Petén",17,"Flores",1,3168,380,14,6,4,16,13,12,2,17,0,0,17,5,2,32,0,2,0,1,0,11,0,15,169,44,8,221,0,221,--,380,159,169,221,221,Algún campo sin dato,1,f20f12289534f7c7a43253ea7b53e558a012585eccf073542cefb5992ea1b0a3,25/06/2023 23:13:15,ESCANER
20355,"Petén",17,"Flores",1,3168,380,13,5,4,21,14,8,6,17,0,0,16,2,4,21,1,0,0,0,1,21,0,7,161,46,5,212,0,212,--,381,169,161,212,212,Algún campo sin dato,1,c914ebdf0aeab82ec15ed95d7e24c5ff8631ecd95150c98a454c7d19af914397,26/06/2023 01:26:58,ESCANER
20356,"Petén",17,"Flores",1,3168,380,10,0,4,11,6,21,4,21,0,0,9,4,8,29,1,0,0,1,3,26,0,10,171,32,13,216,0,216,--,380,164,168,213,213,Sumas Asentadas sin cuadrar,1,fd71376dec888bad0b880c21cca9c0cea96c6401ef7ddecbcd256fc0c05b26f9,25/06/2023 23:07:26,ESCANER
20357,"Petén",17,"Flores",1,3168,380,15,7,3,14,13,18,6,11,0,0,18,3,3,17,0,1,0,0,0,26,0,11,166,49,7,222,0,222,--,380,158,166,222,222,Algún campo sin dato,1,4a5fa030387fb25940793ca52e16a24b443e942512e00c5d13b38edf2365ca9b,26/06/2023 01:16:22,ESCANER
20358,"Petén",17,"Flores",1,3169,380,9,10,7,13,11,19,3,17,0,1,23,2,7,26,2,0,0,0,0,17,0,13,180,40,13,233,1,234,1,380,146,180,233,234,,1,8a3633121b0e1f418b05108f9a9c497d98b7e77596ea44c0205f6833e41df6b8,26/06/2023 01:19:52,ESCANER
20359,"Petén",17,"Flores",1,3169,380,16,5,3,19,10,19,0,8,0,0,16,1,7,22,0,3,0,0,1,27,0,11,168,34,6,208,0,208,--,380,172,168,208,208,Algún campo sin dato,1,4ddd9c6d7a65549bf30cd58a48dc01d8a482e20cd4840ec7f01f9f0548977877,26/06/2023 01:40:07,ESCANER
20360,"Petén",17,"Flores",1,3169,380,14,4,1,24,19,19,4,4,0,1,14,1,1,14,1,1,0,1,1,29,1,10,164,36,13,213,0,213,--,377,164,164,213,213,Algún campo sin dato,1,07de70799292cd3a31f3af0ae6ae586ceef418cd447763055e0724d9b58f88bf,26/06/2023 01:43:27,ESCANER
20361,"Petén",17,"Flores",1,3169,380,9,5,2,14,13,21,3,9,1,0,13,3,4,17,0,1,0,0,1,25,0,11,152,37,12,201,0,201,--,380,179,152,201,201,Algún campo sin dato,1,d5e0c4498fdbcc1547074bf6f616a905300228300aa0a80b2a602aee22444bdd,26/06/2023 01:32:56,ESCANER
20362,"Petén",17,"Flores",1,3169,380,11,8,0,21,15,26,3,11,0,1,24,3,3,18,0,0,1,1,0,24,0,12,182,28,12,222,1,223,--,400,177,182,222,223,Algún campo sin dato,1,b2c2e6633f82cfd8086209032ba4290a02ae881dd6c7ac77700a3270f601e8c2,26/06/2023 01:19:42,ESCANER
20363,"Petén",17,"Flores",1,3169,380,10,3,2,14,15,11,3,6,0,1,11,5,5,18,0,2,0,0,1,18,0,17,142,40,3,185,0,185,--,380,195,142,185,185,Algún campo sin dato,1,42052d7ab07f00855009372041ce1813aeb3c83d25dbddebd8ca49be7970cc21,25/06/2023 23:10:02,ESCANER
