TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
61,61,100.0000,61,100.0000,0,22558,15549,68.9289

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,VALOR,UNE,VAMOS,CAMBIO,CABAL,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6829,"El Progreso",4,"Guastatoya",1,739,400,15,147,7,148,0,1,318,3,0,321,0,321,--,400,79,318,321,321,Algún campo sin dato,1,e995949a62af3f0a3dce3dd5023061289ab0ff4d122fd2a356e199eb4b70bb29,26/06/2023 00:40:29,ESCANER
6830,"El Progreso",4,"Guastatoya",1,739,400,10,116,4,112,1,2,245,5,0,250,0,250,--,404,154,245,250,250,Algún campo sin dato,1,5b286e03791d1226f155d0d9c6be3e414ddcaa0025ee5c899dff583a7381215f,25/06/2023 23:11:09,ESCANER
6831,"El Progreso",4,"Guastatoya",1,739,215,7,76,2,45,0,1,131,1,0,132,0,132,--,215,83,131,132,132,Algún campo sin dato,1,aca47311674034628887f22530ff8740fc2932b3bd78cebb701d4bc0f4bd90c5,25/06/2023 22:00:36,ESCANER
6832,"El Progreso",4,"Guastatoya",1,739,215,7,52,3,50,0,0,112,5,0,117,0,117,--,215,98,112,117,117,Algún campo sin dato,1,75fe722cb31cc707983a06fd4393fecbb314c289ac54340eca3c73a6836e073d,25/06/2023 22:06:52,ESCANER
6833,"El Progreso",4,"Guastatoya",1,740,400,8,133,10,121,0,1,273,13,5,291,0,291,--,400,109,273,291,291,Algún campo sin dato,1,0dee05bcfbfcfcbed5ff2c2008eb49c071b28984aae8bc6b52d33e69c155cba1,25/06/2023 23:34:20,ESCANER
6834,"El Progreso",4,"Guastatoya",1,740,359,9,114,6,96,1,1,227,7,1,235,0,235,--,360,125,227,235,235,Algún campo sin dato,1,f3e3c6f6d5cae08df72f36fb55330cd7072a286ab53738923c4dc711faea552e,26/06/2023 01:15:37,ESCANER
6835,"El Progreso",4,"Guastatoya",1,740,358,9,132,7,83,1,2,234,6,1,241,0,241,--,358,117,234,241,241,Algún campo sin dato,1,dce769f58825098e1dabbbeee31797aa100357f3476e32beb87d407aadb884ca,26/06/2023 00:05:41,ESCANER
6836,"El Progreso",4,"Guastatoya",1,741,400,8,140,2,97,2,1,250,12,4,266,0,266,--,404,138,250,266,266,Algún campo sin dato,1,5070ebe320c872fc0c3ed29ef876ac930e58584e0dd35d8aab0f65b645eb1d8e,26/06/2023 00:46:50,ESCANER
6837,"El Progreso",4,"Guastatoya",1,741,287,2,83,2,35,3,0,125,6,1,132,0,132,0,287,155,125,132,132,,1,6f13a49bec1531319313341af1c05052a42b26a761b47d9cb517334b51cf0349,26/06/2023 00:20:02,ESCANER
6838,"El Progreso",4,"Guastatoya",1,741,287,3,67,3,58,3,1,135,9,1,145,0,145,--,287,142,135,145,145,Algún campo sin dato,1,bcdd8a59a072e8e56b3a4ffd1678560ded7dfed82c57318863d70a84db4f283f,25/06/2023 22:30:51,ESCANER
6839,"El Progreso",4,"Guastatoya",1,742,400,3,144,2,138,2,1,290,19,2,311,0,311,--,400,89,290,311,311,Algún campo sin dato,1,9bb69bbacd29c782bd2b89d078463fdcab0ef60dbf5406a1f9086e7af25a871a,26/06/2023 02:00:33,ESCANER
6840,"El Progreso",4,"Guastatoya",1,742,400,5,182,4,107,3,1,302,14,2,318,0,318,--,404,86,302,318,318,Algún campo sin dato,1,4e2383b87b99b504cfd7b0b30a26608cab16e5a5c87910c87a6458cc017a1750,26/06/2023 01:25:53,ESCANER
6841,"El Progreso",4,"Guastatoya",1,742,210,4,87,0,59,0,0,150,11,1,162,0,162,--,210,48,150,162,162,Algún campo sin dato,1,c51e94d52e14f7e349916a61e8077ddb500d6c4e7a5b90012acc1f1fadeb732d,26/06/2023 00:55:21,ESCANER
6842,"El Progreso",4,"Guastatoya",1,742,210,5,105,1,45,0,1,157,2,0,159,0,159,--,210,51,157,159,159,Algún campo sin dato,1,44f516d0b3010767d58852a44c29368c66ef49bbcff6b261ca8655cee6d1eb82,25/06/2023 23:23:19,ESCANER
6843,"El Progreso",4,"Guastatoya",1,743,329,8,155,6,65,3,0,237,9,0,246,0,246,0,326,80,237,246,246,,1,d9cc3a61c1915655ae6fdb34303f67743c7994d766b62ef95cdd4c80008d261c,25/06/2023 23:55:01,ESCANER
6844,"El Progreso",4,"Guastatoya",1,743,328,11,130,6,62,1,0,210,1,0,211,0,211,--,328,117,210,211,211,Algún campo sin dato,1,39a562f1d14aaf10babe405296532b328e599aacbae4b7d63499a6ade5ebb8c5,25/06/2023 22:56:10,ESCANER
6845,"El Progreso",4,"Guastatoya",1,744,380,3,110,1,167,2,3,286,11,0,297,0,297,--,385,88,286,297,297,Algún campo sin dato,1,515850a4b5d8f28fc2daeac6808bb81453d666182779eb8d112f7449ceb521d7,26/06/2023 02:13:31,ESCANER
6846,"El Progreso",4,"Guastatoya",1,744,380,4,129,3,168,0,3,307,10,1,318,0,318,--,380,62,307,318,318,Algún campo sin dato,1,ac4b19e02496d218798f440ec1f40e3045d520892e47829d5309a6ec922a4d9e,26/06/2023 01:07:24,ESCANER
6847,"El Progreso",4,"Guastatoya",1,744,380,4,125,7,171,0,2,309,7,5,321,0,321,--,377,56,309,321,321,Algún campo sin dato,1,49ffa0dc1f365037c372863f15228979d0c8dd9863bd07dcb1bdb500d22b60b1,25/06/2023 23:55:54,ESCANER
6848,"El Progreso",4,"Guastatoya",1,744,380,3,121,2,150,1,1,278,4,4,286,0,286,--,384,98,278,286,286,Algún campo sin dato,1,97feb017bdbc3945baf18c80ea10b55c11a5280c5a441ea28b7483f067f133e1,25/06/2023 23:39:56,ESCANER
6849,"El Progreso",4,"Guastatoya",1,744,380,4,130,3,150,1,1,289,6,1,296,0,296,--,384,88,289,296,296,Algún campo sin dato,1,5e72a4ee8dbcf97c5fc209f5199ffb8115f374eddb8d02b35866ec7d19ef099f,25/06/2023 22:58:41,ESCANER
6850,"El Progreso",4,"Guastatoya",1,744,350,3,127,5,132,0,0,267,3,2,272,0,272,--,350,78,267,272,272,Algún campo sin dato,1,3b01191f64bcd1248c7033ab9c043b368aea9cb7a6ca89917d1a7e8a9bf2b1e1,26/06/2023 00:32:29,ESCANER
6851,"El Progreso",4,"Guastatoya",1,744,350,2,122,1,142,3,1,271,2,1,274,0,274,--,350,76,271,274,274,Algún campo sin dato,1,2cec51d5c15f186377efb30ba6461ddcba58fdab03f39f415a53ac510f048fce,26/06/2023 00:06:53,ESCANER
6852,"El Progreso",4,"Guastatoya",1,745,380,4,140,12,115,0,1,272,11,3,286,0,286,1,380,94,272,286,286,,1,698a12e21fcd74b5c555ef56f1f9218d64c2b2a6bc09a84469de2439e247f6b1,26/06/2023 02:36:32,ESCANER
6853,"El Progreso",4,"Guastatoya",1,745,378,1,127,5,131,0,1,265,3,3,271,0,271,--,378,107,265,271,271,Algún campo sin dato,1,8fb5b23c1931c0cda86d3efab9f51c2aa7f7824d36ee73ba8428d3379f44bded,26/06/2023 02:09:19,ESCANER
6854,"El Progreso",4,"Guastatoya",1,745,378,1,131,4,104,1,0,241,3,2,246,0,246,--,378,132,241,246,246,Algún campo sin dato,1,341f17855fb892c3e9d63ef5b1f18bf50ad3f687a45714ea85f2b30ebf9c619e,26/06/2023 01:47:27,ESCANER
6855,"El Progreso",4,"Guastatoya",1,746,380,7,156,8,113,0,3,287,6,6,299,--,--,--,380,81,287,299,299,Algún campo sin dato,1,4dea5f78e465d582ef54d3aaaea804d1c252cc5201689143303f2874d759f61c,25/06/2023 23:51:03,ESCANER
6856,"El Progreso",4,"Guastatoya",1,746,380,8,153,2,116,0,2,281,16,0,297,0,297,--,384,87,281,297,297,Algún campo sin dato,1,a963b91c19ab68a82f254a571325f026dc3d591a4db63718150f572516010576,26/06/2023 01:06:24,ESCANER
6857,"El Progreso",4,"Guastatoya",1,746,380,8,157,6,127,0,0,298,5,2,305,0,305,--,380,74,298,305,305,Algún campo sin dato,1,86662bd92e21caad9156d4b678409ce1737d30b6f9377a1fa5b5a7fc287b1127,26/06/2023 05:38:17,ESCANER
6858,"El Progreso",4,"Guastatoya",1,746,380,2,129,4,115,0,1,251,8,2,261,0,261,--,372,111,251,261,261,Algún campo sin dato,1,5427a98df538a4dd36710705a77d3e2b9d2a50139b2c424b3bc4bd2d89b0f0ba,26/06/2023 00:51:03,ESCANER
6859,"El Progreso",4,"Guastatoya",1,746,380,6,138,4,97,0,1,246,7,3,256,0,256,--,378,122,246,256,256,Algún campo sin dato,1,74c4f179e7024b37ca32150381509e17e1e2c8f51d1218aa0940bd111befaae6,26/06/2023 04:03:35,ESCANER
6860,"El Progreso",4,"Guastatoya",1,746,380,7,129,8,106,0,5,255,7,3,265,0,265,--,404,139,255,265,265,Algún campo sin dato,1,b3725f8adc598e4a76817f5210182c768aab43d58781920f5f4803b1128b6c2a,26/06/2023 02:54:58,ESCANER
6861,"El Progreso",4,"Guastatoya",1,746,380,7,136,5,110,0,1,259,5,0,264,0,264,--,380,116,259,264,264,Algún campo sin dato,1,f732b81d198fa20fb7d1143d67f31fa520f09814b566375f17bf34ac86072a0f,26/06/2023 03:32:47,ESCANER
6862,"El Progreso",4,"Guastatoya",1,746,380,5,134,4,109,0,1,253,3,1,257,0,257,2,380,123,253,257,257,,1,510b00e662abc69def4cd65ebf8b1348fb2b9b9571e6fbdd2ab7f1a59f2a6d2f,26/06/2023 03:04:02,ESCANER
6863,"El Progreso",4,"Guastatoya",1,746,302,4,121,0,93,0,0,218,1,0,219,0,219,--,302,83,218,219,219,Algún campo sin dato,1,0d1d2979edc6fb85a62ab02d7ce5ee4bfb27f1a9e3ed10a3fefb2b02a49eebcf,26/06/2023 00:09:21,ESCANER
6864,"El Progreso",4,"Guastatoya",1,746,302,2,91,7,66,0,0,166,3,0,169,0,169,--,302,133,166,169,169,Algún campo sin dato,1,6bff99e76b4fa4ca6d8aa17e2087a1ba58bee2c3f14298db987b32c13611b309,26/06/2023 01:51:10,ESCANER
6865,"El Progreso",4,"Guastatoya",1,747,380,2,88,5,117,0,6,218,19,3,240,0,240,--,380,140,218,240,240,Algún campo sin dato,1,30afafc3a0c68ee1d2509608b2a85b0a9bd27e827f2df182809f57fcf2792879,26/06/2023 00:39:56,ESCANER
6866,"El Progreso",4,"Guastatoya",1,747,380,1,111,8,121,1,5,247,11,6,264,0,264,--,380,116,247,264,264,Algún campo sin dato,1,7f863bf10a73e0a035dcd89a87a1302ce5badbd7243547c4c0378e3260424531,26/06/2023 01:13:31,ESCANER
6867,"El Progreso",4,"Guastatoya",1,747,342,3,86,5,102,0,4,200,13,3,216,0,216,--,342,126,200,216,216,Algún campo sin dato,1,a387d8433829c2fe44cf3778cb518466df69b5172fdbe04b2c21c2d87cd4012a,25/06/2023 23:28:54,ESCANER
6868,"El Progreso",4,"Guastatoya",1,747,342,0,105,2,113,0,2,222,4,1,227,0,227,--,339,112,222,227,227,Algún campo sin dato,1,ad9cc310b1c7c475d5697d01f5d67a93b0383216344b6f2c857f3770b71d5d2a,26/06/2023 01:00:11,ESCANER
6869,"El Progreso",4,"Guastatoya",1,748,468,10,61,5,40,1,1,118,5,2,125,0,125,--,468,343,118,125,125,Algún campo sin dato,1,3f894bea7e014e0556a30176e5893197f2767a99df2823cd2433ff4ecc5d5830,26/06/2023 01:15:38,ESCANER
6870,"El Progreso",4,"Guastatoya",1,748,468,3,26,3,20,0,0,52,0,0,52,0,52,--,467,415,52,52,52,Algún campo sin dato,1,c540246658bd7959c91aa5d40ebcde4897e376f4021a1678164c052f159ad4cc,26/06/2023 00:52:28,ESCANER
