TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
73,73,100.0000,72,98.6301,1,26289,16750,63.7148

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,TODOS,CAMBIO,MORENA,VAMOS,PIN,RENOVADOR,VALOR,AZUL,UNE,FCN-NACION,PODEMOS,UC,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
6913,"El Progreso",4,"San Agustín Acasaguastlán",3,755,400,1,8,5,117,10,57,52,2,9,1,4,2,268,40,2,310,0,310,--,400,90,268,310,310,Algún campo sin dato,1,0e410de4a02df49a45e5f685aa97ef130b6b06fd4c43d4c91c3881be46d946fa,26/06/2023 04:22:55,ESCANER
6914,"El Progreso",4,"San Agustín Acasaguastlán",3,755,400,0,11,3,112,1,57,51,1,4,2,4,1,247,23,3,273,1,274,--,380,106,247,273,274,Algún campo sin dato,1,e0db42d2a696bc6eb61be241e4fefc5c9e5c0e72f334fd8b58061f09d5256383,26/06/2023 00:04:16,ESCANER
6915,"El Progreso",4,"San Agustín Acasaguastlán",3,755,394,2,13,2,108,8,55,51,0,9,2,1,2,253,16,5,274,0,274,--,395,121,253,274,274,Algún campo sin dato,1,153e17968bf0f9b604cf988d1dc070892732a0c98ded13e517a88982311c4c9a,26/06/2023 00:29:10,ESCANER
6916,"El Progreso",4,"San Agustín Acasaguastlán",3,755,394,0,9,2,101,3,34,51,0,5,0,1,0,206,12,0,218,0,218,--,396,178,206,218,218,Algún campo sin dato,1,7098b3d5993feb53d57f21338b50714f39d9aa5afe7fe4db5a2eb31307189825,26/06/2023 00:12:00,ESCANER
6917,"El Progreso",4,"San Agustín Acasaguastlán",3,756,294,8,3,5,43,4,31,73,3,14,4,3,2,193,8,2,203,2,205,--,294,89,193,203,205,Algún campo sin dato,1,dbadafdf0684639772a1fe1b4f7e87a2fb03a7773170f3a51330e7f772929855,26/06/2023 01:00:59,ESCANER
6918,"El Progreso",4,"San Agustín Acasaguastlán",3,756,294,4,4,2,57,2,27,79,0,9,2,4,2,192,3,0,195,0,195,--,294,99,192,195,195,Algún campo sin dato,1,811f097fe34219c8f13bc2a23fd9238b15fc97f3ca18a8af7f592bb07d0f6c8e,26/06/2023 00:15:09,ESCANER
6919,"El Progreso",4,"San Agustín Acasaguastlán",3,757,270,2,2,1,24,0,51,98,3,5,0,0,0,186,6,2,194,0,194,--,270,76,186,194,194,Algún campo sin dato,1,1b336772a8deb59d8314824781a550c9bd85f2ee4023ff81e5c63b45e4120bfa,25/06/2023 23:03:01,ESCANER
6920,"El Progreso",4,"San Agustín Acasaguastlán",3,757,270,0,1,3,20,0,50,114,4,4,0,0,1,197,11,2,210,0,210,--,270,60,197,210,210,Algún campo sin dato,1,0692565b52af2f8d5dab7e4728b16558e9382116b487ae6efc52f06315ee4ccd,25/06/2023 22:00:23,ESCANER
6921,"El Progreso",4,"San Agustín Acasaguastlán",3,758,380,3,24,5,158,1,28,53,1,3,0,2,0,278,15,5,298,0,298,--,380,67,278,298,298,Algún campo sin dato,1,12477f66c3e42e9f8eb5ab872838674364d2ba49bbb235cf977772f6b0860f74,26/06/2023 01:30:49,ESCANER
6922,"El Progreso",4,"San Agustín Acasaguastlán",3,758,380,7,23,6,145,1,23,53,4,6,1,1,0,270,30,5,305,0,305,--,400,95,270,305,305,Algún campo sin dato,1,332835c6b7cf546b01740509765948bde7712f8c3a3a2c71a19f39da37cd3c94,25/06/2023 23:39:46,ESCANER
6923,"El Progreso",4,"San Agustín Acasaguastlán",3,758,380,2,24,5,153,1,34,57,5,3,0,2,0,286,14,2,302,0,302,--,380,78,286,302,302,Algún campo sin dato,1,68af6e2cd4058e6c81c6bf177e62a7bc5c565f26c2eac22d36e591e9b2b61a81,25/06/2023 23:33:02,ESCANER
6924,"El Progreso",4,"San Agustín Acasaguastlán",3,758,380,6,24,3,144,0,18,71,5,3,1,4,1,280,19,2,301,0,301,--,400,99,280,301,301,Algún campo sin dato,1,87de15199e93274870e5bb65ae2db8258de7c12e23f796bfc6bf32571ebbf936,26/06/2023 00:04:30,ESCANER
6925,"El Progreso",4,"San Agustín Acasaguastlán",3,758,380,3,27,3,152,0,19,69,1,3,2,2,0,281,9,0,290,--,--,--,380,90,281,290,290,Algún campo sin dato,1,a838940bdfefc3252d9983cb361caba3afb006cfb7b80626d234b140dde4eb84,26/06/2023 02:29:04,ESCANER
6926,"El Progreso",4,"San Agustín Acasaguastlán",3,758,380,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,,,,Acta en Blanco,0,81d7d8ae4e91a35d0a59eccf887b33922404c4445e4022421c0b720531629c22,26/06/2023 04:45:32,ESCANER
6927,"El Progreso",4,"San Agustín Acasaguastlán",3,758,380,8,24,4,144,0,14,66,0,2,0,0,1,263,11,4,278,--,--,--,380,102,263,278,278,Algún campo sin dato,1,662d3730e7149d6d7bedcdf4862b94e9e119f232d8c6df844b2912a2cb495a6a,25/06/2023 23:05:25,ESCANER
6928,"El Progreso",4,"San Agustín Acasaguastlán",3,758,380,9,12,3,159,1,21,55,1,2,1,0,0,264,5,2,271,--,--,--,400,129,264,271,271,Algún campo sin dato,1,97fae59f0f7b1e544928100078814227b932a24b503d7c582f6e9118fc1f1e40,26/06/2023 00:38:07,ESCANER
6929,"El Progreso",4,"San Agustín Acasaguastlán",3,758,380,6,25,1,150,0,16,45,2,1,0,1,1,248,13,2,263,0,263,--,380,117,248,263,263,Algún campo sin dato,1,39ee5e4ba3ddd17191a8cf8f0f8c1c247e267cec7b70ce6d9b9d232e565585d8,26/06/2023 00:43:29,ESCANER
6930,"El Progreso",4,"San Agustín Acasaguastlán",3,758,380,8,15,1,151,0,17,56,1,2,0,3,0,254,18,6,278,0,278,--,400,122,254,278,278,Algún campo sin dato,1,05b1f234eca899947300e158a3db98f1555caf8699f2e64bea79186d410142aa,26/06/2023 01:38:34,ESCANER
6931,"El Progreso",4,"San Agustín Acasaguastlán",3,758,380,2,16,1,149,1,21,64,2,1,0,0,0,257,1,4,262,11,273,0,380,107,257,262,273,,1,b70b74a9189f60f62766a21ae4eca2dc5d19e5a9ee3291159c7c6e06f6288fef,26/06/2023 04:03:28,ESCANER
6932,"El Progreso",4,"San Agustín Acasaguastlán",3,758,380,7,17,2,148,0,17,59,3,2,0,1,0,276,19,1,276,0,276,--,400,124,256,276,276,Sumas Asentadas sin cuadrar,1,f65fabd658370ebe05c7f9cc6ce1e452051029aca51394eb374b0d60e2025a0c,26/06/2023 02:14:03,ESCANER
6933,"El Progreso",4,"San Agustín Acasaguastlán",3,758,380,5,17,2,130,1,19,62,2,1,0,1,0,240,5,3,248,0,248,--,377,129,240,248,248,Algún campo sin dato,1,b9d87fed91bc9452c7929100949d59ee39b2285a3f1a54e6432d5b1253438beb,26/06/2023 00:54:06,ESCANER
