TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
38,38,100.0000,38,100.0000,0,13983,8331,59.5794

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,ESDELCA,UNE,CABAL,VALOR UNIONISTA,PHG,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7136,"El Progreso",4,"San Antonio La Paz",8,797,380,73,34,44,57,13,22,243,10,6,259,0,259,0,380,121,243,259,259,,1,4147b4ba1e3908b6221a4e7fd9f9556bb7d8b7c90cda1a4c7213c9beeba1244c,26/06/2023 01:43:42,ESCANER
7137,"El Progreso",4,"San Antonio La Paz",8,797,380,66,48,30,48,6,20,218,15,1,234,0,234,0,380,146,218,234,234,,1,7b3da8af6bbfe176454f7f532fc55a1ce1cbab3e348715636672b2062185059b,26/06/2023 01:13:49,ESCANER
7138,"El Progreso",4,"San Antonio La Paz",8,797,380,61,44,29,43,10,20,207,6,2,215,0,215,1,380,164,207,215,215,,1,85ba6836b2cdb6e10ce4a3396da08927a85b9f078d055b3545d64838990c923b,26/06/2023 01:28:03,ESCANER
7139,"El Progreso",4,"San Antonio La Paz",8,797,380,59,32,39,39,14,20,203,12,5,220,0,220,0,377,157,203,220,220,,1,990588389661ece6f1c2facce242ed76f158ae7c3859fa26b5b1670b6b95b13b,26/06/2023 02:20:51,ESCANER
7140,"El Progreso",4,"San Antonio La Paz",8,797,380,58,27,36,42,13,19,195,12,2,209,0,209,--,380,171,195,209,209,Algún campo sin dato,1,25ab1407494525e4ed75bbc8bef3c00d18e7d626a6b444d2bd62db16f4d9af99,25/06/2023 23:11:05,ESCANER
7141,"El Progreso",4,"San Antonio La Paz",8,797,380,71,27,47,40,5,17,207,16,3,226,0,226,0,380,154,207,226,226,,1,97615ae5b23e5352cb3d66f220028defc5cd1e54e5c0263544201fa9eefa45ad,26/06/2023 01:36:21,ESCANER
7142,"El Progreso",4,"San Antonio La Paz",8,797,380,56,34,32,55,17,16,210,7,3,220,0,220,0,380,160,210,220,220,,1,7e5ce3b91803cdcb0669eb31a4f54ba57128e41e455c4bd085caecddda640a12,26/06/2023 01:26:44,ESCANER
7143,"El Progreso",4,"San Antonio La Paz",8,797,247,42,28,21,38,10,11,150,3,0,153,--,--,--,247,94,150,153,153,Algún campo sin dato,1,cce39554e5979af4bb0021e9ce4c3e7e2b0002cdabce22f54e50dc3eb9b881be,25/06/2023 22:24:27,ESCANER
7144,"El Progreso",4,"San Antonio La Paz",8,797,246,30,24,13,29,8,14,118,7,2,127,0,127,0,243,116,118,127,127,,1,04db66fb49355d7555fcda2d5fc0c9c64606adc0798c113bcdaabcedaa8f7502,25/06/2023 23:39:07,ESCANER
7145,"El Progreso",4,"San Antonio La Paz",8,798,380,90,91,5,47,5,4,242,18,5,265,0,265,--,380,115,242,265,265,Algún campo sin dato,1,1867673f989721f6283a95f2630d1e337a96e0646d1aa4f5d75e179a415d7d8b,26/06/2023 01:20:16,ESCANER
7146,"El Progreso",4,"San Antonio La Paz",8,798,380,96,111,3,45,4,2,261,16,3,280,0,280,--,380,100,261,280,280,Algún campo sin dato,1,a2df3a34cd5b9fa5f7453d77faff32ce9a7f4e89ef6b31296e48c3b3dfac912a,25/06/2023 23:37:29,ESCANER
7147,"El Progreso",4,"San Antonio La Paz",8,798,380,100,133,3,17,10,2,265,16,4,285,0,285,--,380,95,265,285,285,Algún campo sin dato,1,d5ae5d3b5a91ed76d4050f93afed3e931f86cd6c7f8352d4836a93cf08f75ece,25/06/2023 23:48:38,ESCANER
7148,"El Progreso",4,"San Antonio La Paz",8,798,380,83,167,4,10,6,4,274,11,4,289,0,289,--,380,91,274,289,289,Algún campo sin dato,1,8ac1d6776c224c0443f87bb69f7248f0977ba0166ba12df92a5edd58c8ff5c6a,25/06/2023 23:56:32,ESCANER
7149,"El Progreso",4,"San Antonio La Paz",8,798,380,75,125,4,26,5,0,235,11,1,248,0,248,1,380,132,235,247,247,Sumas Asentadas sin cuadrar,1,9ef8bdf480bf29ee03cc909d83770c8d9b8618439e97fd172303725779dc1816,26/06/2023 01:41:48,ESCANER
7150,"El Progreso",4,"San Antonio La Paz",8,798,380,97,94,4,22,6,2,225,6,2,233,16,249,--,380,131,225,233,249,Algún campo sin dato,1,7a7ef8402cd24ca60f2229ed6ca51bbdfb6f03915c8c86ef2355bb9c5be4e681,26/06/2023 01:09:51,ESCANER
7151,"El Progreso",4,"San Antonio La Paz",8,798,380,92,104,6,33,1,0,236,8,0,244,0,244,--,380,136,236,244,244,Algún campo sin dato,1,e391e88f45e8de9a284a230fce5a2e4752412621f4a0e3f58a8ec64923a4147c,26/06/2023 00:50:39,ESCANER
7152,"El Progreso",4,"San Antonio La Paz",8,798,380,72,132,2,27,10,3,246,4,0,250,0,250,--,380,130,246,250,250,Algún campo sin dato,1,d246674adc6ad3c512a4737545f200a9b2149a2e8ba7dc90a639656d81538bcb,26/06/2023 02:15:26,ESCANER
7153,"El Progreso",4,"San Antonio La Paz",8,798,193,40,84,0,8,5,1,138,2,0,140,0,140,--,193,53,138,140,140,Algún campo sin dato,1,1b5e47e9f90d46fcff9f896198c3042e78f86e048fae9c752bf2696217bd5a3a,25/06/2023 23:20:21,ESCANER
7154,"El Progreso",4,"San Antonio La Paz",8,798,192,40,56,1,13,0,0,110,0,0,110,0,110,--,192,82,110,110,110,Algún campo sin dato,1,5bf31cd8c6aa2dfa0adf3418cf2d8ec7d9b5754f18558bb0f54b769cb1c11e2f,25/06/2023 22:23:44,ESCANER
7155,"El Progreso",4,"San Antonio La Paz",8,799,542,27,7,3,27,11,4,79,5,1,85,0,85,--,544,459,79,85,85,Algún campo sin dato,1,99e4d63177e6e273ad288d95c70c1b4d11ec0a02691866c296f4371799d66c68,25/06/2023 22:05:45,ESCANER
