TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
27,27,100.0000,27,100.0000,0,10073,6905,68.5495

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,VAMOS,CABAL,AZUL,TODOS,PODEMOS,MLP,CREO,BIEN,P A N,UNE,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7030,"El Progreso",4,"Sansare",6,776,262,40,50,1,0,13,2,0,4,0,41,38,189,1,1,191,0,191,--,262,71,189,191,191,Algún campo sin dato,1,d199d3437084da0c24fc6c0fa9514ba96ecaa4fc89caaea0272adbdb9be0b7a8,26/06/2023 00:26:56,ESCANER
7031,"El Progreso",4,"Sansare",6,776,261,29,32,2,1,7,1,4,3,0,36,29,144,4,1,149,2,151,0,262,111,144,149,151,,1,9b8471f120f8f605f452c705ff19ddd2160a37fd69444efecc0571b8859779f8,25/06/2023 22:37:23,ESCANER
7032,"El Progreso",4,"Sansare",6,777,380,71,31,1,0,3,2,3,10,1,56,48,226,11,4,241,0,241,--,380,139,226,241,241,Algún campo sin dato,1,563ee60e580ae1e105d119847901b18a019f03dd6cf969887287d90bf83b6cff,26/06/2023 01:02:36,ESCANER
7033,"El Progreso",4,"Sansare",6,777,380,51,42,1,3,2,6,2,6,1,51,56,221,13,1,235,0,235,--,380,145,221,235,235,Algún campo sin dato,1,370f6983d28836411b31da5a4b0ba7ac7bed36db0fd9ce7df7a3c8d4e497a710,25/06/2023 23:45:43,ESCANER
7034,"El Progreso",4,"Sansare",6,777,240,24,20,0,2,3,2,1,2,0,25,30,109,2,0,111,0,111,--,240,129,109,111,111,Algún campo sin dato,1,911b7121a4b1876818ae6fd2153e0041dbc6f7fc50f4f46057226cb655bac6b5,25/06/2023 23:17:20,ESCANER
7035,"El Progreso",4,"Sansare",6,777,240,37,20,0,2,4,1,0,2,0,22,45,133,2,0,135,0,135,--,240,105,133,135,135,Algún campo sin dato,1,e8d759d343c0a10230960ab2d8c6851ead7d34fed7bf5796fe29c19118db9b3e,25/06/2023 22:15:27,ESCANER
7036,"El Progreso",4,"Sansare",6,778,380,126,96,1,4,12,0,1,6,1,27,5,279,10,2,291,0,291,--,380,89,279,291,291,Algún campo sin dato,1,3f5ae864f0e4f930ab026549abd26a0f43f62b62296fab7844dd02352bec10d2,25/06/2023 23:40:19,ESCANER
7037,"El Progreso",4,"Sansare",6,778,332,116,71,0,1,9,0,0,5,0,23,12,237,10,5,252,0,252,--,332,80,237,252,252,Algún campo sin dato,1,dd56f3bc0cb0b046e2cefda740aa71c7fdb53f3ac2f88f35f6f55a9abb98c749,25/06/2023 23:19:37,ESCANER
7038,"El Progreso",4,"Sansare",6,778,332,108,85,0,0,9,0,0,9,0,19,10,240,1,0,241,0,241,--,332,91,240,241,241,Algún campo sin dato,1,654ac28d54d8ef3bacf3d53d133686d3c7d2a072dfdbf46f1b7fbe1090f8e75c,25/06/2023 23:46:23,ESCANER
7039,"El Progreso",4,"Sansare",6,779,466,15,20,1,0,3,2,6,3,1,16,24,91,4,2,97,0,97,--,466,369,91,97,97,Algún campo sin dato,1,54e06f8db8388a469f7f5e7d57ac739546c51b14f7c46e7d5b3dd3ef896a1f9f,25/06/2023 21:50:58,ESCANER
