TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
29 junio 2023 08:48 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
78,78,100.0000,78,100.0000,0,27716,18817,67.8921

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,AZUL,BIEN,UNE,CABAL,MLP,VAMOS,P A N,CAMBIO,VALOR UNIONISTA,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
7058,"El Progreso",4,"Sanarate",7,781,400,4,6,68,89,2,136,0,0,2,307,8,1,316,0,316,--,400,84,307,316,316,Algún campo sin dato,1,bb72ca9e442f3b8af7b8054740d69e67538c1dbeaba6c38ca4d448df283df975,26/06/2023 01:46:13,ESCANER
7059,"El Progreso",4,"Sanarate",7,781,400,10,7,63,97,0,122,0,0,9,308,3,0,311,0,311,--,400,89,308,311,311,Algún campo sin dato,1,cf9b9d661dde585655629e0437c994053b6c66848f9a75a010319b40634f928a,26/06/2023 01:53:26,ESCANER
7060,"El Progreso",4,"Sanarate",7,781,400,9,4,80,79,1,110,0,0,1,284,6,1,291,0,291,--,397,106,284,291,291,Algún campo sin dato,1,b545405f66b28b7060b34b6c6b030760a6b0a2e41b23e3b6e07fc4b9052ee1d9,26/06/2023 00:53:35,ESCANER
7061,"El Progreso",4,"Sanarate",7,781,304,6,2,57,66,2,85,0,0,9,227,0,0,227,0,227,--,304,77,227,227,227,Algún campo sin dato,1,d959074c8d4296f6ee0182fba4e136e07b16bf7fa43f07f14db5911d4b9c41b7,26/06/2023 01:01:20,ESCANER
7062,"El Progreso",4,"Sanarate",7,781,303,7,3,54,75,0,78,0,0,2,219,1,1,221,0,221,--,300,79,219,221,221,Algún campo sin dato,1,7e9f4e72a615e78de7a299e0acc6f13267dd4b5543a3e0b9ed3e81d340891457,26/06/2023 01:53:27,ESCANER
7063,"El Progreso",4,"Sanarate",7,782,400,7,2,39,86,0,130,0,0,4,268,14,0,282,0,282,--,400,118,268,282,282,Algún campo sin dato,1,e5be20a954ab2fe9ca1d7f2e230ad1e15cd4961a98c8f39113aa9e0281b7f49e,26/06/2023 00:35:35,ESCANER
7064,"El Progreso",4,"Sanarate",7,782,400,3,1,40,79,1,125,1,0,7,257,6,2,265,0,265,--,399,134,257,265,265,Algún campo sin dato,1,8655e3de62d272c3710e800f8ef73632a05477c5f33d962115bdf2cdb30b0715,26/06/2023 00:02:11,ESCANER
7065,"El Progreso",4,"Sanarate",7,782,236,6,2,23,48,0,81,0,0,2,162,3,1,166,0,166,--,236,70,162,166,166,Algún campo sin dato,1,d7b762eb642608c7142e36ac9ffbdf3936a22572f1701a01dea911eb6c13b452,25/06/2023 23:28:38,ESCANER
7066,"El Progreso",4,"Sanarate",7,782,236,9,4,22,47,1,58,0,0,4,145,4,1,150,0,150,--,236,86,145,150,150,Algún campo sin dato,1,f4b14b87393cab71cb75f2edaf8f950210706534ee0fa3b298b6e2cb13212ebd,25/06/2023 23:12:16,ESCANER
7067,"El Progreso",4,"Sanarate",7,783,400,6,3,47,106,0,131,0,0,3,296,10,2,308,0,308,--,401,90,296,308,308,Algún campo sin dato,1,aadfcee08a084c3747f15dd701a1af111ee980096d669970f9843789c66c096b,26/06/2023 03:20:46,ESCANER
7068,"El Progreso",4,"Sanarate",7,783,400,6,3,44,84,1,142,1,0,4,285,11,2,298,106,404,--,404,106,285,298,404,Algún campo sin dato,1,aa40b39ca56b63db63b14a030abc83814cbff54c9a740b9e33dbf3b2afe5f3f9,26/06/2023 01:03:55,ESCANER
7069,"El Progreso",4,"Sanarate",7,783,388,1,3,47,92,3,115,1,0,5,267,6,0,273,0,273,--,387,114,267,273,273,Algún campo sin dato,1,c853cbefba42f4594b21128f2105bbdda1ccf991f1eb520254f143b6e3c8bc7f,25/06/2023 23:22:26,ESCANER
